vin	Ix(U1:SOURCE)
0.000000000000000e+00	8.951933e-08
1.000000000000000e-02	8.948206e-08
2.000000000000000e-02	8.944475e-08
3.000000000000000e-02	8.940742e-08
4.000000000000000e-02	8.937005e-08
5.000000000000000e-02	8.933265e-08
6.000000000000000e-02	8.929522e-08
7.000000000000001e-02	8.925775e-08
8.000000000000000e-02	8.922025e-08
9.000000000000000e-02	8.918272e-08
9.999999999999999e-02	8.914515e-08
1.100000000000000e-01	8.910755e-08
1.200000000000000e-01	8.906991e-08
1.300000000000000e-01	8.903224e-08
1.400000000000000e-01	8.899454e-08
1.500000000000000e-01	8.895680e-08
1.600000000000000e-01	8.891903e-08
1.700000000000000e-01	8.888122e-08
1.800000000000000e-01	8.884339e-08
1.900000000000000e-01	8.880551e-08
2.000000000000000e-01	8.876760e-08
2.100000000000000e-01	8.872966e-08
2.200000000000001e-01	8.869168e-08
2.300000000000001e-01	8.865366e-08
2.400000000000001e-01	8.861561e-08
2.500000000000001e-01	8.857754e-08
2.600000000000001e-01	8.853942e-08
2.700000000000001e-01	8.850126e-08
2.800000000000001e-01	8.846308e-08
2.900000000000001e-01	8.842485e-08
3.000000000000001e-01	8.838659e-08
3.100000000000001e-01	8.834829e-08
3.200000000000001e-01	8.830997e-08
3.300000000000001e-01	8.827160e-08
3.400000000000001e-01	8.823320e-08
3.500000000000001e-01	8.819476e-08
3.600000000000002e-01	8.815628e-08
3.700000000000002e-01	8.811777e-08
3.800000000000002e-01	8.807923e-08
3.900000000000002e-01	8.804065e-08
4.000000000000002e-01	8.800203e-08
4.100000000000002e-01	8.796337e-08
4.200000000000002e-01	8.792468e-08
4.300000000000002e-01	8.788595e-08
4.400000000000002e-01	8.784719e-08
4.500000000000002e-01	8.780839e-08
4.600000000000002e-01	8.776955e-08
4.700000000000003e-01	8.773067e-08
4.800000000000003e-01	8.769176e-08
4.900000000000003e-01	8.765281e-08
5.000000000000002e-01	8.761382e-08
5.100000000000002e-01	8.757480e-08
5.200000000000002e-01	8.753573e-08
5.300000000000002e-01	8.749664e-08
5.400000000000003e-01	8.745750e-08
5.500000000000003e-01	8.741832e-08
5.600000000000003e-01	8.737911e-08
5.700000000000003e-01	8.733986e-08
5.800000000000003e-01	8.730057e-08
5.900000000000003e-01	8.726124e-08
6.000000000000003e-01	8.722187e-08
6.100000000000003e-01	8.718247e-08
6.200000000000003e-01	8.714303e-08
6.300000000000003e-01	8.710354e-08
6.400000000000003e-01	8.706402e-08
6.500000000000004e-01	8.702447e-08
6.600000000000004e-01	8.698487e-08
6.700000000000004e-01	8.694523e-08
6.800000000000004e-01	8.690555e-08
6.900000000000004e-01	8.686584e-08
7.000000000000004e-01	8.682608e-08
7.100000000000004e-01	8.678629e-08
7.200000000000004e-01	8.674645e-08
7.300000000000004e-01	8.670658e-08
7.400000000000004e-01	8.666667e-08
7.500000000000004e-01	8.662671e-08
7.600000000000005e-01	8.658672e-08
7.700000000000005e-01	8.654668e-08
7.800000000000005e-01	8.650661e-08
7.900000000000005e-01	8.646649e-08
8.000000000000005e-01	8.642634e-08
8.100000000000005e-01	8.638614e-08
8.200000000000005e-01	8.634591e-08
8.300000000000005e-01	8.630563e-08
8.400000000000005e-01	8.626532e-08
8.500000000000005e-01	8.622495e-08
8.600000000000005e-01	8.618456e-08
8.700000000000006e-01	8.614411e-08
8.800000000000006e-01	8.610363e-08
8.900000000000006e-01	8.606310e-08
9.000000000000006e-01	8.602254e-08
9.100000000000006e-01	8.598193e-08
9.200000000000006e-01	8.594128e-08
9.300000000000006e-01	8.590059e-08
9.400000000000006e-01	8.585985e-08
9.500000000000006e-01	8.581907e-08
9.600000000000006e-01	8.577826e-08
9.700000000000006e-01	8.573740e-08
9.800000000000006e-01	8.569649e-08
9.900000000000007e-01	8.565555e-08
1.000000000000001e+00	8.561456e-08
1.010000000000001e+00	8.557353e-08
1.020000000000001e+00	8.553245e-08
1.030000000000001e+00	8.549133e-08
1.040000000000001e+00	8.545017e-08
1.050000000000001e+00	8.540896e-08
1.060000000000001e+00	8.536772e-08
1.070000000000001e+00	8.532642e-08
1.080000000000001e+00	8.528508e-08
1.090000000000001e+00	8.524371e-08
1.100000000000001e+00	8.520227e-08
1.110000000000001e+00	8.516081e-08
1.120000000000001e+00	8.511930e-08
1.130000000000001e+00	8.507774e-08
1.140000000000001e+00	8.503613e-08
1.150000000000001e+00	8.499448e-08
1.160000000000001e+00	8.495279e-08
1.170000000000001e+00	8.491105e-08
1.180000000000001e+00	8.486927e-08
1.190000000000001e+00	8.482744e-08
1.200000000000001e+00	8.478557e-08
1.210000000000001e+00	8.474365e-08
1.220000000000001e+00	8.470168e-08
1.230000000000001e+00	8.465967e-08
1.240000000000001e+00	8.461762e-08
1.250000000000001e+00	8.457551e-08
1.260000000000001e+00	8.453336e-08
1.270000000000001e+00	8.449116e-08
1.280000000000001e+00	8.444892e-08
1.290000000000001e+00	8.440663e-08
1.300000000000001e+00	8.436430e-08
1.310000000000001e+00	8.432191e-08
1.320000000000001e+00	8.427948e-08
1.330000000000001e+00	8.423700e-08
1.340000000000001e+00	8.419448e-08
1.350000000000001e+00	8.415191e-08
1.360000000000001e+00	8.410928e-08
1.370000000000001e+00	8.406661e-08
1.380000000000001e+00	8.402390e-08
1.390000000000001e+00	8.398113e-08
1.400000000000001e+00	8.393832e-08
1.410000000000001e+00	8.389546e-08
1.420000000000001e+00	8.385255e-08
1.430000000000001e+00	8.380959e-08
1.440000000000001e+00	8.376658e-08
1.450000000000001e+00	8.372352e-08
1.460000000000001e+00	8.368041e-08
1.470000000000001e+00	8.363725e-08
1.480000000000001e+00	8.359405e-08
1.490000000000001e+00	8.355079e-08
1.500000000000001e+00	8.350749e-08
1.510000000000001e+00	8.346413e-08
1.520000000000001e+00	8.342072e-08
1.530000000000001e+00	8.337727e-08
1.540000000000001e+00	8.333376e-08
1.550000000000001e+00	8.329020e-08
1.560000000000001e+00	8.324660e-08
1.570000000000001e+00	8.320293e-08
1.580000000000001e+00	8.315922e-08
1.590000000000001e+00	8.311546e-08
1.600000000000001e+00	8.307165e-08
1.610000000000001e+00	8.302778e-08
1.620000000000001e+00	8.298386e-08
1.630000000000001e+00	8.293989e-08
1.640000000000001e+00	8.289587e-08
1.650000000000001e+00	8.285179e-08
1.660000000000001e+00	8.280767e-08
1.670000000000001e+00	8.276348e-08
1.680000000000001e+00	8.271925e-08
1.690000000000001e+00	8.267497e-08
1.700000000000001e+00	8.263063e-08
1.710000000000001e+00	8.258623e-08
1.720000000000001e+00	8.254178e-08
1.730000000000001e+00	8.249728e-08
1.740000000000001e+00	8.245273e-08
1.750000000000001e+00	8.240812e-08
1.760000000000001e+00	8.236346e-08
1.770000000000001e+00	8.231873e-08
1.780000000000001e+00	8.227396e-08
1.790000000000001e+00	8.222914e-08
1.800000000000001e+00	8.218425e-08
1.810000000000001e+00	8.213931e-08
1.820000000000001e+00	8.209432e-08
1.830000000000001e+00	8.204927e-08
1.840000000000001e+00	8.200416e-08
1.850000000000001e+00	8.195899e-08
1.860000000000001e+00	8.191378e-08
1.870000000000001e+00	8.186850e-08
1.880000000000001e+00	8.182317e-08
1.890000000000001e+00	8.177778e-08
1.900000000000001e+00	8.173234e-08
1.910000000000001e+00	8.168684e-08
1.920000000000001e+00	8.164127e-08
1.930000000000001e+00	8.159565e-08
1.940000000000002e+00	8.154998e-08
1.950000000000002e+00	8.150424e-08
1.960000000000002e+00	8.145845e-08
1.970000000000002e+00	8.141259e-08
1.980000000000002e+00	8.136669e-08
1.990000000000002e+00	8.132071e-08
2.000000000000001e+00	8.127468e-08
2.010000000000001e+00	8.122860e-08
2.020000000000001e+00	8.118245e-08
2.030000000000001e+00	8.113624e-08
2.040000000000000e+00	8.108997e-08
2.050000000000000e+00	8.104364e-08
2.060000000000000e+00	8.099725e-08
