vin	Ix(U1:SOURCE)
0.000000000000000e+00	1.089643e-04
1.000000000000000e-02	1.089491e-04
2.000000000000000e-02	1.089341e-04
3.000000000000000e-02	1.089190e-04
4.000000000000000e-02	1.089038e-04
5.000000000000000e-02	1.088887e-04
6.000000000000000e-02	1.088735e-04
7.000000000000001e-02	1.088582e-04
8.000000000000000e-02	1.088429e-04
9.000000000000000e-02	1.088276e-04
9.999999999999999e-02	1.088123e-04
1.100000000000000e-01	1.087969e-04
1.200000000000000e-01	1.087814e-04
1.300000000000000e-01	1.087659e-04
1.400000000000000e-01	1.087504e-04
1.500000000000000e-01	1.087348e-04
1.600000000000000e-01	1.087192e-04
1.700000000000000e-01	1.087036e-04
1.800000000000000e-01	1.086879e-04
1.900000000000000e-01	1.086722e-04
2.000000000000000e-01	1.086564e-04
2.100000000000000e-01	1.086406e-04
2.200000000000001e-01	1.086248e-04
2.300000000000001e-01	1.086089e-04
2.400000000000001e-01	1.085929e-04
2.500000000000001e-01	1.085769e-04
2.600000000000001e-01	1.085609e-04
2.700000000000001e-01	1.085448e-04
2.800000000000001e-01	1.085287e-04
2.900000000000001e-01	1.085126e-04
3.000000000000001e-01	1.084964e-04
3.100000000000001e-01	1.084801e-04
3.200000000000001e-01	1.084638e-04
3.300000000000001e-01	1.084475e-04
3.400000000000001e-01	1.084311e-04
3.500000000000001e-01	1.084147e-04
3.600000000000002e-01	1.083982e-04
3.700000000000002e-01	1.083817e-04
3.800000000000002e-01	1.083652e-04
3.900000000000002e-01	1.083485e-04
4.000000000000002e-01	1.083319e-04
4.100000000000002e-01	1.083152e-04
4.200000000000002e-01	1.082984e-04
4.300000000000002e-01	1.082816e-04
4.400000000000002e-01	1.082648e-04
4.500000000000002e-01	1.082479e-04
4.600000000000002e-01	1.082309e-04
4.700000000000003e-01	1.082140e-04
4.800000000000003e-01	1.081969e-04
4.900000000000003e-01	1.081798e-04
5.000000000000002e-01	1.081627e-04
5.100000000000002e-01	1.081455e-04
5.200000000000002e-01	1.081282e-04
5.300000000000002e-01	1.081110e-04
5.400000000000003e-01	1.080936e-04
5.500000000000003e-01	1.080762e-04
5.600000000000003e-01	1.080588e-04
5.700000000000003e-01	1.080413e-04
5.800000000000003e-01	1.080237e-04
5.900000000000003e-01	1.080061e-04
6.000000000000003e-01	1.079884e-04
6.100000000000003e-01	1.079707e-04
6.200000000000003e-01	1.079530e-04
6.300000000000003e-01	1.079351e-04
6.400000000000003e-01	1.079173e-04
6.500000000000004e-01	1.078993e-04
6.600000000000004e-01	1.078814e-04
6.700000000000004e-01	1.078633e-04
6.800000000000004e-01	1.078452e-04
6.900000000000004e-01	1.078271e-04
7.000000000000004e-01	1.078089e-04
7.100000000000004e-01	1.077906e-04
7.200000000000004e-01	1.077723e-04
7.300000000000004e-01	1.077539e-04
7.400000000000004e-01	1.077354e-04
7.500000000000004e-01	1.077169e-04
7.600000000000005e-01	1.076984e-04
7.700000000000005e-01	1.076798e-04
7.800000000000005e-01	1.076611e-04
7.900000000000005e-01	1.076424e-04
8.000000000000005e-01	1.076236e-04
8.100000000000005e-01	1.076047e-04
8.200000000000005e-01	1.075858e-04
8.300000000000005e-01	1.075668e-04
8.400000000000005e-01	1.075477e-04
8.500000000000005e-01	1.075286e-04
8.600000000000005e-01	1.075095e-04
8.700000000000006e-01	1.074902e-04
8.800000000000006e-01	1.074709e-04
8.900000000000006e-01	1.074516e-04
9.000000000000006e-01	1.074321e-04
9.100000000000006e-01	1.074126e-04
9.200000000000006e-01	1.073931e-04
9.300000000000006e-01	1.073735e-04
9.400000000000006e-01	1.073538e-04
9.500000000000006e-01	1.073340e-04
9.600000000000006e-01	1.073142e-04
9.700000000000006e-01	1.072943e-04
9.800000000000006e-01	1.072743e-04
9.900000000000007e-01	1.072543e-04
1.000000000000001e+00	1.072342e-04
1.010000000000001e+00	1.072140e-04
1.020000000000001e+00	1.071938e-04
1.030000000000001e+00	1.071735e-04
1.040000000000001e+00	1.071531e-04
1.050000000000001e+00	1.071326e-04
1.060000000000001e+00	1.071121e-04
1.070000000000001e+00	1.070915e-04
1.080000000000001e+00	1.070708e-04
1.090000000000001e+00	1.070501e-04
1.100000000000001e+00	1.070292e-04
1.110000000000001e+00	1.070083e-04
1.120000000000001e+00	1.069874e-04
1.130000000000001e+00	1.069663e-04
1.140000000000001e+00	1.069452e-04
1.150000000000001e+00	1.069240e-04
1.160000000000001e+00	1.069027e-04
1.170000000000001e+00	1.068813e-04
1.180000000000001e+00	1.068599e-04
1.190000000000001e+00	1.068384e-04
1.200000000000001e+00	1.068168e-04
1.210000000000001e+00	1.067951e-04
1.220000000000001e+00	1.067733e-04
1.230000000000001e+00	1.067515e-04
1.240000000000001e+00	1.067295e-04
1.250000000000001e+00	1.067075e-04
1.260000000000001e+00	1.066854e-04
1.270000000000001e+00	1.066633e-04
1.280000000000001e+00	1.066410e-04
1.290000000000001e+00	1.066186e-04
1.300000000000001e+00	1.065962e-04
1.310000000000001e+00	1.065737e-04
1.320000000000001e+00	1.065511e-04
1.330000000000001e+00	1.065284e-04
1.340000000000001e+00	1.065056e-04
1.350000000000001e+00	1.064827e-04
1.360000000000001e+00	1.064598e-04
1.370000000000001e+00	1.064367e-04
1.380000000000001e+00	1.064136e-04
1.390000000000001e+00	1.063903e-04
1.400000000000001e+00	1.063670e-04
1.410000000000001e+00	1.063436e-04
1.420000000000001e+00	1.063200e-04
1.430000000000001e+00	1.062964e-04
1.440000000000001e+00	1.062727e-04
1.450000000000001e+00	1.062489e-04
1.460000000000001e+00	1.062250e-04
1.470000000000001e+00	1.062010e-04
1.480000000000001e+00	1.061769e-04
1.490000000000001e+00	1.061527e-04
1.500000000000001e+00	1.061284e-04
1.510000000000001e+00	1.061040e-04
1.520000000000001e+00	1.060795e-04
1.530000000000001e+00	1.060549e-04
1.540000000000001e+00	1.060302e-04
1.550000000000001e+00	1.060054e-04
1.560000000000001e+00	1.059805e-04
1.570000000000001e+00	1.059555e-04
1.580000000000001e+00	1.059304e-04
1.590000000000001e+00	1.059052e-04
1.600000000000001e+00	1.058798e-04
1.610000000000001e+00	1.058544e-04
1.620000000000001e+00	1.058288e-04
1.630000000000001e+00	1.058031e-04
1.640000000000001e+00	1.057774e-04
1.650000000000001e+00	1.057515e-04
1.660000000000001e+00	1.057254e-04
1.670000000000001e+00	1.056993e-04
1.680000000000001e+00	1.056730e-04
1.690000000000001e+00	1.056467e-04
1.700000000000001e+00	1.056202e-04
1.710000000000001e+00	1.055935e-04
1.720000000000001e+00	1.055668e-04
1.730000000000001e+00	1.055399e-04
1.740000000000001e+00	1.055129e-04
1.750000000000001e+00	1.054857e-04
1.760000000000001e+00	1.054584e-04
1.770000000000001e+00	1.054309e-04
1.780000000000001e+00	1.054033e-04
1.790000000000001e+00	1.053755e-04
1.800000000000001e+00	1.053475e-04
1.810000000000001e+00	1.053193e-04
1.820000000000001e+00	1.052908e-04
1.830000000000001e+00	1.052621e-04
1.840000000000001e+00	1.052331e-04
1.850000000000001e+00	1.052039e-04
1.860000000000001e+00	1.051742e-04
1.870000000000001e+00	1.051442e-04
1.880000000000001e+00	1.051138e-04
1.890000000000001e+00	1.050829e-04
1.900000000000001e+00	1.050516e-04
1.910000000000001e+00	1.050197e-04
1.920000000000001e+00	1.049873e-04
1.930000000000001e+00	1.049544e-04
1.940000000000002e+00	1.049208e-04
1.950000000000002e+00	1.048867e-04
1.960000000000002e+00	1.048519e-04
1.970000000000002e+00	1.048164e-04
1.980000000000002e+00	1.047803e-04
1.990000000000002e+00	1.047434e-04
2.000000000000001e+00	1.047058e-04
2.010000000000001e+00	1.046673e-04
2.020000000000001e+00	1.046281e-04
2.030000000000001e+00	1.045880e-04
2.040000000000000e+00	1.045470e-04
2.050000000000000e+00	1.045050e-04
2.060000000000000e+00	1.044621e-04
2.070000000000000e+00	1.044182e-04
2.080000000000000e+00	1.043733e-04
2.089999999999999e+00	1.043273e-04
2.099999999999999e+00	1.042801e-04
2.109999999999999e+00	1.042318e-04
2.119999999999999e+00	1.041822e-04
2.129999999999999e+00	1.041314e-04
2.139999999999998e+00	1.040793e-04
2.149999999999998e+00	1.040259e-04
2.159999999999998e+00	1.039711e-04
2.169999999999998e+00	1.039148e-04
2.179999999999997e+00	1.038570e-04
2.189999999999997e+00	1.037977e-04
2.199999999999997e+00	1.037369e-04
2.209999999999997e+00	1.036745e-04
2.219999999999997e+00	1.036104e-04
2.229999999999996e+00	1.035446e-04
2.239999999999996e+00	1.034771e-04
2.249999999999996e+00	1.034079e-04
2.259999999999996e+00	1.033369e-04
2.269999999999996e+00	1.032640e-04
2.279999999999995e+00	1.031893e-04
2.289999999999995e+00	1.031127e-04
2.299999999999995e+00	1.030342e-04
2.309999999999995e+00	1.029538e-04
2.319999999999995e+00	1.028713e-04
2.329999999999994e+00	1.027869e-04
2.339999999999994e+00	1.027005e-04
2.349999999999994e+00	1.026120e-04
2.359999999999994e+00	1.025215e-04
2.369999999999993e+00	1.024289e-04
2.379999999999993e+00	1.023342e-04
2.389999999999993e+00	1.022374e-04
2.399999999999993e+00	1.021385e-04
2.409999999999993e+00	1.020374e-04
2.419999999999992e+00	1.019341e-04
2.429999999999992e+00	1.018287e-04
2.439999999999992e+00	1.017211e-04
2.449999999999992e+00	1.016113e-04
2.459999999999992e+00	1.014993e-04
2.469999999999991e+00	1.013850e-04
2.479999999999991e+00	1.012685e-04
2.489999999999991e+00	1.011498e-04
2.499999999999991e+00	1.010289e-04
2.509999999999990e+00	1.009057e-04
2.519999999999990e+00	1.007802e-04
2.529999999999990e+00	1.006525e-04
2.539999999999990e+00	1.005224e-04
2.549999999999990e+00	1.003901e-04
2.559999999999989e+00	1.002556e-04
2.569999999999989e+00	1.001187e-04
2.579999999999989e+00	9.997952e-05
2.589999999999989e+00	9.983804e-05
2.599999999999989e+00	9.969427e-05
2.609999999999988e+00	9.954818e-05
2.619999999999988e+00	9.939978e-05
2.629999999999988e+00	9.924907e-05
2.639999999999988e+00	9.909604e-05
2.649999999999987e+00	9.894069e-05
2.659999999999987e+00	9.878302e-05
2.669999999999987e+00	9.862302e-05
2.679999999999987e+00	9.846070e-05
2.689999999999987e+00	9.829605e-05
2.699999999999986e+00	9.812907e-05
2.709999999999986e+00	9.795975e-05
2.719999999999986e+00	9.778810e-05
2.729999999999986e+00	9.761412e-05
2.739999999999986e+00	9.743781e-05
2.749999999999985e+00	9.725915e-05
2.759999999999985e+00	9.707816e-05
2.769999999999985e+00	9.689484e-05
2.779999999999985e+00	9.670918e-05
2.789999999999984e+00	9.652117e-05
2.799999999999984e+00	9.633083e-05
2.809999999999984e+00	9.613816e-05
