vin	Ix(U2:GND)
0.000000000000000e+00	6.137076e-14
1.000000000000000e-02	7.579022e-14
2.000000000000000e-02	9.371264e-14
3.000000000000000e-02	1.160127e-13
4.000000000000000e-02	1.437887e-13
5.000000000000000e-02	1.784210e-13
6.000000000000000e-02	2.216457e-13
7.000000000000001e-02	2.756483e-13
8.000000000000000e-02	3.431821e-13
9.000000000000000e-02	4.277188e-13
9.999999999999999e-02	5.336395e-13
1.100000000000000e-01	6.664768e-13
1.200000000000000e-01	8.332232e-13
1.300000000000000e-01	1.042723e-12
1.400000000000000e-01	1.306173e-12
1.500000000000000e-01	1.637752e-12
1.600000000000000e-01	2.055440e-12
1.700000000000000e-01	2.582041e-12
1.800000000000000e-01	3.246509e-12
1.900000000000000e-01	4.085622e-12
2.000000000000000e-01	5.146140e-12
2.100000000000000e-01	6.487544e-12
2.200000000000001e-01	8.185555e-12
2.300000000000001e-01	1.033663e-11
2.400000000000001e-01	1.306371e-11
2.500000000000001e-01	1.652363e-11
2.600000000000001e-01	2.091652e-11
2.700000000000001e-01	2.649800e-11
2.800000000000001e-01	3.359468e-11
2.900000000000001e-01	4.262418e-11
3.000000000000001e-01	5.412076e-11
3.100000000000001e-01	6.876829e-11
3.200000000000001e-01	8.744260e-11
3.300000000000001e-01	1.112659e-10
3.400000000000001e-01	1.416769e-10
3.500000000000001e-01	1.805205e-10
3.600000000000002e-01	2.301637e-10
3.700000000000002e-01	2.936444e-10
3.800000000000002e-01	3.748619e-10
3.900000000000002e-01	4.788225e-10
4.000000000000002e-01	6.119533e-10
4.100000000000002e-01	7.825045e-10
4.200000000000002e-01	1.001063e-09
4.300000000000002e-01	1.281207e-09
4.400000000000002e-01	1.640332e-09
4.500000000000002e-01	2.100699e-09
4.600000000000002e-01	2.690741e-09
4.700000000000003e-01	3.446685e-09
4.800000000000003e-01	4.414540e-09
4.900000000000003e-01	5.652484e-09
5.000000000000002e-01	7.233691e-09
5.100000000000002e-01	9.249556e-09
5.200000000000002e-01	1.181325e-08
5.300000000000002e-01	1.506342e-08
5.400000000000003e-01	1.916779e-08
5.500000000000003e-01	2.432614e-08
5.600000000000003e-01	3.077232e-08
5.700000000000003e-01	3.877464e-08
5.800000000000003e-01	4.863427e-08
5.900000000000003e-01	6.068147e-08
6.000000000000003e-01	7.526967e-08
6.100000000000003e-01	9.276822e-08
6.200000000000003e-01	1.135540e-07
6.300000000000003e-01	1.380033e-07
6.400000000000003e-01	1.664845e-07
6.500000000000004e-01	1.993517e-07
6.600000000000004e-01	2.369403e-07
6.700000000000004e-01	2.795638e-07
6.800000000000004e-01	3.275123e-07
6.900000000000004e-01	3.810516e-07
7.000000000000004e-01	4.404239e-07
7.100000000000004e-01	5.058480e-07
7.200000000000004e-01	5.775216e-07
7.300000000000004e-01	6.556215e-07
7.400000000000004e-01	7.403062e-07
7.500000000000004e-01	8.317168e-07
7.600000000000005e-01	9.299786e-07
7.700000000000005e-01	1.035203e-06
7.800000000000005e-01	1.147489e-06
7.900000000000005e-01	1.266921e-06
8.000000000000005e-01	1.393578e-06
8.100000000000005e-01	1.527524e-06
8.200000000000005e-01	1.668818e-06
