vin	Ix(U1:DRAIN)
0.000000000000000e+00	4.659819e-04
1.000000000000000e-02	4.638340e-04
2.000000000000000e-02	4.616884e-04
3.000000000000000e-02	4.595451e-04
4.000000000000000e-02	4.574042e-04
5.000000000000000e-02	4.552657e-04
6.000000000000000e-02	4.531295e-04
7.000000000000001e-02	4.509957e-04
8.000000000000000e-02	4.488642e-04
9.000000000000000e-02	4.467352e-04
9.999999999999999e-02	4.446087e-04
1.100000000000000e-01	4.424845e-04
1.200000000000000e-01	4.403629e-04
1.300000000000000e-01	4.382437e-04
1.400000000000000e-01	4.361270e-04
1.500000000000000e-01	4.340128e-04
1.600000000000000e-01	4.319011e-04
1.700000000000000e-01	4.297919e-04
1.800000000000000e-01	4.276853e-04
1.900000000000000e-01	4.255812e-04
2.000000000000000e-01	4.234798e-04
2.100000000000000e-01	4.213809e-04
2.200000000000001e-01	4.192846e-04
2.300000000000001e-01	4.171909e-04
2.400000000000001e-01	4.150999e-04
2.500000000000001e-01	4.130115e-04
2.600000000000001e-01	4.109258e-04
2.700000000000001e-01	4.088428e-04
2.800000000000001e-01	4.067624e-04
2.900000000000001e-01	4.046847e-04
3.000000000000001e-01	4.026098e-04
3.100000000000001e-01	4.005377e-04
3.200000000000001e-01	3.984683e-04
3.300000000000001e-01	3.964016e-04
3.400000000000001e-01	3.943378e-04
3.500000000000001e-01	3.922767e-04
3.600000000000002e-01	3.902185e-04
3.700000000000002e-01	3.881631e-04
3.800000000000002e-01	3.861105e-04
3.900000000000002e-01	3.840608e-04
4.000000000000002e-01	3.820140e-04
4.100000000000002e-01	3.799701e-04
4.200000000000002e-01	3.779291e-04
4.300000000000002e-01	3.758910e-04
4.400000000000002e-01	3.738559e-04
4.500000000000002e-01	3.718237e-04
4.600000000000002e-01	3.697945e-04
4.700000000000003e-01	3.677683e-04
4.800000000000003e-01	3.657451e-04
4.900000000000003e-01	3.637249e-04
5.000000000000002e-01	3.617078e-04
5.100000000000002e-01	3.596937e-04
5.200000000000002e-01	3.576827e-04
5.300000000000002e-01	3.556748e-04
5.400000000000003e-01	3.536700e-04
5.500000000000003e-01	3.516683e-04
5.600000000000003e-01	3.496697e-04
5.700000000000003e-01	3.476744e-04
5.800000000000003e-01	3.456821e-04
5.900000000000003e-01	3.436931e-04
6.000000000000003e-01	3.417073e-04
6.100000000000003e-01	3.397247e-04
6.200000000000003e-01	3.377454e-04
6.300000000000003e-01	3.357693e-04
6.400000000000003e-01	3.337965e-04
6.500000000000004e-01	3.318270e-04
6.600000000000004e-01	3.298608e-04
6.700000000000004e-01	3.278979e-04
6.800000000000004e-01	3.259384e-04
6.900000000000004e-01	3.239822e-04
7.000000000000004e-01	3.220294e-04
7.100000000000004e-01	3.200800e-04
7.200000000000004e-01	3.181341e-04
7.300000000000004e-01	3.161916e-04
7.400000000000004e-01	3.142525e-04
7.500000000000004e-01	3.123169e-04
7.600000000000005e-01	3.103848e-04
7.700000000000005e-01	3.084561e-04
7.800000000000005e-01	3.065311e-04
7.900000000000005e-01	3.046095e-04
8.000000000000005e-01	3.026915e-04
8.100000000000005e-01	3.007772e-04
8.200000000000005e-01	2.988664e-04
8.300000000000005e-01	2.969592e-04
8.400000000000005e-01	2.950557e-04
8.500000000000005e-01	2.931558e-04
8.600000000000005e-01	2.912596e-04
8.700000000000006e-01	2.893671e-04
