vin	Ix(U1:DRAIN)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-02	2.808790e-09
2.000000000000000e-02	4.748063e-09
3.000000000000000e-02	6.082443e-09
4.000000000000000e-02	6.998672e-09
5.000000000000000e-02	7.627126e-09
6.000000000000000e-02	8.058193e-09
7.000000000000001e-02	8.354203e-09
8.000000000000000e-02	8.557958e-09
9.000000000000000e-02	8.698767e-09
9.999999999999999e-02	8.796659e-09
1.100000000000000e-01	8.865299e-09
1.200000000000000e-01	8.914004e-09
1.300000000000000e-01	8.949121e-09
1.400000000000000e-01	8.974973e-09
1.500000000000000e-01	8.994502e-09
1.600000000000000e-01	9.009712e-09
1.700000000000000e-01	9.021965e-09
1.800000000000000e-01	9.032193e-09
1.900000000000000e-01	9.041024e-09
2.000000000000000e-01	9.048890e-09
2.100000000000000e-01	9.056085e-09
2.200000000000001e-01	9.062807e-09
2.300000000000001e-01	9.069194e-09
2.400000000000001e-01	9.075340e-09
2.500000000000001e-01	9.081305e-09
2.600000000000001e-01	9.087136e-09
2.700000000000001e-01	9.092862e-09
2.800000000000001e-01	9.098504e-09
2.900000000000001e-01	9.104076e-09
3.000000000000001e-01	9.109588e-09
3.100000000000001e-01	9.115047e-09
3.200000000000001e-01	9.120458e-09
3.300000000000001e-01	9.125826e-09
3.400000000000001e-01	9.131152e-09
3.500000000000001e-01	9.136438e-09
3.600000000000002e-01	9.141687e-09
3.700000000000002e-01	9.146901e-09
3.800000000000002e-01	9.152079e-09
3.900000000000002e-01	9.157224e-09
4.000000000000002e-01	9.162337e-09
4.100000000000002e-01	9.167417e-09
4.200000000000002e-01	9.172466e-09
4.300000000000002e-01	9.177485e-09
4.400000000000002e-01	9.182473e-09
4.500000000000002e-01	9.187431e-09
4.600000000000002e-01	9.192361e-09
4.700000000000003e-01	9.197263e-09
4.800000000000003e-01	9.202136e-09
4.900000000000003e-01	9.206982e-09
5.000000000000002e-01	9.211802e-09
5.100000000000002e-01	9.216595e-09
5.200000000000002e-01	9.221361e-09
5.300000000000002e-01	9.226103e-09
5.400000000000003e-01	9.230820e-09
5.500000000000003e-01	9.235512e-09
5.600000000000003e-01	9.240179e-09
5.700000000000003e-01	9.244824e-09
5.800000000000003e-01	9.249444e-09
5.900000000000003e-01	9.254041e-09
6.000000000000003e-01	9.258616e-09
6.100000000000003e-01	9.263169e-09
6.200000000000003e-01	9.267699e-09
6.300000000000003e-01	9.272209e-09
6.400000000000003e-01	9.276696e-09
6.500000000000004e-01	9.281163e-09
6.600000000000004e-01	9.285610e-09
6.700000000000004e-01	9.290035e-09
6.800000000000004e-01	9.294441e-09
6.900000000000004e-01	9.298827e-09
7.000000000000004e-01	9.303195e-09
7.100000000000004e-01	9.307542e-09
7.200000000000004e-01	9.311870e-09
7.300000000000004e-01	9.316181e-09
7.400000000000004e-01	9.320472e-09
7.500000000000004e-01	9.324746e-09
7.600000000000005e-01	9.329002e-09
7.700000000000005e-01	9.333241e-09
7.800000000000005e-01	9.337461e-09
7.900000000000005e-01	9.341666e-09
