vin	Ix(U1:SOURCE)
0.000000000000000e+00	1.476274e-04
1.000000000000000e-02	1.476039e-04
2.000000000000000e-02	1.475804e-04
3.000000000000000e-02	1.475569e-04
4.000000000000000e-02	1.475332e-04
5.000000000000000e-02	1.475096e-04
6.000000000000000e-02	1.474858e-04
7.000000000000001e-02	1.474620e-04
8.000000000000000e-02	1.474381e-04
9.000000000000000e-02	1.474141e-04
9.999999999999999e-02	1.473900e-04
1.100000000000000e-01	1.473659e-04
1.200000000000000e-01	1.473417e-04
1.300000000000000e-01	1.473174e-04
1.400000000000000e-01	1.472931e-04
1.500000000000000e-01	1.472687e-04
1.600000000000000e-01	1.472442e-04
1.700000000000000e-01	1.472196e-04
1.800000000000000e-01	1.471949e-04
1.900000000000000e-01	1.471702e-04
2.000000000000000e-01	1.471453e-04
2.100000000000000e-01	1.471204e-04
2.200000000000001e-01	1.470955e-04
2.300000000000001e-01	1.470704e-04
2.400000000000001e-01	1.470453e-04
2.500000000000001e-01	1.470200e-04
2.600000000000001e-01	1.469947e-04
2.700000000000001e-01	1.469693e-04
2.800000000000001e-01	1.469439e-04
2.900000000000001e-01	1.469183e-04
3.000000000000001e-01	1.468927e-04
3.100000000000001e-01	1.468670e-04
3.200000000000001e-01	1.468411e-04
3.300000000000001e-01	1.468152e-04
3.400000000000001e-01	1.467893e-04
3.500000000000001e-01	1.467632e-04
3.600000000000002e-01	1.467370e-04
3.700000000000002e-01	1.467108e-04
3.800000000000002e-01	1.466845e-04
3.900000000000002e-01	1.466580e-04
4.000000000000002e-01	1.466315e-04
4.100000000000002e-01	1.466049e-04
4.200000000000002e-01	1.465782e-04
4.300000000000002e-01	1.465515e-04
4.400000000000002e-01	1.465246e-04
4.500000000000002e-01	1.464976e-04
4.600000000000002e-01	1.464706e-04
4.700000000000003e-01	1.464434e-04
4.800000000000003e-01	1.464162e-04
4.900000000000003e-01	1.463888e-04
5.000000000000002e-01	1.463614e-04
5.100000000000002e-01	1.463339e-04
5.200000000000002e-01	1.463063e-04
5.300000000000002e-01	1.462785e-04
5.400000000000003e-01	1.462507e-04
5.500000000000003e-01	1.462228e-04
5.600000000000003e-01	1.461948e-04
5.700000000000003e-01	1.461667e-04
5.800000000000003e-01	1.461385e-04
5.900000000000003e-01	1.461102e-04
6.000000000000003e-01	1.460818e-04
6.100000000000003e-01	1.460533e-04
6.200000000000003e-01	1.460246e-04
6.300000000000003e-01	1.459959e-04
6.400000000000003e-01	1.459671e-04
6.500000000000004e-01	1.459382e-04
6.600000000000004e-01	1.459092e-04
6.700000000000004e-01	1.458801e-04
6.800000000000004e-01	1.458508e-04
6.900000000000004e-01	1.458215e-04
7.000000000000004e-01	1.457921e-04
7.100000000000004e-01	1.457625e-04
7.200000000000004e-01	1.457329e-04
7.300000000000004e-01	1.457031e-04
7.400000000000004e-01	1.456732e-04
7.500000000000004e-01	1.456433e-04
7.600000000000005e-01	1.456132e-04
7.700000000000005e-01	1.455830e-04
7.800000000000005e-01	1.455527e-04
7.900000000000005e-01	1.455223e-04
8.000000000000005e-01	1.454918e-04
8.100000000000005e-01	1.454612e-04
8.200000000000005e-01	1.454304e-04
8.300000000000005e-01	1.453996e-04
8.400000000000005e-01	1.453686e-04
8.500000000000005e-01	1.453376e-04
8.600000000000005e-01	1.453064e-04
8.700000000000006e-01	1.452751e-04
8.800000000000006e-01	1.452437e-04
8.900000000000006e-01	1.452122e-04
9.000000000000006e-01	1.451805e-04
9.100000000000006e-01	1.451488e-04
9.200000000000006e-01	1.451169e-04
9.300000000000006e-01	1.450849e-04
9.400000000000006e-01	1.450528e-04
9.500000000000006e-01	1.450206e-04
9.600000000000006e-01	1.449883e-04
9.700000000000006e-01	1.449558e-04
9.800000000000006e-01	1.449232e-04
9.900000000000007e-01	1.448906e-04
1.000000000000001e+00	1.448577e-04
1.010000000000001e+00	1.448248e-04
1.020000000000001e+00	1.447917e-04
1.030000000000001e+00	1.447586e-04
1.040000000000001e+00	1.447252e-04
1.050000000000001e+00	1.446918e-04
1.060000000000001e+00	1.446582e-04
1.070000000000001e+00	1.446245e-04
1.080000000000001e+00	1.445906e-04
1.090000000000001e+00	1.445565e-04
1.100000000000001e+00	1.445223e-04
1.110000000000001e+00	1.444879e-04
1.120000000000001e+00	1.444533e-04
1.130000000000001e+00	1.444184e-04
1.140000000000001e+00	1.443833e-04
1.150000000000001e+00	1.443478e-04
1.160000000000001e+00	1.443120e-04
1.170000000000001e+00	1.442759e-04
1.180000000000001e+00	1.442394e-04
1.190000000000001e+00	1.442025e-04
1.200000000000001e+00	1.441651e-04
1.210000000000001e+00	1.441273e-04
1.220000000000001e+00	1.440890e-04
1.230000000000001e+00	1.440502e-04
1.240000000000001e+00	1.440109e-04
1.250000000000001e+00	1.439711e-04
1.260000000000001e+00	1.439307e-04
1.270000000000001e+00	1.438898e-04
1.280000000000001e+00	1.438483e-04
1.290000000000001e+00	1.438061e-04
1.300000000000001e+00	1.437634e-04
1.310000000000001e+00	1.437201e-04
1.320000000000001e+00	1.436761e-04
1.330000000000001e+00	1.436314e-04
1.340000000000001e+00	1.435860e-04
1.350000000000001e+00	1.435400e-04
1.360000000000001e+00	1.434932e-04
1.370000000000001e+00	1.434457e-04
1.380000000000001e+00	1.433974e-04
1.390000000000001e+00	1.433483e-04
1.400000000000001e+00	1.432984e-04
1.410000000000001e+00	1.432476e-04
1.420000000000001e+00	1.431960e-04
1.430000000000001e+00	1.431435e-04
1.440000000000001e+00	1.430900e-04
1.450000000000001e+00	1.430356e-04
1.460000000000001e+00	1.429802e-04
1.470000000000001e+00	1.429238e-04
1.480000000000001e+00	1.428663e-04
1.490000000000001e+00	1.428078e-04
1.500000000000001e+00	1.427481e-04
1.510000000000001e+00	1.426872e-04
1.520000000000001e+00	1.426252e-04
1.530000000000001e+00	1.425620e-04
1.540000000000001e+00	1.424975e-04
1.550000000000001e+00	1.424317e-04
1.560000000000001e+00	1.423646e-04
1.570000000000001e+00	1.422962e-04
1.580000000000001e+00	1.422264e-04
1.590000000000001e+00	1.421551e-04
1.600000000000001e+00	1.420824e-04
1.610000000000001e+00	1.420082e-04
1.620000000000001e+00	1.419325e-04
1.630000000000001e+00	1.418553e-04
