vin	Ix(U1:SOURCE)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-02	4.208878e-14
2.000000000000000e-02	8.889220e-14
3.000000000000000e-02	1.412579e-13
4.000000000000000e-02	1.999880e-13
5.000000000000000e-02	2.658255e-13
6.000000000000000e-02	3.394577e-13
7.000000000000001e-02	4.215377e-13
8.000000000000000e-02	5.127228e-13
9.000000000000000e-02	6.137250e-13
9.999999999999999e-02	7.253714e-13
1.100000000000000e-01	8.486707e-13
1.200000000000000e-01	9.848877e-13
1.300000000000000e-01	1.135625e-12
1.400000000000000e-01	1.302919e-12
1.500000000000000e-01	1.489349e-12
1.600000000000000e-01	1.698175e-12
1.700000000000000e-01	1.933500e-12
1.800000000000000e-01	2.200474e-12
1.900000000000000e-01	2.505547e-12
2.000000000000000e-01	2.856781e-12
2.100000000000000e-01	3.264250e-12
2.200000000000001e-01	3.740540e-12
2.300000000000001e-01	4.301376e-12
2.400000000000001e-01	4.966431e-12
2.500000000000001e-01	5.760354e-12
2.600000000000001e-01	6.714072e-12
2.700000000000001e-01	7.866487e-12
2.800000000000001e-01	9.266629e-12
2.900000000000001e-01	1.097645e-11
3.000000000000001e-01	1.307439e-11
3.100000000000001e-01	1.566007e-11
3.200000000000001e-01	1.886024e-11
3.300000000000001e-01	2.283655e-11
3.400000000000001e-01	2.779568e-11
3.500000000000001e-01	3.400235e-11
3.600000000000002e-01	4.179640e-11
3.700000000000002e-01	5.161487e-11
3.800000000000002e-01	6.402089e-11
3.900000000000002e-01	7.974121e-11
4.000000000000002e-01	9.971524e-11
4.100000000000002e-01	1.251590e-10
4.200000000000002e-01	1.576484e-10
4.300000000000002e-01	1.992277e-10
4.400000000000002e-01	2.525509e-10
4.500000000000002e-01	3.210645e-10
4.600000000000002e-01	4.092444e-10
4.700000000000003e-01	5.229001e-10
4.800000000000003e-01	6.695633e-10
4.900000000000003e-01	8.589786e-10
5.000000000000002e-01	1.103716e-09
5.100000000000002e-01	1.419923e-09
5.200000000000002e-01	1.828219e-09
5.300000000000002e-01	2.354734e-09
5.400000000000003e-01	3.032256e-09
5.500000000000003e-01	3.901418e-09
5.600000000000003e-01	5.011807e-09
5.700000000000003e-01	6.422846e-09
5.800000000000003e-01	8.204252e-09
