vin	Ix(U1:SOURCE)
0.000000000000000e+00	1.425496e-08
1.000000000000000e-02	1.424633e-08
2.000000000000000e-02	1.423770e-08
3.000000000000000e-02	1.422907e-08
4.000000000000000e-02	1.422042e-08
5.000000000000000e-02	1.421178e-08
6.000000000000000e-02	1.420312e-08
7.000000000000001e-02	1.419446e-08
8.000000000000000e-02	1.418580e-08
9.000000000000000e-02	1.417713e-08
9.999999999999999e-02	1.416845e-08
1.100000000000000e-01	1.415977e-08
1.200000000000000e-01	1.415108e-08
1.300000000000000e-01	1.414239e-08
1.400000000000000e-01	1.413369e-08
1.500000000000000e-01	1.412498e-08
1.600000000000000e-01	1.411627e-08
1.700000000000000e-01	1.410756e-08
1.800000000000000e-01	1.409883e-08
1.900000000000000e-01	1.409010e-08
2.000000000000000e-01	1.408137e-08
2.100000000000000e-01	1.407263e-08
2.200000000000001e-01	1.406388e-08
2.300000000000001e-01	1.405513e-08
2.400000000000001e-01	1.404637e-08
2.500000000000001e-01	1.403760e-08
2.600000000000001e-01	1.402883e-08
2.700000000000001e-01	1.402006e-08
2.800000000000001e-01	1.401127e-08
2.900000000000001e-01	1.400248e-08
3.000000000000001e-01	1.399369e-08
3.100000000000001e-01	1.398489e-08
3.200000000000001e-01	1.397608e-08
3.300000000000001e-01	1.396727e-08
3.400000000000001e-01	1.395845e-08
3.500000000000001e-01	1.394962e-08
3.600000000000002e-01	1.394079e-08
3.700000000000002e-01	1.393195e-08
3.800000000000002e-01	1.392311e-08
3.900000000000002e-01	1.391426e-08
4.000000000000002e-01	1.390540e-08
4.100000000000002e-01	1.389654e-08
4.200000000000002e-01	1.388767e-08
4.300000000000002e-01	1.387879e-08
4.400000000000002e-01	1.386991e-08
4.500000000000002e-01	1.386102e-08
4.600000000000002e-01	1.385213e-08
4.700000000000003e-01	1.384323e-08
4.800000000000003e-01	1.383432e-08
4.900000000000003e-01	1.382541e-08
5.000000000000002e-01	1.381649e-08
5.100000000000002e-01	1.380756e-08
5.200000000000002e-01	1.379863e-08
5.300000000000002e-01	1.378969e-08
5.400000000000003e-01	1.378075e-08
5.500000000000003e-01	1.377179e-08
5.600000000000003e-01	1.376284e-08
5.700000000000003e-01	1.375387e-08
5.800000000000003e-01	1.374490e-08
5.900000000000003e-01	1.373592e-08
6.000000000000003e-01	1.372694e-08
6.100000000000003e-01	1.371795e-08
6.200000000000003e-01	1.370895e-08
6.300000000000003e-01	1.369995e-08
6.400000000000003e-01	1.369094e-08
6.500000000000004e-01	1.368192e-08
6.600000000000004e-01	1.367289e-08
6.700000000000004e-01	1.366386e-08
6.800000000000004e-01	1.365483e-08
6.900000000000004e-01	1.364578e-08
7.000000000000004e-01	1.363673e-08
7.100000000000004e-01	1.362768e-08
7.200000000000004e-01	1.361861e-08
7.300000000000004e-01	1.360954e-08
7.400000000000004e-01	1.360047e-08
7.500000000000004e-01	1.359138e-08
7.600000000000005e-01	1.358229e-08
7.700000000000005e-01	1.357319e-08
7.800000000000005e-01	1.356409e-08
7.900000000000005e-01	1.355498e-08
8.000000000000005e-01	1.354586e-08
8.100000000000005e-01	1.353673e-08
8.200000000000005e-01	1.352760e-08
8.300000000000005e-01	1.351846e-08
8.400000000000005e-01	1.350932e-08
8.500000000000005e-01	1.350017e-08
8.600000000000005e-01	1.349101e-08
8.700000000000006e-01	1.348184e-08
8.800000000000006e-01	1.347267e-08
8.900000000000006e-01	1.346348e-08
9.000000000000006e-01	1.345430e-08
9.100000000000006e-01	1.344510e-08
9.200000000000006e-01	1.343590e-08
9.300000000000006e-01	1.342669e-08
9.400000000000006e-01	1.341748e-08
9.500000000000006e-01	1.340825e-08
9.600000000000006e-01	1.339902e-08
9.700000000000006e-01	1.338979e-08
9.800000000000006e-01	1.338054e-08
9.900000000000007e-01	1.337129e-08
1.000000000000001e+00	1.336203e-08
1.010000000000001e+00	1.335276e-08
1.020000000000001e+00	1.334349e-08
1.030000000000001e+00	1.333421e-08
1.040000000000001e+00	1.332492e-08
1.050000000000001e+00	1.331563e-08
1.060000000000001e+00	1.330632e-08
1.070000000000001e+00	1.329701e-08
1.080000000000001e+00	1.328770e-08
