i_in	I(I_out1)	I(I_out2)
0.000000000000000e+00	1.530775e-28	3.061550e-28
1.000000000000000e-05	6.663996e-06	3.336004e-06
2.000000000000000e-05	1.332262e-05	6.677378e-06
3.000000000000000e-05	1.997583e-05	1.002417e-05
4.000000000000000e-05	2.662358e-05	1.337642e-05
5.000000000000000e-05	3.326582e-05	1.673418e-05
6.000000000000000e-05	3.990250e-05	2.009750e-05
7.000000000000001e-05	4.653357e-05	2.346643e-05
8.000000000000001e-05	5.315898e-05	2.684103e-05
9.000000000000001e-05	5.977867e-05	3.022133e-05
1.000000000000000e-04	6.639258e-05	3.360741e-05
1.100000000000000e-04	7.300068e-05	3.699932e-05
1.200000000000000e-04	7.960288e-05	4.039712e-05
1.300000000000000e-04	8.619914e-05	4.380086e-05
1.400000000000000e-04	9.278937e-05	4.721063e-05
1.500000000000000e-04	9.937354e-05	5.062647e-05
1.600000000000000e-04	1.059515e-04	5.404845e-05
1.700000000000000e-04	1.125233e-04	5.747665e-05
1.800000000000000e-04	1.190889e-04	6.091114e-05
1.900000000000000e-04	1.256480e-04	6.435200e-05
2.000000000000000e-04	1.322007e-04	6.779931e-05
2.100000000000000e-04	1.387469e-04	7.125314e-05
2.200000000000000e-04	1.452864e-04	7.471359e-05
2.300000000000000e-04	1.518193e-04	7.818073e-05
2.400000000000000e-04	1.583453e-04	8.165467e-05
2.500000000000000e-04	1.648645e-04	8.513550e-05
2.600000000000000e-04	1.713767e-04	8.862332e-05
2.700000000000001e-04	1.778818e-04	9.211824e-05
2.800000000000001e-04	1.843796e-04	9.562037e-05
2.900000000000001e-04	1.908702e-04	9.912982e-05
3.000000000000001e-04	1.973533e-04	1.026467e-04
3.100000000000002e-04	2.038288e-04	1.061712e-04
3.200000000000002e-04	2.102966e-04	1.097034e-04
3.300000000000002e-04	2.167566e-04	1.132434e-04
3.400000000000002e-04	2.232086e-04	1.167914e-04
3.500000000000003e-04	2.296524e-04	1.203476e-04
3.600000000000003e-04	2.360879e-04	1.239121e-04
3.700000000000003e-04	2.425149e-04	1.274851e-04
3.800000000000003e-04	2.489332e-04	1.310668e-04
3.900000000000004e-04	2.553426e-04	1.346574e-04
4.000000000000004e-04	2.617429e-04	1.382571e-04
4.100000000000004e-04	2.681339e-04	1.418661e-04
4.200000000000005e-04	2.745153e-04	1.454847e-04
4.300000000000005e-04	2.808869e-04	1.491131e-04
4.400000000000005e-04	2.872483e-04	1.527517e-04
4.500000000000005e-04	2.935994e-04	1.564006e-04
4.600000000000006e-04	2.999397e-04	1.600603e-04
4.700000000000006e-04	3.062689e-04	1.637311e-04
4.800000000000006e-04	3.125866e-04	1.674134e-04
4.900000000000006e-04	3.188924e-04	1.711076e-04
5.000000000000007e-04	3.251859e-04	1.748141e-04
5.100000000000007e-04	3.314664e-04	1.785336e-04
5.200000000000007e-04	3.377335e-04	1.822665e-04
5.300000000000007e-04	3.439866e-04	1.860134e-04
5.400000000000008e-04	3.502248e-04	1.897752e-04
5.500000000000008e-04	3.564475e-04	1.935525e-04
5.600000000000008e-04	3.626537e-04	1.973463e-04
5.700000000000008e-04	3.688424e-04	2.011576e-04
5.800000000000009e-04	3.750124e-04	2.049876e-04
5.900000000000009e-04	3.811624e-04	2.088376e-04
6.000000000000009e-04	3.872907e-04	2.127093e-04
6.100000000000009e-04	3.933954e-04	2.166046e-04
6.200000000000010e-04	3.994741e-04	2.205259e-04
6.300000000000010e-04	4.055240e-04	2.244760e-04
6.400000000000010e-04	4.115415e-04	2.284585e-04
6.500000000000011e-04	4.175217e-04	2.324782e-04
6.600000000000011e-04	4.234586e-04	2.365414e-04
6.700000000000011e-04	4.293432e-04	2.406568e-04
6.800000000000011e-04	4.351627e-04	2.448373e-04
6.900000000000012e-04	4.408965e-04	2.491035e-04
7.000000000000012e-04	4.465080e-04	2.534920e-04
7.100000000000012e-04	4.519201e-04	2.580799e-04
7.200000000000012e-04	4.569636e-04	2.630364e-04
7.300000000000013e-04	4.627406e-04	2.672594e-04
7.400000000000013e-04	4.680028e-04	2.693568e-04
7.500000000000013e-04	4.689218e-04	2.696984e-04
7.600000000000013e-04	4.692557e-04	2.698408e-04
7.700000000000014e-04	4.696086e-04	2.699667e-04
7.800000000000014e-04	4.697734e-04	2.700409e-04
7.900000000000014e-04	4.699708e-04	2.701155e-04
8.000000000000014e-04	4.701455e-04	2.701807e-04
8.100000000000015e-04	4.702961e-04	2.702374e-04
8.200000000000015e-04	4.704300e-04	2.702881e-04
8.300000000000015e-04	4.705513e-04	2.703341e-04
8.400000000000016e-04	4.706625e-04	2.703764e-04
8.500000000000016e-04	4.707653e-04	2.704155e-04
8.600000000000016e-04	4.708611e-04	2.704521e-04
8.700000000000016e-04	4.709510e-04	2.704864e-04
8.800000000000017e-04	4.711204e-04	2.705299e-04
8.900000000000017e-04	4.711714e-04	2.705559e-04
9.000000000000017e-04	4.712620e-04	2.705869e-04
9.100000000000017e-04	4.713216e-04	2.706127e-04
9.200000000000018e-04	4.713923e-04	2.706393e-04
9.300000000000018e-04	4.714532e-04	2.706640e-04
9.400000000000018e-04	4.715156e-04	2.706882e-04
9.500000000000018e-04	4.715741e-04	2.707114e-04
9.600000000000019e-04	4.716316e-04	2.707339e-04
9.700000000000019e-04	4.716870e-04	2.707557e-04
9.800000000000019e-04	4.717409e-04	2.707769e-04
9.900000000000019e-04	4.717932e-04	2.707974e-04
1.000000000000000e-03	4.718441e-04	2.708174e-04
