i_in	Ix(U1:DRAIN)	Ix(U2:DRAIN)
0.000000000000000e+00	1.891434e-11	1.891876e-11
1.000000000000000e-04	6.547995e-05	3.452486e-05
2.000000000000000e-04	1.299164e-04	7.008677e-05
3.000000000000000e-04	1.937172e-04	1.062849e-04
4.000000000000000e-04	2.570175e-04	1.429843e-04
5.000000000000000e-04	3.198950e-04	1.801081e-04
6.000000000000001e-04	3.824024e-04	2.176033e-04
7.000000000000001e-04	4.445757e-04	2.554343e-04
8.000000000000001e-04	5.064401e-04	2.935773e-04
9.000000000000002e-04	5.671055e-04	3.314610e-04
1.000000000000000e-03	5.891903e-04	3.453702e-04
