i_in	I(I_out1)	I(I_out2)
0.000000000000000e+00	1.530775e-28	3.061550e-28
1.000000000000000e-04	6.639259e-05	3.360741e-05
2.000000000000000e-04	1.322007e-04	6.779929e-05
3.000000000000000e-04	1.973533e-04	1.026467e-04
4.000000000000000e-04	2.617431e-04	1.382569e-04
5.000000000000000e-04	3.251859e-04	1.748142e-04
6.000000000000001e-04	3.872906e-04	2.127093e-04
7.000000000000001e-04	4.465078e-04	2.534922e-04
8.000000000000001e-04	4.701615e-04	2.701838e-04
9.000000000000002e-04	4.711807e-04	2.705769e-04
1.000000000000000e-03	4.718496e-04	2.708174e-04
