v1	V(n005)	I(I1)	I(I2)	I(Ib)
3.600000000000000e+00	2.611396e+00	8.092081e-12	9.821237e-08	9.819113e-08
3.601000000000000e+00	2.611396e+00	8.106730e-12	9.821235e-08	9.819113e-08
3.602000000000000e+00	2.611396e+00	8.121850e-12	9.821234e-08	9.819113e-08
3.603000000000000e+00	2.611396e+00	8.137457e-12	9.821233e-08	9.819113e-08
3.604000000000000e+00	2.611396e+00	8.153564e-12	9.821231e-08	9.819113e-08
3.605000000000000e+00	2.611396e+00	8.170188e-12	9.821229e-08	9.819113e-08
3.605999999999999e+00	2.611396e+00	8.187347e-12	9.821228e-08	9.819113e-08
3.606999999999999e+00	2.611396e+00	8.205058e-12	9.821225e-08	9.819113e-08
3.607999999999999e+00	2.611396e+00	8.223335e-12	9.821224e-08	9.819113e-08
3.608999999999999e+00	2.611396e+00	8.242206e-12	9.821222e-08	9.819113e-08
3.609999999999999e+00	2.611396e+00	8.261677e-12	9.821220e-08	9.819113e-08
3.610999999999999e+00	2.611396e+00	8.281775e-12	9.821218e-08	9.819113e-08
3.611999999999999e+00	2.611396e+00	8.302521e-12	9.821216e-08	9.819113e-08
3.612999999999999e+00	2.611396e+00	8.323927e-12	9.821214e-08	9.819113e-08
3.613999999999999e+00	2.611396e+00	8.346027e-12	9.821211e-08	9.819113e-08
3.614999999999998e+00	2.611396e+00	8.368836e-12	9.821209e-08	9.819113e-08
3.615999999999998e+00	2.611396e+00	8.392379e-12	9.821207e-08	9.819113e-08
3.616999999999998e+00	2.611396e+00	8.416671e-12	9.821205e-08	9.819113e-08
3.617999999999998e+00	2.611396e+00	8.441753e-12	9.821202e-08	9.819113e-08
3.618999999999998e+00	2.611396e+00	8.467638e-12	9.821199e-08	9.819113e-08
3.619999999999998e+00	2.611396e+00	8.494352e-12	9.821197e-08	9.819113e-08
3.620999999999998e+00	2.611396e+00	8.521923e-12	9.821194e-08	9.819113e-08
3.621999999999998e+00	2.611396e+00	8.550383e-12	9.821191e-08	9.819113e-08
3.622999999999998e+00	2.611397e+00	8.579761e-12	9.821188e-08	9.819113e-08
3.623999999999997e+00	2.611397e+00	8.610082e-12	9.821185e-08	9.819113e-08
3.624999999999997e+00	2.611397e+00	8.641372e-12	9.821182e-08	9.819113e-08
3.625999999999997e+00	2.611397e+00	8.673670e-12	9.821179e-08	9.819113e-08
3.626999999999997e+00	2.611397e+00	8.707004e-12	9.821176e-08	9.819113e-08
3.627999999999997e+00	2.611397e+00	8.741418e-12	9.821172e-08	9.819113e-08
3.628999999999997e+00	2.611397e+00	8.776932e-12	9.821169e-08	9.819113e-08
3.629999999999997e+00	2.611397e+00	8.813584e-12	9.821165e-08	9.819113e-08
3.630999999999997e+00	2.611397e+00	8.851414e-12	9.821161e-08	9.819113e-08
3.631999999999997e+00	2.611397e+00	8.890470e-12	9.821157e-08	9.819113e-08
3.632999999999996e+00	2.611397e+00	8.930774e-12	9.821153e-08	9.819113e-08
3.633999999999996e+00	2.611397e+00	8.972372e-12	9.821149e-08	9.819113e-08
3.634999999999996e+00	2.611397e+00	9.015312e-12	9.821144e-08	9.819113e-08
3.635999999999996e+00	2.611397e+00	9.059627e-12	9.821140e-08	9.819113e-08
3.636999999999996e+00	2.611397e+00	9.105371e-12	9.821136e-08	9.819113e-08
3.637999999999996e+00	2.611397e+00	9.152581e-12	9.821131e-08	9.819113e-08
3.638999999999996e+00	2.611397e+00	9.201309e-12	9.821126e-08	9.819113e-08
3.639999999999996e+00	2.611397e+00	9.251610e-12	9.821121e-08	9.819113e-08
3.640999999999996e+00	2.611397e+00	9.303522e-12	9.821116e-08	9.819113e-08
3.641999999999995e+00	2.611397e+00	9.357105e-12	9.821110e-08	9.819113e-08
3.642999999999995e+00	2.611397e+00	9.412412e-12	9.821105e-08	9.819113e-08
3.643999999999995e+00	2.611397e+00	9.469496e-12	9.821099e-08	9.819113e-08
3.644999999999995e+00	2.611397e+00	9.528414e-12	9.821093e-08	9.819113e-08
3.645999999999995e+00	2.611397e+00	9.589230e-12	9.821088e-08	9.819113e-08
3.646999999999995e+00	2.611397e+00	9.651998e-12	9.821081e-08	9.819113e-08
3.647999999999995e+00	2.611397e+00	9.716782e-12	9.821075e-08	9.819113e-08
