v1	V(n002)	Ix(U2:SOURCE)	Ix(U3:SOURCE)	Ix(U4:DRAIN)
2.200000000000000e+00	3.192920e+00	4.856993e-08	4.857544e-08	-2.759612e-12
2.201000000000000e+00	3.193819e+00	4.856793e-08	4.857346e-08	-2.758241e-12
2.202000000000000e+00	3.194716e+00	4.856594e-08	4.857145e-08	-2.756869e-12
2.203000000000000e+00	3.195615e+00	4.856394e-08	4.856945e-08	-2.755498e-12
2.204000000000000e+00	3.196513e+00	4.856195e-08	4.856746e-08	-2.754127e-12
2.205000000000000e+00	3.197411e+00	4.855995e-08	4.856546e-08	-2.752755e-12
2.206000000000000e+00	3.198309e+00	4.855796e-08	4.856346e-08	-2.751384e-12
2.206999999999999e+00	3.199207e+00	4.855596e-08	4.856146e-08	-2.750012e-12
2.207999999999999e+00	3.200105e+00	4.855397e-08	4.855946e-08	-2.748641e-12
2.208999999999999e+00	3.201003e+00	4.855197e-08	4.855747e-08	-2.747270e-12
2.209999999999999e+00	3.201900e+00	4.854997e-08	4.855547e-08	-2.745899e-12
2.210999999999999e+00	3.202798e+00	4.854798e-08	4.855347e-08	-2.744527e-12
2.211999999999999e+00	3.203696e+00	4.854598e-08	4.855147e-08	-2.743156e-12
2.212999999999999e+00	3.204594e+00	4.854398e-08	4.854947e-08	-2.741785e-12
2.213999999999999e+00	3.205492e+00	4.854198e-08	4.854747e-08	-2.740414e-12
2.214999999999999e+00	3.206390e+00	4.853999e-08	4.854547e-08	-2.739043e-12
2.215999999999998e+00	3.207288e+00	4.853799e-08	4.854346e-08	-2.737672e-12
2.216999999999998e+00	3.208185e+00	4.853599e-08	4.854146e-08	-2.736301e-12
2.217999999999998e+00	3.209083e+00	4.853399e-08	4.853946e-08	-2.734930e-12
2.218999999999998e+00	3.209981e+00	4.853199e-08	4.853746e-08	-2.733559e-12
2.219999999999998e+00	3.210879e+00	4.852999e-08	4.853545e-08	-2.732188e-12
2.220999999999998e+00	3.211776e+00	4.852799e-08	4.853345e-08	-2.730817e-12
2.221999999999998e+00	3.212674e+00	4.852599e-08	4.853145e-08	-2.729446e-12
2.222999999999998e+00	3.213572e+00	4.852399e-08	4.852944e-08	-2.728076e-12
2.223999999999998e+00	3.214469e+00	4.852199e-08	4.852744e-08	-2.726705e-12
2.224999999999997e+00	3.215367e+00	4.851998e-08	4.852544e-08	-2.725334e-12
2.225999999999997e+00	3.216264e+00	4.851798e-08	4.852343e-08	-2.723963e-12
2.226999999999997e+00	3.217162e+00	4.851598e-08	4.852143e-08	-2.722593e-12
2.227999999999997e+00	3.218060e+00	4.851398e-08	4.851942e-08	-2.721222e-12
2.228999999999997e+00	3.218957e+00	4.851197e-08	4.851741e-08	-2.719851e-12
2.229999999999997e+00	3.219855e+00	4.850997e-08	4.851541e-08	-2.718481e-12
2.230999999999997e+00	3.220752e+00	4.850797e-08	4.851340e-08	-2.717110e-12
2.231999999999997e+00	3.221649e+00	4.850596e-08	4.851139e-08	-2.715740e-12
2.232999999999997e+00	3.222547e+00	4.850396e-08	4.850938e-08	-2.714369e-12
2.233999999999996e+00	3.223444e+00	4.850195e-08	4.850738e-08	-2.712999e-12
2.234999999999996e+00	3.224342e+00	4.849995e-08	4.850537e-08	-2.711628e-12
2.235999999999996e+00	3.225239e+00	4.849794e-08	4.850336e-08	-2.710258e-12
2.236999999999996e+00	3.226136e+00	4.849594e-08	4.850136e-08	-2.708887e-12
2.237999999999996e+00	3.227034e+00	4.849393e-08	4.849934e-08	-2.707517e-12
2.238999999999996e+00	3.227931e+00	4.849192e-08	4.849733e-08	-2.706147e-12
2.239999999999996e+00	3.228828e+00	4.848992e-08	4.849533e-08	-2.704777e-12
2.240999999999996e+00	3.229726e+00	4.848791e-08	4.849332e-08	-2.703406e-12
2.241999999999996e+00	3.230623e+00	4.848590e-08	4.849131e-08	-2.702036e-12
2.242999999999995e+00	3.231520e+00	4.848389e-08	4.848929e-08	-2.700666e-12
2.243999999999995e+00	3.232417e+00	4.848188e-08	4.848728e-08	-2.699296e-12
2.244999999999995e+00	3.233315e+00	4.847988e-08	4.848527e-08	-2.697926e-12
2.245999999999995e+00	3.234212e+00	4.847787e-08	4.848326e-08	-2.696555e-12
2.246999999999995e+00	3.235109e+00	4.847586e-08	4.848125e-08	-2.695185e-12
2.247999999999995e+00	3.236006e+00	4.847385e-08	4.847924e-08	-2.693815e-12
2.248999999999995e+00	3.236903e+00	4.847184e-08	4.847722e-08	-2.692445e-12
2.249999999999995e+00	3.237800e+00	4.846983e-08	4.847521e-08	-2.691075e-12
2.250999999999995e+00	3.238697e+00	4.846782e-08	4.847320e-08	-2.689706e-12
2.251999999999994e+00	3.239594e+00	4.846581e-08	4.847118e-08	-2.688336e-12
2.252999999999994e+00	3.240491e+00	4.846379e-08	4.846917e-08	-2.686966e-12
2.253999999999994e+00	3.241388e+00	4.846178e-08	4.846715e-08	-2.685596e-12
2.254999999999994e+00	3.242285e+00	4.845977e-08	4.846514e-08	-2.684226e-12
2.255999999999994e+00	3.243182e+00	4.845776e-08	4.846313e-08	-2.682856e-12
2.256999999999994e+00	3.244079e+00	4.845575e-08	4.846111e-08	-2.681487e-12
2.257999999999994e+00	3.244976e+00	4.845373e-08	4.845909e-08	-2.680117e-12
2.258999999999994e+00	3.245873e+00	4.845172e-08	4.845707e-08	-2.678747e-12
2.259999999999994e+00	3.246770e+00	4.844970e-08	4.845506e-08	-2.677378e-12
2.260999999999993e+00	3.247667e+00	4.844769e-08	4.845304e-08	-2.676008e-12
2.261999999999993e+00	3.248563e+00	4.844567e-08	4.845102e-08	-2.674639e-12
2.262999999999993e+00	3.249460e+00	4.844366e-08	4.844901e-08	-2.673269e-12
2.263999999999993e+00	3.250357e+00	4.844165e-08	4.844699e-08	-2.671899e-12
2.264999999999993e+00	3.251254e+00	4.843963e-08	4.844497e-08	-2.670530e-12
2.265999999999993e+00	3.252151e+00	4.843761e-08	4.844295e-08	-2.669160e-12
2.266999999999993e+00	3.253047e+00	4.843560e-08	4.844093e-08	-2.667791e-12
2.267999999999993e+00	3.253944e+00	4.843358e-08	4.843891e-08	-2.666422e-12
2.268999999999993e+00	3.254840e+00	4.843156e-08	4.843689e-08	-2.665052e-12
2.269999999999992e+00	3.255737e+00	4.842954e-08	4.843487e-08	-2.663683e-12
2.270999999999992e+00	3.256634e+00	4.842753e-08	4.843285e-08	-2.662314e-12
2.271999999999992e+00	3.257530e+00	4.842551e-08	4.843083e-08	-2.660944e-12
2.272999999999992e+00	3.258427e+00	4.842349e-08	4.842881e-08	-2.659575e-12
2.273999999999992e+00	3.259324e+00	4.842147e-08	4.842679e-08	-2.658206e-12
2.274999999999992e+00	3.260220e+00	4.841945e-08	4.842477e-08	-2.656837e-12
2.275999999999992e+00	3.261117e+00	4.841743e-08	4.842274e-08	-2.655468e-12
2.276999999999992e+00	3.262013e+00	4.841541e-08	4.842072e-08	-2.654099e-12
2.277999999999992e+00	3.262909e+00	4.841339e-08	4.841870e-08	-2.652729e-12
2.278999999999991e+00	3.263806e+00	4.841137e-08	4.841667e-08	-2.651360e-12
2.279999999999991e+00	3.264702e+00	4.840935e-08	4.841465e-08	-2.649991e-12
2.280999999999991e+00	3.265599e+00	4.840733e-08	4.841263e-08	-2.648622e-12
2.281999999999991e+00	3.266495e+00	4.840531e-08	4.841060e-08	-2.647254e-12
2.282999999999991e+00	3.267392e+00	4.840329e-08	4.840858e-08	-2.645885e-12
2.283999999999991e+00	3.268288e+00	4.840127e-08	4.840655e-08	-2.644516e-12
2.284999999999991e+00	3.269184e+00	4.839924e-08	4.840453e-08	-2.643147e-12
2.285999999999991e+00	3.270081e+00	4.839722e-08	4.840250e-08	-2.641778e-12
2.286999999999991e+00	3.270977e+00	4.839519e-08	4.840048e-08	-2.640409e-12
2.287999999999990e+00	3.271873e+00	4.839317e-08	4.839845e-08	-2.639040e-12
2.288999999999990e+00	3.272769e+00	4.839115e-08	4.839642e-08	-2.637672e-12
2.289999999999990e+00	3.273665e+00	4.838912e-08	4.839439e-08	-2.636303e-12
2.290999999999990e+00	3.274562e+00	4.838710e-08	4.839237e-08	-2.634934e-12
2.291999999999990e+00	3.275458e+00	4.838507e-08	4.839034e-08	-2.633566e-12
2.292999999999990e+00	3.276354e+00	4.838305e-08	4.838831e-08	-2.632197e-12
2.293999999999990e+00	3.277250e+00	4.838102e-08	4.838628e-08	-2.630828e-12
2.294999999999990e+00	3.278146e+00	4.837899e-08	4.838425e-08	-2.629460e-12
2.295999999999990e+00	3.279042e+00	4.837697e-08	4.838222e-08	-2.628091e-12
2.296999999999989e+00	3.279938e+00	4.837494e-08	4.838019e-08	-2.626723e-12
2.297999999999989e+00	3.280834e+00	4.837291e-08	4.837816e-08	-2.625354e-12
2.298999999999989e+00	3.281730e+00	4.837089e-08	4.837613e-08	-2.623986e-12
2.299999999999989e+00	3.282626e+00	4.836886e-08	4.837410e-08	-2.622618e-12
2.300999999999989e+00	3.283522e+00	4.836683e-08	4.837207e-08	-2.621249e-12
2.301999999999989e+00	3.284418e+00	4.836480e-08	4.837004e-08	-2.619881e-12
2.302999999999989e+00	3.285314e+00	4.836277e-08	4.836800e-08	-2.618512e-12
2.303999999999989e+00	3.286210e+00	4.836074e-08	4.836597e-08	-2.617144e-12
2.304999999999989e+00	3.287106e+00	4.835871e-08	4.836394e-08	-2.615776e-12
2.305999999999989e+00	3.288002e+00	4.835668e-08	4.836191e-08	-2.614408e-12
2.306999999999988e+00	3.288898e+00	4.835465e-08	4.835988e-08	-2.613040e-12
2.307999999999988e+00	3.289793e+00	4.835262e-08	4.835784e-08	-2.611671e-12
2.308999999999988e+00	3.290689e+00	4.835059e-08	4.835581e-08	-2.610303e-12
2.309999999999988e+00	3.291585e+00	4.834855e-08	4.835377e-08	-2.608935e-12
2.310999999999988e+00	3.292481e+00	4.834652e-08	4.835174e-08	-2.607567e-12
2.311999999999988e+00	3.293377e+00	4.834449e-08	4.834970e-08	-2.606199e-12
2.312999999999988e+00	3.294272e+00	4.834246e-08	4.834767e-08	-2.604831e-12
2.313999999999988e+00	3.295168e+00	4.834042e-08	4.834563e-08	-2.603463e-12
2.314999999999988e+00	3.296064e+00	4.833839e-08	4.834359e-08	-2.602095e-12
2.315999999999987e+00	3.296959e+00	4.833636e-08	4.834156e-08	-2.600727e-12
2.316999999999987e+00	3.297855e+00	4.833432e-08	4.833952e-08	-2.599359e-12
2.317999999999987e+00	3.298750e+00	4.833229e-08	4.833748e-08	-2.597991e-12
2.318999999999987e+00	3.299646e+00	4.833025e-08	4.833545e-08	-2.596623e-12
2.319999999999987e+00	3.300542e+00	4.832822e-08	4.833341e-08	-2.595255e-12
2.320999999999987e+00	3.301437e+00	4.832618e-08	4.833137e-08	-2.593887e-12
2.321999999999987e+00	3.302333e+00	4.832415e-08	4.832933e-08	-2.592520e-12
2.322999999999987e+00	3.303228e+00	4.832211e-08	4.832729e-08	-2.591152e-12
2.323999999999987e+00	3.304124e+00	4.832007e-08	4.832525e-08	-2.589784e-12
2.324999999999986e+00	3.305019e+00	4.831804e-08	4.832321e-08	-2.588416e-12
2.325999999999986e+00	3.305914e+00	4.831600e-08	4.832117e-08	-2.587048e-12
2.326999999999986e+00	3.306810e+00	4.831396e-08	4.831913e-08	-2.585681e-12
2.327999999999986e+00	3.307705e+00	4.831192e-08	4.831709e-08	-2.584313e-12
2.328999999999986e+00	3.308601e+00	4.830988e-08	4.831505e-08	-2.582946e-12
2.329999999999986e+00	3.309496e+00	4.830784e-08	4.831301e-08	-2.581578e-12
2.330999999999986e+00	3.310391e+00	4.830580e-08	4.831097e-08	-2.580210e-12
2.331999999999986e+00	3.311286e+00	4.830376e-08	4.830892e-08	-2.578843e-12
2.332999999999986e+00	3.312182e+00	4.830173e-08	4.830688e-08	-2.577475e-12
2.333999999999985e+00	3.313077e+00	4.829968e-08	4.830484e-08	-2.576108e-12
2.334999999999985e+00	3.313972e+00	4.829764e-08	4.830279e-08	-2.574740e-12
2.335999999999985e+00	3.314867e+00	4.829560e-08	4.830075e-08	-2.573373e-12
2.336999999999985e+00	3.315763e+00	4.829356e-08	4.829871e-08	-2.572005e-12
2.337999999999985e+00	3.316658e+00	4.829152e-08	4.829666e-08	-2.570637e-12
2.338999999999985e+00	3.317553e+00	4.828948e-08	4.829462e-08	-2.569270e-12
2.339999999999985e+00	3.318448e+00	4.828743e-08	4.829257e-08	-2.567903e-12
2.340999999999985e+00	3.319343e+00	4.828539e-08	4.829052e-08	-2.566535e-12
2.341999999999985e+00	3.320238e+00	4.828335e-08	4.828848e-08	-2.565168e-12
2.342999999999984e+00	3.321133e+00	4.828130e-08	4.828643e-08	-2.563801e-12
2.343999999999984e+00	3.322028e+00	4.827926e-08	4.828438e-08	-2.562433e-12
2.344999999999984e+00	3.322923e+00	4.827722e-08	4.828234e-08	-2.561066e-12
2.345999999999984e+00	3.323818e+00	4.827517e-08	4.828029e-08	-2.559698e-12
2.346999999999984e+00	3.324713e+00	4.827313e-08	4.827824e-08	-2.558331e-12
2.347999999999984e+00	3.325608e+00	4.827108e-08	4.827619e-08	-2.556964e-12
2.348999999999984e+00	3.326503e+00	4.826903e-08	4.827415e-08	-2.555596e-12
2.349999999999984e+00	3.327398e+00	4.826699e-08	4.827210e-08	-2.554229e-12
2.350999999999984e+00	3.328293e+00	4.826494e-08	4.827005e-08	-2.552862e-12
2.351999999999983e+00	3.329187e+00	4.826289e-08	4.826800e-08	-2.551494e-12
2.352999999999983e+00	3.330082e+00	4.826084e-08	4.826595e-08	-2.550127e-12
2.353999999999983e+00	3.330977e+00	4.825880e-08	4.826390e-08	-2.548760e-12
2.354999999999983e+00	3.331872e+00	4.825675e-08	4.826185e-08	-2.547393e-12
2.355999999999983e+00	3.332767e+00	4.825470e-08	4.825979e-08	-2.546025e-12
2.356999999999983e+00	3.333661e+00	4.825265e-08	4.825774e-08	-2.544658e-12
2.357999999999983e+00	3.334556e+00	4.825060e-08	4.825569e-08	-2.543291e-12
2.358999999999983e+00	3.335450e+00	4.824855e-08	4.825364e-08	-2.541923e-12
2.359999999999983e+00	3.336345e+00	4.824650e-08	4.825159e-08	-2.540556e-12
2.360999999999982e+00	3.337240e+00	4.824445e-08	4.824953e-08	-2.539189e-12
2.361999999999982e+00	3.338134e+00	4.824240e-08	4.824748e-08	-2.537822e-12
2.362999999999982e+00	3.339029e+00	4.824035e-08	4.824543e-08	-2.536455e-12
2.363999999999982e+00	3.339923e+00	4.823830e-08	4.824337e-08	-2.535087e-12
2.364999999999982e+00	3.340818e+00	4.823625e-08	4.824131e-08	-2.533720e-12
2.365999999999982e+00	3.341712e+00	4.823420e-08	4.823926e-08	-2.532353e-12
2.366999999999982e+00	3.342607e+00	4.823214e-08	4.823720e-08	-2.530985e-12
2.367999999999982e+00	3.343502e+00	4.823009e-08	4.823515e-08	-2.529618e-12
2.368999999999982e+00	3.344396e+00	4.822803e-08	4.823309e-08	-2.528251e-12
2.369999999999981e+00	3.345290e+00	4.822598e-08	4.823104e-08	-2.526883e-12
2.370999999999981e+00	3.346185e+00	4.822393e-08	4.822898e-08	-2.525516e-12
2.371999999999981e+00	3.347079e+00	4.822187e-08	4.822692e-08	-2.524149e-12
2.372999999999981e+00	3.347973e+00	4.821982e-08	4.822487e-08	-2.522781e-12
2.373999999999981e+00	3.348868e+00	4.821776e-08	4.822281e-08	-2.521414e-12
2.374999999999981e+00	3.349762e+00	4.821571e-08	4.822075e-08	-2.520046e-12
2.375999999999981e+00	3.350656e+00	4.821365e-08	4.821869e-08	-2.518679e-12
2.376999999999981e+00	3.351551e+00	4.821160e-08	4.821663e-08	-2.517311e-12
2.377999999999981e+00	3.352445e+00	4.820954e-08	4.821457e-08	-2.515944e-12
2.378999999999980e+00	3.353339e+00	4.820748e-08	4.821251e-08	-2.514576e-12
2.379999999999980e+00	3.354233e+00	4.820543e-08	4.821045e-08	-2.513209e-12
2.380999999999980e+00	3.355127e+00	4.820337e-08	4.820839e-08	-2.511841e-12
2.381999999999980e+00	3.356022e+00	4.820131e-08	4.820633e-08	-2.510473e-12
2.382999999999980e+00	3.356916e+00	4.819925e-08	4.820427e-08	-2.509106e-12
2.383999999999980e+00	3.357810e+00	4.819719e-08	4.820221e-08	-2.507738e-12
2.384999999999980e+00	3.358704e+00	4.819513e-08	4.820015e-08	-2.506370e-12
2.385999999999980e+00	3.359598e+00	4.819307e-08	4.819808e-08	-2.505002e-12
2.386999999999980e+00	3.360492e+00	4.819101e-08	4.819602e-08	-2.503634e-12
2.387999999999979e+00	3.361386e+00	4.818895e-08	4.819396e-08	-2.502266e-12
2.388999999999979e+00	3.362280e+00	4.818689e-08	4.819189e-08	-2.500898e-12
2.389999999999979e+00	3.363174e+00	4.818483e-08	4.818983e-08	-2.499530e-12
2.390999999999979e+00	3.364068e+00	4.818277e-08	4.818776e-08	-2.498162e-12
2.391999999999979e+00	3.364962e+00	4.818071e-08	4.818570e-08	-2.496794e-12
2.392999999999979e+00	3.365855e+00	4.817865e-08	4.818363e-08	-2.495426e-12
2.393999999999979e+00	3.366750e+00	4.817658e-08	4.818157e-08	-2.494057e-12
2.394999999999979e+00	3.367643e+00	4.817452e-08	4.817950e-08	-2.492689e-12
2.395999999999979e+00	3.368537e+00	4.817245e-08	4.817744e-08	-2.491320e-12
2.396999999999978e+00	3.369431e+00	4.817039e-08	4.817537e-08	-2.489952e-12
2.397999999999978e+00	3.370325e+00	4.816832e-08	4.817330e-08	-2.488583e-12
