v1	V(vout)
0.000000000000000e+00	4.463500e-07
1.000000000000000e-02	4.471268e-07
2.000000000000000e-02	4.482565e-07
3.000000000000000e-02	4.495591e-07
4.000000000000000e-02	4.511818e-07
5.000000000000000e-02	4.532051e-07
6.000000000000000e-02	4.557303e-07
7.000000000000001e-02	4.588853e-07
8.000000000000000e-02	4.628311e-07
9.000000000000000e-02	4.677711e-07
9.999999999999999e-02	4.739613e-07
1.100000000000000e-01	4.817261e-07
1.200000000000000e-01	4.914752e-07
1.300000000000000e-01	5.037276e-07
1.400000000000000e-01	5.191409e-07
1.500000000000000e-01	5.385489e-07
1.600000000000000e-01	5.630100e-07
1.700000000000000e-01	5.938689e-07
1.800000000000000e-01	6.328347e-07
1.900000000000000e-01	6.820825e-07
2.000000000000000e-01	7.443808e-07
2.100000000000000e-01	8.232562e-07
2.200000000000001e-01	9.232042e-07
2.300000000000001e-01	1.049957e-06
2.400000000000001e-01	1.210828e-06
2.500000000000001e-01	1.415152e-06
2.600000000000001e-01	1.674855e-06
2.700000000000001e-01	2.005170e-06
2.800000000000001e-01	2.425580e-06
2.900000000000001e-01	2.961002e-06
3.000000000000001e-01	3.643327e-06
3.100000000000001e-01	4.513389e-06
3.200000000000001e-01	5.623495e-06
3.300000000000001e-01	7.040677e-06
3.400000000000001e-01	8.850860e-06
3.500000000000001e-01	1.116422e-05
3.600000000000002e-01	1.412203e-05
3.700000000000002e-01	1.790549e-05
3.800000000000002e-01	2.274691e-05
3.900000000000002e-01	2.894409e-05
4.000000000000002e-01	3.687853e-05
4.100000000000002e-01	4.703856e-05
4.200000000000002e-01	6.004842e-05
4.300000000000002e-01	7.670475e-05
4.400000000000002e-01	9.802183e-05
4.500000000000002e-01	1.252871e-04
4.600000000000002e-01	1.601285e-04
4.700000000000003e-01	2.045938e-04
4.800000000000003e-01	2.612439e-04
4.900000000000003e-01	3.332558e-04
5.000000000000002e-01	4.245346e-04
5.100000000000002e-01	5.398252e-04
5.200000000000002e-01	6.848143e-04
5.300000000000002e-01	8.662044e-04
5.400000000000003e-01	1.091742e-03
5.500000000000003e-01	1.370175e-03
5.600000000000003e-01	1.711118e-03
5.700000000000003e-01	2.124823e-03
5.800000000000003e-01	2.621847e-03
5.900000000000003e-01	3.212655e-03
6.000000000000003e-01	3.907203e-03
6.100000000000003e-01	4.714543e-03
6.200000000000003e-01	5.642507e-03
6.300000000000003e-01	6.697503e-03
6.400000000000003e-01	7.884425e-03
6.500000000000004e-01	9.206678e-03
6.600000000000004e-01	1.066628e-02
6.700000000000004e-01	1.226402e-02
6.800000000000004e-01	1.399967e-02
6.900000000000004e-01	1.587215e-02
7.000000000000004e-01	1.787972e-02
7.100000000000004e-01	2.002017e-02
7.200000000000004e-01	2.229094e-02
7.300000000000004e-01	2.468924e-02
7.400000000000004e-01	2.721215e-02
7.500000000000004e-01	2.985672e-02
7.600000000000005e-01	3.261996e-02
7.700000000000005e-01	3.549896e-02
7.800000000000005e-01	3.849088e-02
7.900000000000005e-01	4.159299e-02
8.000000000000005e-01	4.480268e-02
8.100000000000005e-01	4.811746e-02
8.200000000000005e-01	5.153498e-02
8.300000000000005e-01	5.505303e-02
8.400000000000005e-01	5.866954e-02
8.500000000000005e-01	6.238258e-02
8.600000000000005e-01	6.619033e-02
8.700000000000006e-01	7.009114e-02
8.800000000000006e-01	7.408347e-02
8.900000000000006e-01	7.816590e-02
9.000000000000006e-01	8.233713e-02
9.100000000000006e-01	8.659597e-02
9.200000000000006e-01	9.094136e-02
9.300000000000006e-01	9.537233e-02
9.400000000000006e-01	9.988803e-02
9.500000000000006e-01	1.044877e-01
9.600000000000006e-01	1.091706e-01
9.700000000000006e-01	1.139361e-01
9.800000000000006e-01	1.187839e-01
9.900000000000007e-01	1.237134e-01
1.000000000000001e+00	1.287244e-01
1.010000000000001e+00	1.338165e-01
1.020000000000001e+00	1.389895e-01
1.030000000000001e+00	1.442433e-01
1.040000000000001e+00	1.495778e-01
1.050000000000001e+00	1.549929e-01
1.060000000000001e+00	1.604886e-01
1.070000000000001e+00	1.660649e-01
1.080000000000001e+00	1.717219e-01
1.090000000000001e+00	1.774594e-01
1.100000000000001e+00	1.832776e-01
1.110000000000001e+00	1.891762e-01
1.120000000000001e+00	1.951550e-01
1.130000000000001e+00	2.012138e-01
1.140000000000001e+00	2.073519e-01
1.150000000000001e+00	2.135684e-01
1.160000000000001e+00	2.198622e-01
1.170000000000001e+00	2.262316e-01
1.180000000000001e+00	2.326745e-01
1.190000000000001e+00	2.391887e-01
1.200000000000001e+00	2.457716e-01
1.210000000000001e+00	2.524212e-01
1.220000000000001e+00	2.591353e-01
1.230000000000001e+00	2.659117e-01
1.240000000000001e+00	2.727481e-01
