v1	V(vout)
1.600000000000000e+00	7.316809e-01
1.600100000000000e+00	7.317561e-01
1.600200000000000e+00	7.318313e-01
1.600300000000000e+00	7.319066e-01
1.600400000000000e+00	7.319818e-01
1.600500000000000e+00	7.320570e-01
1.600600000000000e+00	7.321323e-01
1.600700000000000e+00	7.322075e-01
1.600800000000000e+00	7.322828e-01
1.600900000000000e+00	7.323580e-01
1.601000000000000e+00	7.324333e-01
1.601100000000000e+00	7.325085e-01
1.601200000000000e+00	7.325838e-01
1.601300000000000e+00	7.326590e-01
1.601400000000000e+00	7.327343e-01
1.601500000000000e+00	7.328095e-01
1.601600000000000e+00	7.328848e-01
1.601700000000000e+00	7.329600e-01
1.601800000000000e+00	7.330353e-01
1.601900000000000e+00	7.331105e-01
1.602000000000000e+00	7.331858e-01
1.602100000000000e+00	7.332610e-01
1.602200000000000e+00	7.333363e-01
1.602300000000000e+00	7.334116e-01
1.602400000000000e+00	7.334868e-01
1.602500000000000e+00	7.335621e-01
1.602600000000000e+00	7.336373e-01
1.602700000000000e+00	7.337126e-01
1.602800000000000e+00	7.337878e-01
1.602900000000000e+00	7.338631e-01
1.603000000000000e+00	7.339383e-01
1.603100000000000e+00	7.340136e-01
1.603200000000000e+00	7.340888e-01
1.603300000000000e+00	7.341641e-01
1.603400000000000e+00	7.342394e-01
1.603500000000000e+00	7.343146e-01
1.603600000000000e+00	7.343899e-01
1.603700000000000e+00	7.344652e-01
1.603800000000000e+00	7.345405e-01
1.603900000000000e+00	7.346157e-01
1.604000000000000e+00	7.346910e-01
1.604100000000000e+00	7.347662e-01
1.604200000000000e+00	7.348415e-01
1.604300000000000e+00	7.349168e-01
1.604400000000000e+00	7.349921e-01
1.604500000000000e+00	7.350673e-01
1.604600000000000e+00	7.351426e-01
1.604700000000000e+00	7.352179e-01
1.604800000000000e+00	7.352931e-01
1.604900000000000e+00	7.353684e-01
1.605000000000000e+00	7.354437e-01
1.605100000000000e+00	7.355190e-01
1.605200000000000e+00	7.355943e-01
1.605300000000000e+00	7.356696e-01
1.605399999999999e+00	7.357448e-01
1.605499999999999e+00	7.358201e-01
1.605599999999999e+00	7.358954e-01
1.605699999999999e+00	7.359707e-01
1.605799999999999e+00	7.360460e-01
1.605899999999999e+00	7.361212e-01
1.605999999999999e+00	7.361965e-01
1.606099999999999e+00	7.362718e-01
1.606199999999999e+00	7.363471e-01
1.606299999999999e+00	7.364224e-01
1.606399999999999e+00	7.364976e-01
1.606499999999999e+00	7.365730e-01
1.606599999999999e+00	7.366483e-01
1.606699999999999e+00	7.367235e-01
1.606799999999999e+00	7.367988e-01
1.606899999999999e+00	7.368741e-01
1.606999999999999e+00	7.369494e-01
1.607099999999999e+00	7.370247e-01
1.607199999999999e+00	7.371000e-01
1.607299999999999e+00	7.371753e-01
1.607399999999999e+00	7.372506e-01
1.607499999999999e+00	7.373259e-01
1.607599999999999e+00	7.374012e-01
1.607699999999999e+00	7.374765e-01
1.607799999999999e+00	7.375517e-01
1.607899999999999e+00	7.376271e-01
1.607999999999999e+00	7.377024e-01
1.608099999999999e+00	7.377777e-01
1.608199999999999e+00	7.378530e-01
1.608299999999999e+00	7.379283e-01
1.608399999999999e+00	7.380036e-01
1.608499999999999e+00	7.380789e-01
1.608599999999999e+00	7.381542e-01
1.608699999999999e+00	7.382295e-01
1.608799999999999e+00	7.383048e-01
1.608899999999999e+00	7.383801e-01
1.608999999999999e+00	7.384554e-01
1.609099999999999e+00	7.385308e-01
1.609199999999999e+00	7.386060e-01
1.609299999999999e+00	7.386814e-01
1.609399999999999e+00	7.387567e-01
1.609499999999999e+00	7.388320e-01
1.609599999999999e+00	7.389073e-01
1.609699999999999e+00	7.389826e-01
1.609799999999999e+00	7.390579e-01
1.609899999999999e+00	7.391332e-01
1.609999999999999e+00	7.392086e-01
1.610099999999999e+00	7.392839e-01
1.610199999999999e+00	7.393592e-01
1.610299999999999e+00	7.394345e-01
1.610399999999999e+00	7.395098e-01
1.610499999999999e+00	7.395852e-01
1.610599999999999e+00	7.396604e-01
1.610699999999999e+00	7.397358e-01
1.610799999999999e+00	7.398111e-01
1.610899999999999e+00	7.398865e-01
1.610999999999999e+00	7.399617e-01
1.611099999999999e+00	7.400371e-01
1.611199999999999e+00	7.401124e-01
1.611299999999999e+00	7.401878e-01
1.611399999999999e+00	7.402630e-01
1.611499999999999e+00	7.403384e-01
1.611599999999999e+00	7.404137e-01
1.611699999999999e+00	7.404891e-01
1.611799999999999e+00	7.405644e-01
1.611899999999999e+00	7.406397e-01
1.611999999999999e+00	7.407150e-01
1.612099999999999e+00	7.407904e-01
1.612199999999999e+00	7.408657e-01
1.612299999999999e+00	7.409410e-01
1.612399999999999e+00	7.410164e-01
1.612499999999999e+00	7.410917e-01
1.612599999999999e+00	7.411671e-01
1.612699999999999e+00	7.412424e-01
1.612799999999999e+00	7.413177e-01
1.612899999999999e+00	7.413931e-01
1.612999999999999e+00	7.414684e-01
1.613099999999999e+00	7.415438e-01
1.613199999999999e+00	7.416191e-01
1.613299999999999e+00	7.416945e-01
1.613399999999999e+00	7.417698e-01
1.613499999999999e+00	7.418451e-01
1.613599999999999e+00	7.419205e-01
1.613699999999999e+00	7.419958e-01
1.613799999999999e+00	7.420712e-01
1.613899999999999e+00	7.421465e-01
1.613999999999999e+00	7.422219e-01
1.614099999999999e+00	7.422972e-01
1.614199999999999e+00	7.423726e-01
1.614299999999999e+00	7.424479e-01
1.614399999999999e+00	7.425233e-01
1.614499999999998e+00	7.425987e-01
1.614599999999998e+00	7.426740e-01
1.614699999999998e+00	7.427493e-01
1.614799999999998e+00	7.428247e-01
1.614899999999998e+00	7.429001e-01
1.614999999999998e+00	7.429754e-01
1.615099999999998e+00	7.430508e-01
1.615199999999998e+00	7.431261e-01
1.615299999999998e+00	7.432015e-01
1.615399999999998e+00	7.432768e-01
1.615499999999998e+00	7.433522e-01
1.615599999999998e+00	7.434276e-01
1.615699999999998e+00	7.435029e-01
1.615799999999998e+00	7.435783e-01
1.615899999999998e+00	7.436537e-01
1.615999999999998e+00	7.437290e-01
1.616099999999998e+00	7.438044e-01
1.616199999999998e+00	7.438797e-01
1.616299999999998e+00	7.439551e-01
1.616399999999998e+00	7.440305e-01
1.616499999999998e+00	7.441059e-01
1.616599999999998e+00	7.441812e-01
1.616699999999998e+00	7.442566e-01
1.616799999999998e+00	7.443320e-01
1.616899999999998e+00	7.444074e-01
1.616999999999998e+00	7.444827e-01
1.617099999999998e+00	7.445581e-01
1.617199999999998e+00	7.446334e-01
1.617299999999998e+00	7.447088e-01
1.617399999999998e+00	7.447842e-01
1.617499999999998e+00	7.448596e-01
1.617599999999998e+00	7.449350e-01
1.617699999999998e+00	7.450103e-01
1.617799999999998e+00	7.450857e-01
1.617899999999998e+00	7.451611e-01
1.617999999999998e+00	7.452365e-01
1.618099999999998e+00	7.453119e-01
1.618199999999998e+00	7.453873e-01
1.618299999999998e+00	7.454627e-01
1.618399999999998e+00	7.455380e-01
1.618499999999998e+00	7.456134e-01
1.618599999999998e+00	7.456888e-01
1.618699999999998e+00	7.457642e-01
1.618799999999998e+00	7.458396e-01
1.618899999999998e+00	7.459149e-01
1.618999999999998e+00	7.459903e-01
1.619099999999998e+00	7.460657e-01
1.619199999999998e+00	7.461411e-01
1.619299999999998e+00	7.462165e-01
1.619399999999998e+00	7.462919e-01
1.619499999999998e+00	7.463673e-01
1.619599999999998e+00	7.464427e-01
1.619699999999998e+00	7.465181e-01
1.619799999999998e+00	7.465935e-01
1.619899999999998e+00	7.466689e-01
1.619999999999998e+00	7.467443e-01
1.620099999999998e+00	7.468197e-01
1.620199999999998e+00	7.468951e-01
1.620299999999998e+00	7.469705e-01
1.620399999999998e+00	7.470459e-01
1.620499999999998e+00	7.471213e-01
1.620599999999998e+00	7.471967e-01
1.620699999999998e+00	7.472721e-01
1.620799999999998e+00	7.473475e-01
1.620899999999998e+00	7.474229e-01
1.620999999999998e+00	7.474983e-01
1.621099999999998e+00	7.475737e-01
1.621199999999998e+00	7.476491e-01
1.621299999999998e+00	7.477245e-01
1.621399999999998e+00	7.477999e-01
1.621499999999998e+00	7.478753e-01
1.621599999999998e+00	7.479508e-01
1.621699999999998e+00	7.480262e-01
1.621799999999998e+00	7.481016e-01
1.621899999999998e+00	7.481770e-01
1.621999999999998e+00	7.482524e-01
1.622099999999998e+00	7.483279e-01
1.622199999999998e+00	7.484033e-01
1.622299999999998e+00	7.484787e-01
1.622399999999998e+00	7.485541e-01
1.622499999999998e+00	7.486295e-01
1.622599999999998e+00	7.487049e-01
1.622699999999998e+00	7.487804e-01
1.622799999999998e+00	7.488558e-01
1.622899999999998e+00	7.489312e-01
1.622999999999998e+00	7.490066e-01
1.623099999999998e+00	7.490820e-01
1.623199999999998e+00	7.491574e-01
1.623299999999998e+00	7.492329e-01
1.623399999999998e+00	7.493083e-01
1.623499999999998e+00	7.493837e-01
1.623599999999997e+00	7.494591e-01
1.623699999999997e+00	7.495346e-01
1.623799999999997e+00	7.496100e-01
1.623899999999997e+00	7.496855e-01
1.623999999999997e+00	7.497609e-01
1.624099999999997e+00	7.498363e-01
1.624199999999997e+00	7.499117e-01
1.624299999999997e+00	7.499872e-01
1.624399999999997e+00	7.500626e-01
1.624499999999997e+00	7.501380e-01
1.624599999999997e+00	7.502135e-01
1.624699999999997e+00	7.502889e-01
1.624799999999997e+00	7.503644e-01
1.624899999999997e+00	7.504398e-01
1.624999999999997e+00	7.505152e-01
1.625099999999997e+00	7.505907e-01
1.625199999999997e+00	7.506661e-01
1.625299999999997e+00	7.507415e-01
1.625399999999997e+00	7.508170e-01
1.625499999999997e+00	7.508925e-01
1.625599999999997e+00	7.509679e-01
1.625699999999997e+00	7.510433e-01
1.625799999999997e+00	7.511188e-01
1.625899999999997e+00	7.511942e-01
1.625999999999997e+00	7.512697e-01
1.626099999999997e+00	7.513451e-01
1.626199999999997e+00	7.514206e-01
1.626299999999997e+00	7.514960e-01
1.626399999999997e+00	7.515715e-01
1.626499999999997e+00	7.516469e-01
1.626599999999997e+00	7.517224e-01
1.626699999999997e+00	7.517979e-01
1.626799999999997e+00	7.518733e-01
1.626899999999997e+00	7.519487e-01
1.626999999999997e+00	7.520242e-01
1.627099999999997e+00	7.520996e-01
1.627199999999997e+00	7.521751e-01
1.627299999999997e+00	7.522506e-01
1.627399999999997e+00	7.523260e-01
1.627499999999997e+00	7.524015e-01
1.627599999999997e+00	7.524769e-01
1.627699999999997e+00	7.525524e-01
1.627799999999997e+00	7.526278e-01
1.627899999999997e+00	7.527033e-01
1.627999999999997e+00	7.527788e-01
1.628099999999997e+00	7.528543e-01
1.628199999999997e+00	7.529297e-01
1.628299999999997e+00	7.530052e-01
1.628399999999997e+00	7.530807e-01
1.628499999999997e+00	7.531561e-01
1.628599999999997e+00	7.532316e-01
1.628699999999997e+00	7.533071e-01
1.628799999999997e+00	7.533826e-01
1.628899999999997e+00	7.534580e-01
1.628999999999997e+00	7.535335e-01
1.629099999999997e+00	7.536089e-01
1.629199999999997e+00	7.536845e-01
1.629299999999997e+00	7.537599e-01
1.629399999999997e+00	7.538354e-01
1.629499999999997e+00	7.539109e-01
1.629599999999997e+00	7.539864e-01
1.629699999999997e+00	7.540618e-01
1.629799999999997e+00	7.541373e-01
1.629899999999997e+00	7.542128e-01
1.629999999999997e+00	7.542883e-01
1.630099999999997e+00	7.543638e-01
1.630199999999997e+00	7.544392e-01
1.630299999999997e+00	7.545147e-01
1.630399999999997e+00	7.545902e-01
1.630499999999997e+00	7.546657e-01
1.630599999999997e+00	7.547412e-01
1.630699999999997e+00	7.548167e-01
1.630799999999997e+00	7.548922e-01
1.630899999999997e+00	7.549676e-01
1.630999999999997e+00	7.550431e-01
1.631099999999997e+00	7.551186e-01
1.631199999999997e+00	7.551941e-01
1.631299999999997e+00	7.552696e-01
1.631399999999997e+00	7.553451e-01
1.631499999999997e+00	7.554206e-01
1.631599999999997e+00	7.554961e-01
1.631699999999997e+00	7.555716e-01
1.631799999999997e+00	7.556471e-01
1.631899999999997e+00	7.557226e-01
1.631999999999997e+00	7.557981e-01
1.632099999999997e+00	7.558736e-01
1.632199999999997e+00	7.559491e-01
1.632299999999997e+00	7.560246e-01
1.632399999999997e+00	7.561001e-01
1.632499999999997e+00	7.561756e-01
1.632599999999996e+00	7.562511e-01
1.632699999999996e+00	7.563266e-01
1.632799999999996e+00	7.564021e-01
1.632899999999996e+00	7.564776e-01
1.632999999999996e+00	7.565531e-01
1.633099999999996e+00	7.566286e-01
1.633199999999996e+00	7.567041e-01
1.633299999999996e+00	7.567796e-01
1.633399999999996e+00	7.568551e-01
1.633499999999996e+00	7.569306e-01
1.633599999999996e+00	7.570062e-01
1.633699999999996e+00	7.570817e-01
1.633799999999996e+00	7.571572e-01
1.633899999999996e+00	7.572327e-01
1.633999999999996e+00	7.573082e-01
1.634099999999996e+00	7.573838e-01
1.634199999999996e+00	7.574592e-01
1.634299999999996e+00	7.575347e-01
1.634399999999996e+00	7.576103e-01
1.634499999999996e+00	7.576858e-01
1.634599999999996e+00	7.577614e-01
1.634699999999996e+00	7.578369e-01
1.634799999999996e+00	7.579124e-01
1.634899999999996e+00	7.579879e-01
1.634999999999996e+00	7.580634e-01
1.635099999999996e+00	7.581390e-01
1.635199999999996e+00	7.582145e-01
1.635299999999996e+00	7.582900e-01
1.635399999999996e+00	7.583655e-01
1.635499999999996e+00	7.584410e-01
1.635599999999996e+00	7.585166e-01
1.635699999999996e+00	7.585921e-01
1.635799999999996e+00	7.586676e-01
1.635899999999996e+00	7.587432e-01
1.635999999999996e+00	7.588187e-01
1.636099999999996e+00	7.588943e-01
1.636199999999996e+00	7.589698e-01
1.636299999999996e+00	7.590453e-01
1.636399999999996e+00	7.591208e-01
1.636499999999996e+00	7.591964e-01
1.636599999999996e+00	7.592719e-01
1.636699999999996e+00	7.593474e-01
1.636799999999996e+00	7.594230e-01
1.636899999999996e+00	7.594985e-01
1.636999999999996e+00	7.595741e-01
1.637099999999996e+00	7.596496e-01
1.637199999999996e+00	7.597252e-01
1.637299999999996e+00	7.598007e-01
1.637399999999996e+00	7.598763e-01
1.637499999999996e+00	7.599518e-01
1.637599999999996e+00	7.600273e-01
1.637699999999996e+00	7.601029e-01
1.637799999999996e+00	7.601784e-01
1.637899999999996e+00	7.602540e-01
1.637999999999996e+00	7.603295e-01
1.638099999999996e+00	7.604051e-01
1.638199999999996e+00	7.604806e-01
1.638299999999996e+00	7.605562e-01
1.638399999999996e+00	7.606317e-01
1.638499999999996e+00	7.607073e-01
1.638599999999996e+00	7.607828e-01
1.638699999999996e+00	7.608584e-01
1.638799999999996e+00	7.609340e-01
1.638899999999996e+00	7.610095e-01
1.638999999999996e+00	7.610851e-01
1.639099999999996e+00	7.611607e-01
1.639199999999996e+00	7.612362e-01
1.639299999999996e+00	7.613118e-01
1.639399999999996e+00	7.613873e-01
1.639499999999996e+00	7.614629e-01
1.639599999999996e+00	7.615384e-01
1.639699999999996e+00	7.616140e-01
1.639799999999996e+00	7.616896e-01
1.639899999999996e+00	7.617652e-01
1.639999999999996e+00	7.618407e-01
1.640099999999996e+00	7.619163e-01
1.640199999999996e+00	7.619919e-01
1.640299999999996e+00	7.620674e-01
1.640399999999996e+00	7.621430e-01
1.640499999999996e+00	7.622186e-01
1.640599999999996e+00	7.622941e-01
1.640699999999996e+00	7.623697e-01
1.640799999999996e+00	7.624453e-01
1.640899999999996e+00	7.625208e-01
1.640999999999996e+00	7.625964e-01
1.641099999999996e+00	7.626720e-01
1.641199999999996e+00	7.627476e-01
