v1	V(vout)
2.350000000000000e+00	1.164461e+00
2.350100000000000e+00	1.164564e+00
2.350200000000001e+00	1.164673e+00
2.350300000000001e+00	1.164779e+00
2.350400000000001e+00	1.164886e+00
2.350500000000001e+00	1.164992e+00
2.350600000000001e+00	1.165099e+00
2.350700000000002e+00	1.165205e+00
2.350800000000002e+00	1.165312e+00
2.350900000000002e+00	1.165418e+00
2.351000000000002e+00	1.165525e+00
2.351100000000002e+00	1.165631e+00
2.351200000000003e+00	1.165738e+00
2.351300000000003e+00	1.165844e+00
2.351400000000003e+00	1.165951e+00
2.351500000000003e+00	1.166058e+00
2.351600000000003e+00	1.166165e+00
2.351700000000004e+00	1.166271e+00
2.351800000000004e+00	1.166378e+00
2.351900000000004e+00	1.166485e+00
2.352000000000004e+00	1.166592e+00
2.352100000000005e+00	1.166698e+00
2.352200000000005e+00	1.166805e+00
2.352300000000005e+00	1.166912e+00
2.352400000000005e+00	1.167019e+00
2.352500000000005e+00	1.167126e+00
2.352600000000006e+00	1.167233e+00
2.352700000000006e+00	1.167340e+00
2.352800000000006e+00	1.167447e+00
2.352900000000006e+00	1.167554e+00
2.353000000000006e+00	1.167661e+00
2.353100000000007e+00	1.167768e+00
2.353200000000007e+00	1.167875e+00
2.353300000000007e+00	1.167982e+00
2.353400000000007e+00	1.168089e+00
2.353500000000007e+00	1.168197e+00
2.353600000000008e+00	1.168304e+00
2.353700000000008e+00	1.168411e+00
2.353800000000008e+00	1.168518e+00
2.353900000000008e+00	1.168626e+00
2.354000000000009e+00	1.168733e+00
2.354100000000009e+00	1.168840e+00
2.354200000000009e+00	1.168948e+00
2.354300000000009e+00	1.169055e+00
2.354400000000009e+00	1.169163e+00
2.354500000000010e+00	1.169270e+00
2.354600000000010e+00	1.169377e+00
2.354700000000010e+00	1.169485e+00
2.354800000000010e+00	1.169592e+00
2.354900000000010e+00	1.169700e+00
2.355000000000011e+00	1.169808e+00
2.355100000000011e+00	1.169915e+00
2.355200000000011e+00	1.170023e+00
2.355300000000011e+00	1.170130e+00
2.355400000000011e+00	1.170238e+00
2.355500000000012e+00	1.170346e+00
2.355600000000012e+00	1.170454e+00
2.355700000000012e+00	1.170561e+00
2.355800000000012e+00	1.170669e+00
2.355900000000013e+00	1.170777e+00
2.356000000000013e+00	1.170885e+00
2.356100000000013e+00	1.170993e+00
2.356200000000013e+00	1.171101e+00
2.356300000000013e+00	1.171209e+00
2.356400000000014e+00	1.171317e+00
2.356500000000014e+00	1.171425e+00
2.356600000000014e+00	1.171533e+00
2.356700000000014e+00	1.171641e+00
2.356800000000014e+00	1.171749e+00
2.356900000000015e+00	1.171857e+00
2.357000000000015e+00	1.171965e+00
2.357100000000015e+00	1.172073e+00
2.357200000000015e+00	1.172181e+00
2.357300000000015e+00	1.172290e+00
2.357400000000016e+00	1.172398e+00
2.357500000000016e+00	1.172506e+00
2.357600000000016e+00	1.172614e+00
2.357700000000016e+00	1.172723e+00
2.357800000000017e+00	1.172831e+00
2.357900000000017e+00	1.172940e+00
2.358000000000017e+00	1.173048e+00
2.358100000000017e+00	1.173156e+00
2.358200000000017e+00	1.173265e+00
2.358300000000018e+00	1.173373e+00
2.358400000000018e+00	1.173482e+00
2.358500000000018e+00	1.173590e+00
2.358600000000018e+00	1.173699e+00
2.358700000000018e+00	1.173808e+00
2.358800000000019e+00	1.173916e+00
2.358900000000019e+00	1.174025e+00
2.359000000000019e+00	1.174134e+00
2.359100000000019e+00	1.174242e+00
2.359200000000020e+00	1.174351e+00
2.359300000000020e+00	1.174460e+00
2.359400000000020e+00	1.174569e+00
2.359500000000020e+00	1.174677e+00
2.359600000000020e+00	1.174786e+00
2.359700000000021e+00	1.174895e+00
2.359800000000021e+00	1.175004e+00
2.359900000000021e+00	1.175113e+00
2.360000000000021e+00	1.175222e+00
2.360100000000021e+00	1.175331e+00
2.360200000000022e+00	1.175440e+00
2.360300000000022e+00	1.175549e+00
2.360400000000022e+00	1.175658e+00
2.360500000000022e+00	1.175768e+00
2.360600000000022e+00	1.175877e+00
2.360700000000023e+00	1.175986e+00
2.360800000000023e+00	1.176095e+00
2.360900000000023e+00	1.176204e+00
2.361000000000023e+00	1.176314e+00
2.361100000000024e+00	1.176423e+00
2.361200000000024e+00	1.176532e+00
2.361300000000024e+00	1.176642e+00
2.361400000000024e+00	1.176751e+00
2.361500000000024e+00	1.176860e+00
2.361600000000025e+00	1.176970e+00
2.361700000000025e+00	1.177079e+00
2.361800000000025e+00	1.177189e+00
2.361900000000025e+00	1.177298e+00
2.362000000000025e+00	1.177408e+00
2.362100000000026e+00	1.177518e+00
2.362200000000026e+00	1.177627e+00
2.362300000000026e+00	1.177737e+00
2.362400000000026e+00	1.177847e+00
2.362500000000026e+00	1.177956e+00
2.362600000000027e+00	1.178066e+00
2.362700000000027e+00	1.178176e+00
2.362800000000027e+00	1.178286e+00
2.362900000000027e+00	1.178395e+00
2.363000000000028e+00	1.178505e+00
2.363100000000028e+00	1.178615e+00
2.363200000000028e+00	1.178725e+00
2.363300000000028e+00	1.178835e+00
2.363400000000028e+00	1.178945e+00
2.363500000000029e+00	1.179055e+00
2.363600000000029e+00	1.179165e+00
2.363700000000029e+00	1.179275e+00
2.363800000000029e+00	1.179385e+00
2.363900000000029e+00	1.179496e+00
2.364000000000030e+00	1.179606e+00
2.364100000000030e+00	1.179716e+00
