v1	V(vout)
3.600000000000000e+00	2.122283e+00
3.600100000000000e+00	2.122371e+00
3.600200000000001e+00	2.122461e+00
3.600300000000001e+00	2.122550e+00
3.600400000000001e+00	2.122638e+00
3.600500000000001e+00	2.122727e+00
3.600600000000001e+00	2.122816e+00
3.600700000000002e+00	2.122904e+00
3.600800000000002e+00	2.122993e+00
3.600900000000002e+00	2.123082e+00
3.601000000000002e+00	2.123170e+00
3.601100000000002e+00	2.123259e+00
3.601200000000003e+00	2.123348e+00
3.601300000000003e+00	2.123437e+00
3.601400000000003e+00	2.123525e+00
3.601500000000003e+00	2.123614e+00
3.601600000000003e+00	2.123703e+00
3.601700000000004e+00	2.123791e+00
3.601800000000004e+00	2.123880e+00
3.601900000000004e+00	2.123969e+00
3.602000000000004e+00	2.124058e+00
3.602100000000005e+00	2.124146e+00
3.602200000000005e+00	2.124235e+00
3.602300000000005e+00	2.124324e+00
3.602400000000005e+00	2.124413e+00
3.602500000000005e+00	2.124501e+00
3.602600000000006e+00	2.124590e+00
3.602700000000006e+00	2.124679e+00
3.602800000000006e+00	2.124768e+00
3.602900000000006e+00	2.124856e+00
3.603000000000006e+00	2.124945e+00
3.603100000000007e+00	2.125034e+00
3.603200000000007e+00	2.125123e+00
3.603300000000007e+00	2.125212e+00
3.603400000000007e+00	2.125300e+00
3.603500000000007e+00	2.125389e+00
3.603600000000008e+00	2.125478e+00
3.603700000000008e+00	2.125567e+00
3.603800000000008e+00	2.125656e+00
3.603900000000008e+00	2.125744e+00
3.604000000000009e+00	2.125833e+00
3.604100000000009e+00	2.125922e+00
3.604200000000009e+00	2.126011e+00
3.604300000000009e+00	2.126100e+00
3.604400000000009e+00	2.126189e+00
3.604500000000010e+00	2.126277e+00
3.604600000000010e+00	2.126366e+00
3.604700000000010e+00	2.126455e+00
3.604800000000010e+00	2.126544e+00
3.604900000000010e+00	2.126633e+00
3.605000000000011e+00	2.126721e+00
3.605100000000011e+00	2.126810e+00
3.605200000000011e+00	2.126899e+00
3.605300000000011e+00	2.126988e+00
3.605400000000011e+00	2.127077e+00
3.605500000000012e+00	2.127166e+00
3.605600000000012e+00	2.127254e+00
3.605700000000012e+00	2.127343e+00
3.605800000000012e+00	2.127432e+00
3.605900000000013e+00	2.127521e+00
3.606000000000013e+00	2.127610e+00
3.606100000000013e+00	2.127699e+00
3.606200000000013e+00	2.127788e+00
3.606300000000013e+00	2.127877e+00
3.606400000000014e+00	2.127965e+00
3.606500000000014e+00	2.128054e+00
3.606600000000014e+00	2.128143e+00
3.606700000000014e+00	2.128232e+00
3.606800000000014e+00	2.128321e+00
3.606900000000015e+00	2.128410e+00
3.607000000000015e+00	2.128499e+00
3.607100000000015e+00	2.128588e+00
3.607200000000015e+00	2.128677e+00
3.607300000000015e+00	2.128766e+00
3.607400000000016e+00	2.128855e+00
3.607500000000016e+00	2.128943e+00
3.607600000000016e+00	2.129032e+00
3.607700000000016e+00	2.129121e+00
3.607800000000017e+00	2.129210e+00
3.607900000000017e+00	2.129299e+00
3.608000000000017e+00	2.129388e+00
3.608100000000017e+00	2.129477e+00
3.608200000000017e+00	2.129566e+00
3.608300000000018e+00	2.129655e+00
3.608400000000018e+00	2.129744e+00
3.608500000000018e+00	2.129833e+00
3.608600000000018e+00	2.129922e+00
3.608700000000018e+00	2.130011e+00
3.608800000000019e+00	2.130100e+00
3.608900000000019e+00	2.130189e+00
3.609000000000019e+00	2.130278e+00
3.609100000000019e+00	2.130367e+00
3.609200000000020e+00	2.130455e+00
3.609300000000020e+00	2.130544e+00
3.609400000000020e+00	2.130634e+00
3.609500000000020e+00	2.130723e+00
3.609600000000020e+00	2.130811e+00
3.609700000000021e+00	2.130900e+00
3.609800000000021e+00	2.130989e+00
3.609900000000021e+00	2.131078e+00
3.610000000000021e+00	2.131167e+00
3.610100000000021e+00	2.131256e+00
3.610200000000022e+00	2.131346e+00
3.610300000000022e+00	2.131434e+00
3.610400000000022e+00	2.131523e+00
3.610500000000022e+00	2.131613e+00
3.610600000000022e+00	2.131701e+00
3.610700000000023e+00	2.131790e+00
3.610800000000023e+00	2.131880e+00
3.610900000000023e+00	2.131968e+00
3.611000000000023e+00	2.132058e+00
3.611100000000024e+00	2.132147e+00
3.611200000000024e+00	2.132236e+00
3.611300000000024e+00	2.132325e+00
3.611400000000024e+00	2.132414e+00
3.611500000000024e+00	2.132503e+00
3.611600000000025e+00	2.132592e+00
3.611700000000025e+00	2.132681e+00
3.611800000000025e+00	2.132770e+00
3.611900000000025e+00	2.132859e+00
3.612000000000025e+00	2.132948e+00
3.612100000000026e+00	2.133037e+00
3.612200000000026e+00	2.133126e+00
3.612300000000026e+00	2.133215e+00
3.612400000000026e+00	2.133304e+00
3.612500000000026e+00	2.133394e+00
3.612600000000027e+00	2.133482e+00
3.612700000000027e+00	2.133572e+00
3.612800000000027e+00	2.133661e+00
3.612900000000027e+00	2.133750e+00
3.613000000000028e+00	2.133839e+00
3.613100000000028e+00	2.133928e+00
3.613200000000028e+00	2.134017e+00
3.613300000000028e+00	2.134106e+00
3.613400000000028e+00	2.134195e+00
3.613500000000029e+00	2.134284e+00
3.613600000000029e+00	2.134373e+00
3.613700000000029e+00	2.134463e+00
3.613800000000029e+00	2.134552e+00
3.613900000000029e+00	2.134641e+00
3.614000000000030e+00	2.134730e+00
3.614100000000030e+00	2.134819e+00
3.614200000000030e+00	2.134908e+00
3.614300000000030e+00	2.134997e+00
3.614400000000030e+00	2.135087e+00
