vout	I(Iout)
0.000000000000000e+00	1.246185e-04
1.000000000000000e-02	1.229491e-04
2.000000000000000e-02	1.212886e-04
3.000000000000000e-02	1.196370e-04
4.000000000000000e-02	1.179944e-04
5.000000000000000e-02	1.163610e-04
6.000000000000000e-02	1.147368e-04
7.000000000000001e-02	1.131219e-04
8.000000000000000e-02	1.115163e-04
9.000000000000000e-02	1.099201e-04
9.999999999999999e-02	1.083334e-04
1.100000000000000e-01	1.067562e-04
1.200000000000000e-01	1.051886e-04
1.300000000000000e-01	1.036307e-04
1.400000000000000e-01	1.020825e-04
1.500000000000000e-01	1.005441e-04
1.600000000000000e-01	9.901552e-05
1.700000000000000e-01	9.749683e-05
1.800000000000000e-01	9.598809e-05
1.900000000000000e-01	9.448934e-05
2.000000000000000e-01	9.300065e-05
2.100000000000000e-01	9.152207e-05
2.200000000000001e-01	9.005364e-05
2.300000000000001e-01	8.859543e-05
2.400000000000001e-01	8.714748e-05
2.500000000000001e-01	8.570983e-05
2.600000000000001e-01	8.428256e-05
2.700000000000001e-01	8.286570e-05
2.800000000000001e-01	8.145930e-05
2.900000000000001e-01	8.006342e-05
3.000000000000001e-01	7.867809e-05
3.100000000000001e-01	7.730337e-05
3.200000000000001e-01	7.593931e-05
3.300000000000001e-01	7.458595e-05
3.400000000000001e-01	7.324335e-05
3.500000000000001e-01	7.191155e-05
3.600000000000002e-01	7.059060e-05
3.700000000000002e-01	6.928053e-05
3.800000000000002e-01	6.798142e-05
3.900000000000002e-01	6.669329e-05
4.000000000000002e-01	6.541620e-05
4.100000000000002e-01	6.415018e-05
4.200000000000002e-01	6.289530e-05
4.300000000000002e-01	6.165159e-05
4.400000000000002e-01	6.041910e-05
4.500000000000002e-01	5.919788e-05
4.600000000000002e-01	5.798796e-05
4.700000000000003e-01	5.678940e-05
4.800000000000003e-01	5.560225e-05
4.900000000000003e-01	5.442654e-05
5.000000000000002e-01	5.326233e-05
5.100000000000002e-01	5.210965e-05
5.200000000000002e-01	5.096856e-05
5.300000000000002e-01	4.983909e-05
5.400000000000003e-01	4.872130e-05
5.500000000000003e-01	4.761523e-05
5.600000000000003e-01	4.652091e-05
5.700000000000003e-01	4.543841e-05
5.800000000000003e-01	4.436776e-05
5.900000000000003e-01	4.330900e-05
6.000000000000003e-01	4.226218e-05
6.100000000000003e-01	4.122734e-05
6.200000000000003e-01	4.020454e-05
6.300000000000003e-01	3.919380e-05
6.400000000000003e-01	3.819518e-05
6.500000000000004e-01	3.720872e-05
6.600000000000004e-01	3.623447e-05
6.700000000000004e-01	3.527246e-05
6.800000000000004e-01	3.432274e-05
6.900000000000004e-01	3.338535e-05
7.000000000000004e-01	3.246034e-05
7.100000000000004e-01	3.154775e-05
7.200000000000004e-01	3.064762e-05
7.300000000000004e-01	2.975999e-05
7.400000000000004e-01	2.888492e-05
7.500000000000004e-01	2.802243e-05
7.600000000000005e-01	2.717257e-05
7.700000000000005e-01	2.633539e-05
7.800000000000005e-01	2.551092e-05
7.900000000000005e-01	2.469921e-05
8.000000000000005e-01	2.390029e-05
8.100000000000005e-01	2.311422e-05
8.200000000000005e-01	2.234102e-05
8.300000000000005e-01	2.158075e-05
8.400000000000005e-01	2.083343e-05
8.500000000000005e-01	2.009912e-05
8.600000000000005e-01	1.937784e-05
8.700000000000006e-01	1.866965e-05
8.800000000000006e-01	1.797457e-05
8.900000000000006e-01	1.729265e-05
9.000000000000006e-01	1.662392e-05
9.100000000000006e-01	1.596842e-05
9.200000000000006e-01	1.532619e-05
9.300000000000006e-01	1.469727e-05
9.400000000000006e-01	1.408168e-05
9.500000000000006e-01	1.347947e-05
9.600000000000006e-01	1.289067e-05
9.700000000000006e-01	1.231531e-05
9.800000000000006e-01	1.175342e-05
9.900000000000007e-01	1.120503e-05
1.000000000000001e+00	1.067018e-05
1.010000000000001e+00	1.014889e-05
1.020000000000001e+00	9.641195e-06
1.030000000000001e+00	9.147114e-06
1.040000000000001e+00	8.666671e-06
1.050000000000001e+00	8.199893e-06
1.060000000000001e+00	7.746797e-06
1.070000000000001e+00	7.307402e-06
1.080000000000001e+00	6.881724e-06
1.090000000000001e+00	6.469777e-06
1.100000000000001e+00	6.071569e-06
1.110000000000001e+00	5.687109e-06
1.120000000000001e+00	5.316506e-06
1.130000000000001e+00	4.960086e-06
1.140000000000001e+00	4.617855e-06
1.150000000000001e+00	4.289791e-06
1.160000000000001e+00	3.975867e-06
1.170000000000001e+00	3.676049e-06
1.180000000000001e+00	3.390293e-06
1.190000000000001e+00	3.118551e-06
1.200000000000001e+00	2.860763e-06
1.210000000000001e+00	2.616860e-06
1.220000000000001e+00	2.386759e-06
1.230000000000001e+00	2.170367e-06
1.240000000000001e+00	1.967574e-06
1.250000000000001e+00	1.778251e-06
1.260000000000001e+00	1.602251e-06
1.270000000000001e+00	1.439405e-06
1.280000000000001e+00	1.289516e-06
1.290000000000001e+00	1.152356e-06
1.300000000000001e+00	1.027663e-06
1.310000000000001e+00	9.151316e-07
1.320000000000001e+00	8.144070e-07
1.330000000000001e+00	7.250737e-07
1.340000000000001e+00	6.466416e-07
1.350000000000001e+00	5.785275e-07
1.360000000000001e+00	5.200365e-07
1.370000000000001e+00	4.703651e-07
1.380000000000001e+00	4.286639e-07
1.390000000000001e+00	3.941306e-07
1.400000000000001e+00	3.660123e-07
1.410000000000001e+00	3.435337e-07
1.420000000000001e+00	3.258736e-07
1.430000000000001e+00	3.122003e-07
1.440000000000001e+00	3.017239e-07
1.450000000000001e+00	2.937402e-07
1.460000000000001e+00	2.876578e-07
1.470000000000001e+00	2.830051e-07
1.480000000000001e+00	2.794195e-07
1.490000000000001e+00	2.766157e-07
1.500000000000001e+00	2.743522e-07
1.510000000000001e+00	2.724288e-07
1.520000000000001e+00	2.707049e-07
1.530000000000001e+00	2.690975e-07
1.540000000000001e+00	2.675609e-07
1.550000000000001e+00	2.660705e-07
1.560000000000001e+00	2.646123e-07
1.570000000000001e+00	2.631780e-07
1.580000000000001e+00	2.617626e-07
1.590000000000001e+00	2.603626e-07
1.600000000000001e+00	2.589757e-07
1.610000000000001e+00	2.576005e-07
1.620000000000001e+00	2.562357e-07
1.630000000000001e+00	2.548803e-07
1.640000000000001e+00	2.535336e-07
1.650000000000001e+00	2.521952e-07
1.660000000000001e+00	2.508644e-07
1.670000000000001e+00	2.495408e-07
1.680000000000001e+00	2.482243e-07
1.690000000000001e+00	2.469143e-07
1.700000000000001e+00	2.456106e-07
1.710000000000001e+00	2.443131e-07
1.720000000000001e+00	2.430213e-07
1.730000000000001e+00	2.417353e-07
1.740000000000001e+00	2.404546e-07
1.750000000000001e+00	2.391791e-07
1.760000000000001e+00	2.379088e-07
1.770000000000001e+00	2.366433e-07
1.780000000000001e+00	2.353827e-07
