v1	V(vout)
3.600000000000000e+00	2.307610e+00
3.600100000000000e+00	2.307692e+00
3.600200000000001e+00	2.307774e+00
3.600300000000001e+00	2.307856e+00
3.600400000000001e+00	2.307938e+00
3.600500000000001e+00	2.308020e+00
3.600600000000001e+00	2.308102e+00
3.600700000000002e+00	2.308184e+00
3.600800000000002e+00	2.308266e+00
3.600900000000002e+00	2.308348e+00
3.601000000000002e+00	2.308430e+00
3.601100000000002e+00	2.308512e+00
3.601200000000003e+00	2.308594e+00
3.601300000000003e+00	2.308676e+00
3.601400000000003e+00	2.308759e+00
3.601500000000003e+00	2.308841e+00
3.601600000000003e+00	2.308923e+00
3.601700000000004e+00	2.309005e+00
3.601800000000004e+00	2.309087e+00
3.601900000000004e+00	2.309169e+00
3.602000000000004e+00	2.309251e+00
3.602100000000005e+00	2.309333e+00
3.602200000000005e+00	2.309415e+00
3.602300000000005e+00	2.309497e+00
3.602400000000005e+00	2.309580e+00
3.602500000000005e+00	2.309662e+00
3.602600000000006e+00	2.309744e+00
3.602700000000006e+00	2.309826e+00
3.602800000000006e+00	2.309908e+00
3.602900000000006e+00	2.309990e+00
3.603000000000006e+00	2.310072e+00
3.603100000000007e+00	2.310154e+00
3.603200000000007e+00	2.310236e+00
3.603300000000007e+00	2.310318e+00
3.603400000000007e+00	2.310400e+00
3.603500000000007e+00	2.310483e+00
3.603600000000008e+00	2.310565e+00
3.603700000000008e+00	2.310647e+00
3.603800000000008e+00	2.310729e+00
3.603900000000008e+00	2.310811e+00
3.604000000000009e+00	2.310893e+00
3.604100000000009e+00	2.310975e+00
3.604200000000009e+00	2.311057e+00
3.604300000000009e+00	2.311139e+00
3.604400000000009e+00	2.311221e+00
3.604500000000010e+00	2.311304e+00
3.604600000000010e+00	2.311386e+00
3.604700000000010e+00	2.311468e+00
3.604800000000010e+00	2.311550e+00
3.604900000000010e+00	2.311632e+00
3.605000000000011e+00	2.311714e+00
3.605100000000011e+00	2.311796e+00
3.605200000000011e+00	2.311878e+00
3.605300000000011e+00	2.311960e+00
3.605400000000011e+00	2.312042e+00
3.605500000000012e+00	2.312124e+00
3.605600000000012e+00	2.312207e+00
3.605700000000012e+00	2.312289e+00
3.605800000000012e+00	2.312371e+00
3.605900000000013e+00	2.312453e+00
3.606000000000013e+00	2.312535e+00
3.606100000000013e+00	2.312617e+00
3.606200000000013e+00	2.312699e+00
3.606300000000013e+00	2.312781e+00
3.606400000000014e+00	2.312864e+00
3.606500000000014e+00	2.312946e+00
3.606600000000014e+00	2.313028e+00
3.606700000000014e+00	2.313110e+00
3.606800000000014e+00	2.313192e+00
3.606900000000015e+00	2.313274e+00
3.607000000000015e+00	2.313356e+00
3.607100000000015e+00	2.313438e+00
3.607200000000015e+00	2.313520e+00
3.607300000000015e+00	2.313602e+00
3.607400000000016e+00	2.313685e+00
3.607500000000016e+00	2.313767e+00
3.607600000000016e+00	2.313849e+00
3.607700000000016e+00	2.313931e+00
3.607800000000017e+00	2.314013e+00
3.607900000000017e+00	2.314095e+00
3.608000000000017e+00	2.314177e+00
3.608100000000017e+00	2.314260e+00
3.608200000000017e+00	2.314342e+00
3.608300000000018e+00	2.314424e+00
3.608400000000018e+00	2.314506e+00
3.608500000000018e+00	2.314588e+00
3.608600000000018e+00	2.314670e+00
3.608700000000018e+00	2.314752e+00
3.608800000000019e+00	2.314834e+00
3.608900000000019e+00	2.314916e+00
