v1	I(Iout)
2.000000000000000e+00	-9.494943e-08
2.010000000000000e+00	-9.494941e-08
2.020000000000000e+00	-9.494937e-08
2.029999999999999e+00	-9.494932e-08
2.039999999999999e+00	-9.494925e-08
2.049999999999999e+00	-9.494916e-08
2.059999999999999e+00	-9.494903e-08
2.069999999999999e+00	-9.494887e-08
2.079999999999998e+00	-9.494864e-08
2.089999999999998e+00	-9.494833e-08
2.099999999999998e+00	-9.494792e-08
2.109999999999998e+00	-9.494736e-08
2.119999999999997e+00	-9.494661e-08
2.129999999999997e+00	-9.494560e-08
2.139999999999997e+00	-9.494423e-08
2.149999999999997e+00	-9.494238e-08
2.159999999999997e+00	-9.493989e-08
2.169999999999996e+00	-9.493651e-08
2.179999999999996e+00	-9.493196e-08
2.189999999999996e+00	-9.492581e-08
2.199999999999996e+00	-9.491751e-08
2.209999999999996e+00	-9.490629e-08
2.219999999999995e+00	-9.489114e-08
2.229999999999995e+00	-9.487069e-08
2.239999999999995e+00	-9.484307e-08
2.249999999999995e+00	-9.480576e-08
2.259999999999994e+00	-9.475541e-08
2.269999999999994e+00	-9.468744e-08
2.279999999999994e+00	-9.459573e-08
2.289999999999994e+00	-9.447202e-08
2.299999999999994e+00	-9.430526e-08
2.309999999999993e+00	-9.408066e-08
2.319999999999993e+00	-9.377847e-08
2.329999999999993e+00	-9.337254e-08
2.339999999999993e+00	-9.282839e-08
2.349999999999993e+00	-9.210100e-08
2.359999999999992e+00	-9.113235e-08
2.369999999999992e+00	-8.984878e-08
2.379999999999992e+00	-8.815892e-08
2.389999999999992e+00	-8.595264e-08
2.399999999999991e+00	-8.310230e-08
2.409999999999991e+00	-7.946762e-08
2.419999999999991e+00	-7.490529e-08
2.429999999999991e+00	-6.928390e-08
2.439999999999991e+00	-6.250313e-08
2.449999999999990e+00	-5.451437e-08
2.459999999999990e+00	-4.533860e-08
2.469999999999990e+00	-3.507723e-08
2.479999999999990e+00	-2.391305e-08
2.489999999999990e+00	-1.210067e-08
2.499999999999989e+00	5.205743e-11
2.509999999999989e+00	1.220875e-08
2.519999999999989e+00	2.403247e-08
2.529999999999989e+00	3.521379e-08
2.539999999999988e+00	4.549581e-08
2.549999999999988e+00	5.469317e-08
2.559999999999988e+00	6.270212e-08
2.569999999999988e+00	6.949999e-08
2.579999999999988e+00	7.513458e-08
2.589999999999987e+00	7.970628e-08
2.599999999999987e+00	8.334724e-08
2.609999999999987e+00	8.620182e-08
2.619999999999987e+00	8.841150e-08
2.629999999999987e+00	9.010490e-08
2.639999999999986e+00	9.139295e-08
2.649999999999986e+00	9.236755e-08
2.659999999999986e+00	9.310261e-08
2.669999999999986e+00	9.365627e-08
2.679999999999986e+00	9.407351e-08
2.689999999999985e+00	9.438870e-08
2.699999999999985e+00	9.462784e-08
2.709999999999985e+00	9.481048e-08
2.719999999999985e+00	9.495124e-08
2.729999999999984e+00	9.506100e-08
2.739999999999984e+00	9.514785e-08
2.749999999999984e+00	9.521777e-08
2.759999999999984e+00	9.527521e-08
2.769999999999984e+00	9.532344e-08
2.779999999999983e+00	9.536487e-08
2.789999999999983e+00	9.540128e-08
2.799999999999983e+00	9.543401e-08
2.809999999999983e+00	9.546401e-08
2.819999999999983e+00	9.549199e-08
2.829999999999982e+00	9.551849e-08
2.839999999999982e+00	9.554388e-08
2.849999999999982e+00	9.556847e-08
2.859999999999982e+00	9.559244e-08
2.869999999999981e+00	9.561597e-08
2.879999999999981e+00	9.563915e-08
2.889999999999981e+00	9.566208e-08
2.899999999999981e+00	9.568483e-08
2.909999999999981e+00	9.570741e-08
2.919999999999980e+00	9.572989e-08
2.929999999999980e+00	9.575228e-08
2.939999999999980e+00	9.577459e-08
2.949999999999980e+00	9.579684e-08
2.959999999999980e+00	9.581905e-08
2.969999999999979e+00	9.584122e-08
2.979999999999979e+00	9.586334e-08
2.989999999999979e+00	9.588543e-08
3.000000000000000e+00	9.590750e-08
