v1	I(Iout)
2.000000000000000e+00	-9.495091e-08
2.010000000000000e+00	-9.495088e-08
2.020000000000000e+00	-9.495084e-08
2.029999999999999e+00	-9.495079e-08
2.039999999999999e+00	-9.495072e-08
2.049999999999999e+00	-9.495063e-08
2.059999999999999e+00	-9.495051e-08
2.069999999999999e+00	-9.495034e-08
2.079999999999998e+00	-9.495011e-08
2.089999999999998e+00	-9.494980e-08
2.099999999999998e+00	-9.494939e-08
2.109999999999998e+00	-9.494884e-08
2.119999999999997e+00	-9.494808e-08
2.129999999999997e+00	-9.494708e-08
2.139999999999997e+00	-9.494570e-08
2.149999999999997e+00	-9.494386e-08
2.159999999999997e+00	-9.494136e-08
2.169999999999996e+00	-9.493800e-08
2.179999999999996e+00	-9.493345e-08
2.189999999999996e+00	-9.492731e-08
2.199999999999996e+00	-9.491901e-08
2.209999999999996e+00	-9.490780e-08
2.219999999999995e+00	-9.489267e-08
2.229999999999995e+00	-9.487223e-08
2.239999999999995e+00	-9.484463e-08
2.249999999999995e+00	-9.480736e-08
2.259999999999994e+00	-9.475705e-08
2.269999999999994e+00	-9.468914e-08
2.279999999999994e+00	-9.459751e-08
2.289999999999994e+00	-9.447392e-08
2.299999999999994e+00	-9.430731e-08
2.309999999999993e+00	-9.408291e-08
2.319999999999993e+00	-9.378099e-08
2.329999999999993e+00	-9.337542e-08
2.339999999999993e+00	-9.283175e-08
2.349999999999993e+00	-9.210502e-08
2.359999999999992e+00	-9.113722e-08
2.369999999999992e+00	-8.985477e-08
2.379999999999992e+00	-8.816637e-08
2.389999999999992e+00	-8.596194e-08
2.399999999999991e+00	-8.311393e-08
2.409999999999991e+00	-7.948209e-08
2.419999999999991e+00	-7.492317e-08
2.429999999999991e+00	-6.930573e-08
2.439999999999991e+00	-6.252940e-08
2.449999999999990e+00	-5.454544e-08
2.459999999999990e+00	-4.537467e-08
2.469999999999990e+00	-3.511830e-08
2.479999999999990e+00	-2.395892e-08
2.489999999999990e+00	-1.215095e-08
2.499999999999989e+00	-2.082711e-12
2.509999999999989e+00	1.215141e-08
2.519999999999989e+00	2.397267e-08
2.529999999999989e+00	3.515223e-08
2.539999999999988e+00	4.543316e-08
2.549999999999988e+00	5.463001e-08
2.559999999999988e+00	6.263889e-08
2.569999999999988e+00	6.943699e-08
2.579999999999988e+00	7.507199e-08
2.589999999999987e+00	7.964419e-08
2.599999999999987e+00	8.328564e-08
2.609999999999987e+00	8.614069e-08
2.619999999999987e+00	8.835075e-08
2.629999999999987e+00	9.004449e-08
2.639999999999986e+00	9.133280e-08
2.649999999999986e+00	9.230759e-08
2.659999999999986e+00	9.304281e-08
2.669999999999986e+00	9.359659e-08
2.679999999999986e+00	9.401391e-08
2.689999999999985e+00	9.432917e-08
2.699999999999985e+00	9.456835e-08
2.709999999999985e+00	9.475102e-08
2.719999999999985e+00	9.489179e-08
2.729999999999984e+00	9.500156e-08
2.739999999999984e+00	9.508841e-08
2.749999999999984e+00	9.515833e-08
2.759999999999984e+00	9.521577e-08
2.769999999999984e+00	9.526399e-08
2.779999999999983e+00	9.530542e-08
2.789999999999983e+00	9.534183e-08
2.799999999999983e+00	9.537454e-08
2.809999999999983e+00	9.540453e-08
2.819999999999983e+00	9.543250e-08
2.829999999999982e+00	9.545899e-08
2.839999999999982e+00	9.548437e-08
2.849999999999982e+00	9.550894e-08
2.859999999999982e+00	9.553291e-08
2.869999999999981e+00	9.555642e-08
2.879999999999981e+00	9.557959e-08
2.889999999999981e+00	9.560252e-08
2.899999999999981e+00	9.562525e-08
2.909999999999981e+00	9.564782e-08
2.919999999999980e+00	9.567029e-08
2.929999999999980e+00	9.569266e-08
2.939999999999980e+00	9.571497e-08
2.949999999999980e+00	9.573721e-08
2.959999999999980e+00	9.575940e-08
2.969999999999979e+00	9.578155e-08
2.979999999999979e+00	9.580367e-08
2.989999999999979e+00	9.582575e-08
3.000000000000000e+00	9.584780e-08
