vout	I(Iout)
0.000000000000000e+00	1.737261e-04
1.000000000000000e-02	1.725249e-04
2.000000000000000e-02	1.713190e-04
3.000000000000000e-02	1.701080e-04
4.000000000000000e-02	1.688917e-04
5.000000000000000e-02	1.676699e-04
6.000000000000000e-02	1.664424e-04
7.000000000000001e-02	1.652089e-04
8.000000000000000e-02	1.639692e-04
9.000000000000000e-02	1.627229e-04
9.999999999999999e-02	1.614698e-04
1.100000000000000e-01	1.602095e-04
1.200000000000000e-01	1.589416e-04
1.300000000000000e-01	1.576659e-04
1.400000000000000e-01	1.563820e-04
1.500000000000000e-01	1.550893e-04
1.600000000000000e-01	1.537876e-04
1.700000000000000e-01	1.524762e-04
1.800000000000000e-01	1.511548e-04
1.900000000000000e-01	1.498227e-04
2.000000000000000e-01	1.484795e-04
2.100000000000000e-01	1.471245e-04
2.200000000000001e-01	1.457571e-04
2.300000000000001e-01	1.443765e-04
2.400000000000001e-01	1.429822e-04
2.500000000000001e-01	1.415732e-04
2.600000000000001e-01	1.401490e-04
2.700000000000001e-01	1.387086e-04
2.800000000000001e-01	1.372515e-04
2.900000000000001e-01	1.357770e-04
3.000000000000001e-01	1.342846e-04
3.100000000000001e-01	1.327745e-04
3.200000000000001e-01	1.312471e-04
3.300000000000001e-01	1.297038e-04
3.400000000000001e-01	1.281469e-04
3.500000000000001e-01	1.265793e-04
3.600000000000002e-01	1.250041e-04
3.700000000000002e-01	1.234246e-04
3.800000000000002e-01	1.218435e-04
3.900000000000002e-01	1.202632e-04
4.000000000000002e-01	1.186854e-04
4.100000000000002e-01	1.171117e-04
4.200000000000002e-01	1.155431e-04
4.300000000000002e-01	1.139807e-04
4.400000000000002e-01	1.124250e-04
4.500000000000002e-01	1.108765e-04
4.600000000000002e-01	1.093357e-04
4.700000000000003e-01	1.078028e-04
4.800000000000003e-01	1.062779e-04
4.900000000000003e-01	1.047614e-04
5.000000000000002e-01	1.032533e-04
5.100000000000002e-01	1.017538e-04
5.200000000000002e-01	1.002630e-04
5.300000000000002e-01	9.878106e-05
5.400000000000003e-01	9.730799e-05
5.500000000000003e-01	9.584392e-05
5.600000000000003e-01	9.438894e-05
5.700000000000003e-01	9.294313e-05
5.800000000000003e-01	9.150655e-05
5.900000000000003e-01	9.007930e-05
6.000000000000003e-01	8.866143e-05
6.100000000000003e-01	8.725301e-05
6.200000000000003e-01	8.585410e-05
6.300000000000003e-01	8.446477e-05
6.400000000000003e-01	8.308507e-05
6.500000000000004e-01	8.171507e-05
6.600000000000004e-01	8.035482e-05
6.700000000000004e-01	7.900439e-05
6.800000000000004e-01	7.766381e-05
6.900000000000004e-01	7.633315e-05
7.000000000000004e-01	7.501246e-05
7.100000000000004e-01	7.370179e-05
7.200000000000004e-01	7.240120e-05
7.300000000000004e-01	7.111074e-05
7.400000000000004e-01	6.983044e-05
7.500000000000004e-01	6.856037e-05
7.600000000000005e-01	6.730057e-05
7.700000000000005e-01	6.605109e-05
7.800000000000005e-01	6.481199e-05
7.900000000000005e-01	6.358330e-05
8.000000000000005e-01	6.236507e-05
8.100000000000005e-01	6.115736e-05
8.200000000000005e-01	5.996020e-05
8.300000000000005e-01	5.877365e-05
8.400000000000005e-01	5.759775e-05
8.500000000000005e-01	5.643255e-05
8.600000000000005e-01	5.527808e-05
8.700000000000006e-01	5.413440e-05
8.800000000000006e-01	5.300156e-05
8.900000000000006e-01	5.187959e-05
9.000000000000006e-01	5.076854e-05
9.100000000000006e-01	4.966846e-05
9.200000000000006e-01	4.857939e-05
9.300000000000006e-01	4.750137e-05
9.400000000000006e-01	4.643444e-05
9.500000000000006e-01	4.537867e-05
9.600000000000006e-01	4.433407e-05
9.700000000000006e-01	4.330070e-05
9.800000000000006e-01	4.227861e-05
9.900000000000007e-01	4.126782e-05
1.000000000000001e+00	4.026840e-05
1.010000000000001e+00	3.928037e-05
1.020000000000001e+00	3.830379e-05
1.030000000000001e+00	3.733869e-05
1.040000000000001e+00	3.638512e-05
1.050000000000001e+00	3.544312e-05
1.060000000000001e+00	3.451273e-05
1.070000000000001e+00	3.359400e-05
1.080000000000001e+00	3.268696e-05
1.090000000000001e+00	3.179165e-05
1.100000000000001e+00	3.090813e-05
1.110000000000001e+00	3.003642e-05
1.120000000000001e+00	2.917657e-05
1.130000000000001e+00	2.832863e-05
1.140000000000001e+00	2.749263e-05
1.150000000000001e+00	2.666861e-05
1.160000000000001e+00	2.585661e-05
1.170000000000001e+00	2.505668e-05
1.180000000000001e+00	2.426885e-05
1.190000000000001e+00	2.349317e-05
1.200000000000001e+00	2.272967e-05
1.210000000000001e+00	2.197839e-05
1.220000000000001e+00	2.123937e-05
1.230000000000001e+00	2.051266e-05
1.240000000000001e+00	1.979829e-05
1.250000000000001e+00	1.909629e-05
1.260000000000001e+00	1.840672e-05
1.270000000000001e+00	1.772960e-05
1.280000000000001e+00	1.706497e-05
1.290000000000001e+00	1.641287e-05
1.300000000000001e+00	1.577334e-05
1.310000000000001e+00	1.514641e-05
1.320000000000001e+00	1.453212e-05
1.330000000000001e+00	1.393051e-05
1.340000000000001e+00	1.334161e-05
1.350000000000001e+00	1.276545e-05
1.360000000000001e+00	1.220207e-05
1.370000000000001e+00	1.165150e-05
1.380000000000001e+00	1.111377e-05
1.390000000000001e+00	1.058891e-05
1.400000000000001e+00	1.007695e-05
1.410000000000001e+00	9.577931e-06
1.420000000000001e+00	9.091867e-06
1.430000000000001e+00	8.618788e-06
1.440000000000001e+00	8.158719e-06
1.450000000000001e+00	7.711681e-06
1.460000000000001e+00	7.277697e-06
1.470000000000001e+00	6.856785e-06
1.480000000000001e+00	6.448962e-06
1.490000000000001e+00	6.054242e-06
1.500000000000001e+00	5.672637e-06
1.510000000000001e+00	5.304156e-06
1.520000000000001e+00	4.948803e-06
1.530000000000001e+00	4.606581e-06
1.540000000000001e+00	4.277486e-06
1.550000000000001e+00	3.961514e-06
1.560000000000001e+00	3.658651e-06
1.570000000000001e+00	3.368880e-06
1.580000000000001e+00	3.092179e-06
1.590000000000001e+00	2.828518e-06
1.600000000000001e+00	2.577859e-06
1.610000000000001e+00	2.340156e-06
1.620000000000001e+00	2.115353e-06
