v1	V(vout)
0.000000000000000e+00	2.499356e-01
1.000000000000000e-02	2.499794e-01
2.000000000000000e-02	2.500451e-01
3.000000000000000e-02	2.501205e-01
4.000000000000000e-02	2.502141e-01
5.000000000000000e-02	2.503306e-01
6.000000000000000e-02	2.504755e-01
7.000000000000001e-02	2.506559e-01
8.000000000000000e-02	2.508805e-01
9.000000000000000e-02	2.511600e-01
9.999999999999999e-02	2.515078e-01
1.100000000000000e-01	2.519400e-01
1.200000000000000e-01	2.524767e-01
1.300000000000000e-01	2.531418e-01
1.400000000000000e-01	2.539642e-01
1.500000000000000e-01	2.549779e-01
1.600000000000000e-01	2.562222e-01
1.700000000000000e-01	2.577423e-01
1.800000000000000e-01	2.595875e-01
1.900000000000000e-01	2.618111e-01
2.000000000000000e-01	2.644671e-01
2.100000000000000e-01	2.676078e-01
2.200000000000001e-01	2.712798e-01
2.300000000000001e-01	2.755197e-01
2.400000000000001e-01	2.803510e-01
2.500000000000001e-01	2.857808e-01
2.600000000000001e-01	2.917997e-01
2.700000000000001e-01	2.983819e-01
2.800000000000001e-01	3.054884e-01
2.900000000000001e-01	3.130707e-01
3.000000000000001e-01	3.210743e-01
3.100000000000001e-01	3.294436e-01
3.200000000000001e-01	3.381242e-01
3.300000000000001e-01	3.470654e-01
3.400000000000001e-01	3.562220e-01
3.500000000000001e-01	3.655542e-01
3.600000000000002e-01	3.750281e-01
3.700000000000002e-01	3.846153e-01
3.800000000000002e-01	3.942924e-01
3.900000000000002e-01	4.040399e-01
4.000000000000002e-01	4.138421e-01
4.100000000000002e-01	4.236863e-01
4.200000000000002e-01	4.335620e-01
4.300000000000002e-01	4.434607e-01
4.400000000000002e-01	4.533754e-01
4.500000000000002e-01	4.633003e-01
4.600000000000002e-01	4.732305e-01
4.700000000000003e-01	4.831619e-01
4.800000000000003e-01	4.930912e-01
4.900000000000003e-01	5.030158e-01
5.000000000000002e-01	5.129337e-01
5.100000000000002e-01	5.228441e-01
5.200000000000002e-01	5.327471e-01
5.300000000000002e-01	5.426439e-01
5.400000000000003e-01	5.525367e-01
5.500000000000003e-01	5.624287e-01
5.600000000000003e-01	5.723233e-01
5.700000000000003e-01	5.822242e-01
5.800000000000003e-01	5.921350e-01
5.900000000000003e-01	6.020582e-01
6.000000000000003e-01	6.119960e-01
6.100000000000003e-01	6.219493e-01
6.200000000000003e-01	6.319181e-01
6.300000000000003e-01	6.419022e-01
6.400000000000003e-01	6.519004e-01
6.500000000000004e-01	6.619112e-01
6.600000000000004e-01	6.719332e-01
6.700000000000004e-01	6.819646e-01
6.800000000000004e-01	6.920040e-01
6.900000000000004e-01	7.020499e-01
7.000000000000004e-01	7.121009e-01
7.100000000000004e-01	7.221559e-01
7.200000000000004e-01	7.322137e-01
7.300000000000004e-01	7.422736e-01
7.400000000000004e-01	7.523348e-01
7.500000000000004e-01	7.623965e-01
7.600000000000005e-01	7.724583e-01
7.700000000000005e-01	7.825196e-01
7.800000000000005e-01	7.925802e-01
7.900000000000005e-01	8.026397e-01
8.000000000000005e-01	8.126977e-01
8.100000000000005e-01	8.227541e-01
8.200000000000005e-01	8.328089e-01
8.300000000000005e-01	8.428615e-01
8.400000000000005e-01	8.529122e-01
8.500000000000005e-01	8.629608e-01
8.600000000000005e-01	8.730071e-01
8.700000000000006e-01	8.830510e-01
8.800000000000006e-01	8.930928e-01
8.900000000000006e-01	9.031321e-01
9.000000000000006e-01	9.131691e-01
9.100000000000006e-01	9.232036e-01
9.200000000000006e-01	9.332358e-01
9.300000000000006e-01	9.432656e-01
9.400000000000006e-01	9.532930e-01
9.500000000000006e-01	9.633180e-01
9.600000000000006e-01	9.733407e-01
9.700000000000006e-01	9.833609e-01
9.800000000000006e-01	9.933789e-01
9.900000000000007e-01	1.003394e+00
1.000000000000001e+00	1.013408e+00
1.010000000000001e+00	1.023419e+00
1.020000000000001e+00	1.033428e+00
1.030000000000001e+00	1.043434e+00
1.040000000000001e+00	1.053438e+00
1.050000000000001e+00	1.063440e+00
1.060000000000001e+00	1.073440e+00
1.070000000000001e+00	1.083438e+00
1.080000000000001e+00	1.093434e+00
1.090000000000001e+00	1.103427e+00
1.100000000000001e+00	1.113418e+00
1.110000000000001e+00	1.123408e+00
1.120000000000001e+00	1.133395e+00
1.130000000000001e+00	1.143381e+00
1.140000000000001e+00	1.153364e+00
1.150000000000001e+00	1.163345e+00
1.160000000000001e+00	1.173325e+00
1.170000000000001e+00	1.183303e+00
1.180000000000001e+00	1.193279e+00
1.190000000000001e+00	1.203254e+00
1.200000000000001e+00	1.213227e+00
1.210000000000001e+00	1.223199e+00
1.220000000000001e+00	1.233169e+00
1.230000000000001e+00	1.243138e+00
1.240000000000001e+00	1.253105e+00
1.250000000000001e+00	1.263072e+00
1.260000000000001e+00	1.273037e+00
1.270000000000001e+00	1.283002e+00
1.280000000000001e+00	1.292965e+00
1.290000000000001e+00	1.302928e+00
1.300000000000001e+00	1.312890e+00
1.310000000000001e+00	1.322852e+00
1.320000000000001e+00	1.332813e+00
1.330000000000001e+00	1.342773e+00
1.340000000000001e+00	1.352734e+00
