v1	V(vout)
0.000000000000000e+00	2.499437e-01
1.000000000000000e-02	2.499874e-01
2.000000000000000e-02	2.500532e-01
3.000000000000000e-02	2.501285e-01
4.000000000000000e-02	2.502221e-01
5.000000000000000e-02	2.503387e-01
6.000000000000000e-02	2.504836e-01
7.000000000000001e-02	2.506641e-01
8.000000000000000e-02	2.508887e-01
9.000000000000000e-02	2.511682e-01
9.999999999999999e-02	2.515160e-01
1.100000000000000e-01	2.519484e-01
1.200000000000000e-01	2.524851e-01
1.300000000000000e-01	2.531503e-01
1.400000000000000e-01	2.539728e-01
1.500000000000000e-01	2.549866e-01
1.600000000000000e-01	2.562312e-01
1.700000000000000e-01	2.577514e-01
1.800000000000000e-01	2.595969e-01
1.900000000000000e-01	2.618207e-01
2.000000000000000e-01	2.644770e-01
2.100000000000000e-01	2.676180e-01
2.200000000000001e-01	2.712903e-01
2.300000000000001e-01	2.755306e-01
2.400000000000001e-01	2.803622e-01
2.500000000000001e-01	2.857924e-01
2.600000000000001e-01	2.918115e-01
2.700000000000001e-01	2.983939e-01
2.800000000000001e-01	3.055007e-01
2.900000000000001e-01	3.130831e-01
3.000000000000001e-01	3.210868e-01
3.100000000000001e-01	3.294562e-01
3.200000000000001e-01	3.381367e-01
3.300000000000001e-01	3.470778e-01
3.400000000000001e-01	3.562342e-01
3.500000000000001e-01	3.655662e-01
3.600000000000002e-01	3.750398e-01
3.700000000000002e-01	3.846267e-01
3.800000000000002e-01	3.943034e-01
3.900000000000002e-01	4.040504e-01
4.000000000000002e-01	4.138522e-01
4.100000000000002e-01	4.236959e-01
4.200000000000002e-01	4.335711e-01
4.300000000000002e-01	4.434696e-01
4.400000000000002e-01	4.533843e-01
4.500000000000002e-01	4.633098e-01
4.600000000000002e-01	4.732416e-01
4.700000000000003e-01	4.831761e-01
4.800000000000003e-01	4.931104e-01
4.900000000000003e-01	5.030429e-01
5.000000000000002e-01	5.129723e-01
5.100000000000002e-01	5.228984e-01
5.200000000000002e-01	5.328215e-01
5.300000000000002e-01	5.427428e-01
5.400000000000003e-01	5.526636e-01
5.500000000000003e-01	5.625852e-01
5.600000000000003e-01	5.725091e-01
5.700000000000003e-01	5.824364e-01
5.800000000000003e-01	5.923680e-01
5.900000000000003e-01	6.023043e-01
6.000000000000003e-01	6.122454e-01
6.100000000000003e-01	6.221912e-01
6.200000000000003e-01	6.321414e-01
6.300000000000003e-01	6.420955e-01
6.400000000000003e-01	6.520532e-01
6.500000000000004e-01	6.620138e-01
6.600000000000004e-01	6.719769e-01
6.700000000000004e-01	6.819422e-01
6.800000000000004e-01	6.919093e-01
6.900000000000004e-01	7.018777e-01
7.000000000000004e-01	7.118473e-01
7.100000000000004e-01	7.218179e-01
7.200000000000004e-01	7.317891e-01
7.300000000000004e-01	7.417610e-01
7.400000000000004e-01	7.517333e-01
7.500000000000004e-01	7.617061e-01
7.600000000000005e-01	7.716790e-01
7.700000000000005e-01	7.816523e-01
7.800000000000005e-01	7.916258e-01
7.900000000000005e-01	8.015994e-01
8.000000000000005e-01	8.115731e-01
8.100000000000005e-01	8.215470e-01
8.200000000000005e-01	8.315209e-01
8.300000000000005e-01	8.414949e-01
8.400000000000005e-01	8.514690e-01
8.500000000000005e-01	8.614430e-01
8.600000000000005e-01	8.714172e-01
8.700000000000006e-01	8.813914e-01
8.800000000000006e-01	8.913656e-01
8.900000000000006e-01	9.013399e-01
9.000000000000006e-01	9.113141e-01
9.100000000000006e-01	9.212884e-01
9.200000000000006e-01	9.312627e-01
9.300000000000006e-01	9.412370e-01
9.400000000000006e-01	9.512113e-01
9.500000000000006e-01	9.611857e-01
9.600000000000006e-01	9.711601e-01
9.700000000000006e-01	9.811344e-01
9.800000000000006e-01	9.911087e-01
9.900000000000007e-01	1.001083e+00
1.000000000000001e+00	1.011057e+00
1.010000000000001e+00	1.021032e+00
1.020000000000001e+00	1.031006e+00
1.030000000000001e+00	1.040981e+00
1.040000000000001e+00	1.050955e+00
1.050000000000001e+00	1.060929e+00
1.060000000000001e+00	1.070904e+00
1.070000000000001e+00	1.080878e+00
1.080000000000001e+00	1.090852e+00
1.090000000000001e+00	1.100827e+00
1.100000000000001e+00	1.110801e+00
1.110000000000001e+00	1.120775e+00
1.120000000000001e+00	1.130749e+00
1.130000000000001e+00	1.140724e+00
1.140000000000001e+00	1.150698e+00
1.150000000000001e+00	1.160672e+00
1.160000000000001e+00	1.170646e+00
1.170000000000001e+00	1.180621e+00
1.180000000000001e+00	1.190595e+00
1.190000000000001e+00	1.200569e+00
1.200000000000001e+00	1.210543e+00
1.210000000000001e+00	1.220517e+00
1.220000000000001e+00	1.230491e+00
1.230000000000001e+00	1.240465e+00
