v1	V(vout)
2.400000000000000e+000	6.462488e-002
2.400100000000000e+000	6.467929e-002
2.400200000000000e+000	6.473585e-002
2.400300000000001e+000	6.479142e-002
2.400400000000001e+000	6.484703e-002
2.400500000000001e+000	6.490270e-002
2.400600000000001e+000	6.495842e-002
2.400700000000001e+000	6.501420e-002
2.400800000000002e+000	6.507003e-002
2.400900000000002e+000	6.512591e-002
2.401000000000002e+000	6.518184e-002
2.401100000000002e+000	6.523784e-002
2.401200000000002e+000	6.529388e-002
2.401300000000003e+000	6.534997e-002
2.401400000000003e+000	6.540612e-002
2.401500000000003e+000	6.546233e-002
2.401600000000003e+000	6.551859e-002
2.401700000000004e+000	6.557490e-002
2.401800000000004e+000	6.563126e-002
2.401900000000004e+000	6.568769e-002
2.402000000000004e+000	6.574416e-002
2.402100000000004e+000	6.580069e-002
2.402200000000005e+000	6.585727e-002
2.402300000000005e+000	6.591391e-002
2.402400000000005e+000	6.597061e-002
2.402500000000005e+000	6.602735e-002
2.402600000000005e+000	6.608415e-002
2.402700000000006e+000	6.614101e-002
2.402800000000006e+000	6.619792e-002
2.402900000000006e+000	6.625489e-002
2.403000000000006e+000	6.631192e-002
2.403100000000007e+000	6.636900e-002
2.403200000000007e+000	6.642613e-002
2.403300000000007e+000	6.648332e-002
2.403400000000007e+000	6.654056e-002
2.403500000000007e+000	6.659786e-002
2.403600000000008e+000	6.665523e-002
2.403700000000008e+000	6.671264e-002
2.403800000000008e+000	6.677011e-002
2.403900000000008e+000	6.682763e-002
2.404000000000008e+000	6.688522e-002
2.404100000000009e+000	6.694286e-002
2.404200000000009e+000	6.700055e-002
2.404300000000009e+000	6.705830e-002
2.404400000000009e+000	6.711611e-002
2.404500000000009e+000	6.717397e-002
2.404600000000010e+000	6.723189e-002
2.404700000000010e+000	6.728987e-002
2.404800000000010e+000	6.734791e-002
2.404900000000010e+000	6.740601e-002
2.405000000000011e+000	6.746416e-002
2.405100000000011e+000	6.752237e-002
2.405200000000011e+000	6.758063e-002
2.405300000000011e+000	6.763896e-002
