time	V(vin)	V(vout)
0.000000000000000e+00	2.500000e+00	2.492782e+00
5.031553599973893e-05	2.500000e+00	2.492782e+00
1.015155359997402e-04	2.500000e+00	2.492782e+00
1.527155359997414e-04	2.500000e+00	2.492782e+00
2.039155359997427e-04	2.500000e+00	2.492782e+00
2.551155359997380e-04	2.500000e+00	2.492782e+00
3.063155359997114e-04	2.500000e+00	2.492782e+00
3.575155359996849e-04	2.500000e+00	2.492782e+00
4.087155359996584e-04	2.500000e+00	2.492782e+00
4.599155359996319e-04	2.500000e+00	2.492782e+00
5.111155359996301e-04	2.500000e+00	2.492782e+00
5.623155359996591e-04	2.500000e+00	2.492782e+00
6.135155359996881e-04	2.500000e+00	2.492782e+00
6.647155359997171e-04	2.500000e+00	2.492782e+00
7.159155359997461e-04	2.500000e+00	2.492782e+00
7.671155359997751e-04	2.500000e+00	2.492782e+00
8.183155359998041e-04	2.500000e+00	2.492782e+00
8.695155359998331e-04	2.500000e+00	2.492782e+00
9.207155359998621e-04	2.500000e+00	2.492782e+00
9.719155359998911e-04	2.500000e+00	2.492782e+00
1.000000000000000e-03	2.500000e+00	2.492782e+00
1.000035000000000e-03	2.500700e+00	2.492782e+00
1.000912142857142e-03	2.518243e+00	2.492969e+00
1.001789285714283e-03	2.535786e+00	2.493442e+00
1.002666428571424e-03	2.553328e+00	2.494199e+00
1.003543571428566e-03	2.570871e+00	2.495242e+00
1.004420714285707e-03	2.588414e+00	2.496571e+00
1.005297857142849e-03	2.605957e+00	2.498184e+00
1.006174999999990e-03	2.623500e+00	2.500083e+00
1.008367857142844e-03	2.667357e+00	2.506326e+00
1.010560714285697e-03	2.711214e+00	2.513505e+00
1.012753571428551e-03	2.755071e+00	2.521620e+00
1.014946428571405e-03	2.798929e+00	2.530671e+00
1.017139285714258e-03	2.842786e+00	2.540658e+00
1.019332142857112e-03	2.886643e+00	2.551581e+00
1.021524999999966e-03	2.930500e+00	2.563440e+00
1.021724999999965e-03	2.934500e+00	2.564495e+00
1.021924999999965e-03	2.938500e+00	2.565552e+00
1.022124999999965e-03	2.942500e+00	2.566611e+00
1.022324999999964e-03	2.946500e+00	2.567673e+00
1.022524999999964e-03	2.950500e+00	2.568736e+00
1.022724999999964e-03	2.954500e+00	2.569801e+00
1.022924999999963e-03	2.958500e+00	2.570868e+00
1.022974999999963e-03	2.959500e+00	2.571135e+00
1.023710714285676e-03	2.974214e+00	2.575083e+00
1.024446428571390e-03	2.988929e+00	2.579041e+00
1.025182142857103e-03	3.003643e+00	2.583009e+00
1.025917857142816e-03	3.018357e+00	2.586988e+00
1.026653571428529e-03	3.033071e+00	2.590977e+00
1.027389285714242e-03	3.047786e+00	2.594977e+00
1.028124999999955e-03	3.062500e+00	2.598987e+00
1.029539285714239e-03	3.090786e+00	2.606699e+00
1.030953571428522e-03	3.119071e+00	2.614415e+00
1.032367857142805e-03	3.147357e+00	2.622133e+00
1.033782142857089e-03	3.175643e+00	2.629855e+00
1.035196428571372e-03	3.203929e+00	2.637581e+00
1.036610714285656e-03	3.232214e+00	2.645310e+00
1.038024999999939e-03	3.260500e+00	2.653043e+00
1.039860714285650e-03	3.297214e+00	2.663078e+00
1.041696428571362e-03	3.333929e+00	2.673114e+00
1.043532142857073e-03	3.370643e+00	2.683153e+00
1.045367857142785e-03	3.407357e+00	2.693192e+00
1.047203571428496e-03	3.444071e+00	2.703234e+00
1.049039285714207e-03	3.480786e+00	2.713276e+00
1.050874999999919e-03	3.517500e+00	2.723321e+00
1.054196428571342e-03	3.583929e+00	2.741498e+00
1.057517857142765e-03	3.650357e+00	2.759679e+00
1.060839285714188e-03	3.716786e+00	2.777863e+00
1.064160714285612e-03	3.783214e+00	2.796052e+00
1.067482142857035e-03	3.849643e+00	2.814244e+00
1.070803571428458e-03	3.916071e+00	2.832440e+00
1.074124999999881e-03	3.982500e+00	2.850639e+00
1.074174999999881e-03	3.983500e+00	2.850913e+00
1.077924999999898e-03	4.059889e+00	2.871465e+00
1.081674999999915e-03	4.135410e+00	2.892020e+00
1.085424999999932e-03	4.210064e+00	2.912578e+00
1.089174999999949e-03	4.283849e+00	2.933140e+00
1.092924999999966e-03	4.356767e+00	2.953705e+00
1.096674999999983e-03	4.428818e+00	2.974274e+00
1.100424999999999e-03	4.500000e+00	2.994846e+00
1.125224999999960e-03	4.500000e+00	3.130685e+00
1.132532142857091e-03	4.500000e+00	3.170628e+00
1.139839285714222e-03	4.500000e+00	3.210532e+00
1.147146428571353e-03	4.500000e+00	3.250398e+00
1.154453571428484e-03	4.500000e+00	3.290224e+00
1.161760714285615e-03	4.500000e+00	3.330011e+00
1.169067857142747e-03	4.500000e+00	3.369759e+00
1.176374999999878e-03	4.500000e+00	3.409468e+00
1.176424999999878e-03	4.500000e+00	3.409739e+00
1.227624999999796e-03	4.500000e+00	3.686788e+00
1.233589285714072e-03	4.500000e+00	3.718924e+00
1.239553571428348e-03	4.500000e+00	3.751028e+00
1.245517857142624e-03	4.500000e+00	3.783101e+00
1.251482142856900e-03	4.500000e+00	3.815142e+00
1.257446428571177e-03	4.500000e+00	3.847152e+00
1.263410714285453e-03	4.500000e+00	3.879131e+00
1.269374999999729e-03	4.500000e+00	3.911079e+00
1.270224999999727e-03	4.500000e+00	3.915629e+00
1.271074999999726e-03	4.500000e+00	3.920179e+00
1.271924999999725e-03	4.500000e+00	3.924728e+00
1.272774999999723e-03	4.500000e+00	3.929276e+00
1.273624999999722e-03	4.500000e+00	3.933823e+00
1.274474999999721e-03	4.500000e+00	3.938370e+00
1.275324999999719e-03	4.500000e+00	3.942916e+00
1.275810714285433e-03	4.500000e+00	3.945513e+00
1.276296428571146e-03	4.500000e+00	3.948110e+00
1.276782142856860e-03	4.500000e+00	3.950707e+00
1.277267857142573e-03	4.500000e+00	3.953304e+00
1.277753571428287e-03	4.500000e+00	3.955900e+00
1.278239285714000e-03	4.500000e+00	3.958497e+00
1.278724999999714e-03	4.500000e+00	3.961092e+00
1.278824999999714e-03	4.500000e+00	3.961627e+00
1.279167857142570e-03	4.500000e+00	3.963459e+00
1.279510714285427e-03	4.500000e+00	3.965291e+00
1.279853571428283e-03	4.500000e+00	3.967123e+00
1.280196428571140e-03	4.500000e+00	3.968955e+00
1.280539285713997e-03	4.500000e+00	3.970787e+00
1.280882142856853e-03	4.500000e+00	3.972618e+00
1.281224999999710e-03	4.500000e+00	3.974450e+00
1.281646428571138e-03	4.500000e+00	3.976700e+00
1.282067857142566e-03	4.500000e+00	3.978951e+00
1.282489285713994e-03	4.500000e+00	3.981201e+00
1.282910714285421e-03	4.500000e+00	3.983451e+00
1.283332142856849e-03	4.500000e+00	3.985701e+00
1.283753571428277e-03	4.500000e+00	3.987950e+00
1.284174999999705e-03	4.500000e+00	3.990199e+00
1.286467857142559e-03	4.500000e+00	4.002440e+00
1.288760714285412e-03	4.500000e+00	4.014663e+00
1.291053571428266e-03	4.500000e+00	4.026866e+00
1.293346428571119e-03	4.500000e+00	4.039050e+00
1.295639285713973e-03	4.500000e+00	4.051216e+00
1.297932142856826e-03	4.500000e+00	4.063362e+00
1.300224999999679e-03	4.500000e+00	4.075490e+00
1.302717857142533e-03	4.500000e+00	4.088669e+00
1.305210714285386e-03	4.500000e+00	4.101724e+00
1.307703571428239e-03	4.500000e+00	4.114653e+00
1.310196428571092e-03	4.500000e+00	4.127458e+00
1.312689285713945e-03	4.500000e+00	4.140138e+00
1.315182142856798e-03	4.500000e+00	4.152694e+00
1.317674999999651e-03	4.500000e+00	4.165124e+00
1.319432142856791e-03	4.500000e+00	4.173734e+00
1.321189285713932e-03	4.500000e+00	4.182211e+00
1.322946428571072e-03	4.500000e+00	4.190556e+00
1.324703571428212e-03	4.500000e+00	4.198770e+00
1.326460714285352e-03	4.500000e+00	4.206852e+00
1.328217857142492e-03	4.500000e+00	4.214802e+00
1.329974999999632e-03	4.500000e+00	4.222620e+00
1.330024999999632e-03	4.500000e+00	4.222839e+00
1.333203571428198e-03	4.500000e+00	4.236571e+00
1.336382142856764e-03	4.500000e+00	4.249766e+00
1.339560714285331e-03	4.500000e+00	4.262426e+00
1.342739285713897e-03	4.500000e+00	4.274550e+00
1.345917857142463e-03	4.500000e+00	4.286139e+00
1.349096428571030e-03	4.500000e+00	4.297192e+00
1.352274999999596e-03	4.500000e+00	4.307710e+00
1.356403571428161e-03	4.500000e+00	4.320494e+00
1.360532142856726e-03	4.500000e+00	4.332519e+00
1.364660714285290e-03	4.500000e+00	4.343784e+00
1.368789285713855e-03	4.500000e+00	4.354289e+00
1.372917857142420e-03	4.500000e+00	4.364034e+00
1.377046428570985e-03	4.500000e+00	4.373019e+00
1.381174999999550e-03	4.500000e+00	4.381244e+00
1.381224999999550e-03	4.500000e+00	4.381341e+00
1.387096428570969e-03	4.500000e+00	4.391873e+00
1.392967857142388e-03	4.500000e+00	4.401520e+00
1.398839285713807e-03	4.500000e+00	4.410281e+00
1.404710714285226e-03	4.500000e+00	4.418157e+00
1.410582142856645e-03	4.500000e+00	4.425147e+00
1.416453571428065e-03	4.500000e+00	4.431252e+00
1.422324999999484e-03	4.500000e+00	4.436471e+00
1.423760714285196e-03	4.500000e+00	4.437706e+00
1.425196428570908e-03	4.500000e+00	4.438909e+00
1.426632142856620e-03	4.500000e+00	4.440080e+00
1.428067857142332e-03	4.500000e+00	4.441218e+00
1.429503571428044e-03	4.500000e+00	4.442324e+00
1.430939285713756e-03	4.500000e+00	4.443398e+00
1.432374999999468e-03	4.500000e+00	4.444439e+00
1.432424999999468e-03	4.500000e+00	4.444475e+00
1.438260714285172e-03	4.500000e+00	4.448319e+00
1.444096428570878e-03	4.500000e+00	4.451834e+00
1.449932142856582e-03	4.500000e+00	4.455019e+00
1.455767857142287e-03	4.500000e+00	4.457876e+00
1.461603571427992e-03	4.500000e+00	4.460402e+00
1.467439285713697e-03	4.500000e+00	4.462600e+00
1.473274999999402e-03	4.500000e+00	4.464468e+00
1.483624999999386e-03	4.500000e+00	4.467424e+00
1.490903571427945e-03	4.500000e+00	4.469099e+00
1.498182142856505e-03	4.500000e+00	4.470606e+00
1.505460714285065e-03	4.500000e+00	4.471944e+00
1.512739285713625e-03	4.500000e+00	4.473115e+00
1.520017857142185e-03	4.500000e+00	4.474117e+00
1.527296428570744e-03	4.500000e+00	4.474951e+00
1.534574999999304e-03	4.500000e+00	4.475616e+00
1.534824999999304e-03	4.500000e+00	4.475639e+00
1.542132142856435e-03	4.500000e+00	4.476239e+00
1.549439285713566e-03	4.500000e+00	4.476779e+00
1.556746428570697e-03	4.500000e+00	4.477258e+00
1.564053571427828e-03	4.500000e+00	4.477677e+00
1.571360714284959e-03	4.500000e+00	4.478035e+00
1.578667857142091e-03	4.500000e+00	4.478333e+00
1.585974999999222e-03	4.500000e+00	4.478570e+00
1.586024999999222e-03	4.500000e+00	4.478571e+00
1.593332142856353e-03	4.500000e+00	4.478785e+00
1.600639285713484e-03	4.500000e+00	4.478978e+00
1.607946428570615e-03	4.500000e+00	4.479149e+00
1.615253571427746e-03	4.500000e+00	4.479298e+00
1.622560714284877e-03	4.500000e+00	4.479426e+00
1.629867857142009e-03	4.500000e+00	4.479532e+00
1.637174999999140e-03	4.500000e+00	4.479617e+00
1.637224999999140e-03	4.500000e+00	4.479617e+00
1.688424999999058e-03	4.500000e+00	4.479990e+00
1.739624999998975e-03	4.500000e+00	4.480123e+00
1.790824999998893e-03	4.500000e+00	4.480170e+00
1.842024999998811e-03	4.500000e+00	4.480187e+00
1.893224999998729e-03	4.500000e+00	4.480193e+00
1.944424999998647e-03	4.500000e+00	4.480196e+00
1.995624999998750e-03	4.500000e+00	4.480196e+00
2.046824999998890e-03	4.500000e+00	4.480196e+00
2.098024999999030e-03	4.500000e+00	4.480196e+00
2.149224999999170e-03	4.500000e+00	4.480196e+00
2.200424999999310e-03	4.500000e+00	4.480196e+00
2.251624999999450e-03	4.500000e+00	4.480196e+00
2.302824999999590e-03	4.500000e+00	4.480196e+00
2.354024999999730e-03	4.500000e+00	4.480196e+00
2.405224999999870e-03	4.500000e+00	4.480196e+00
2.456425000000010e-03	4.500000e+00	4.480196e+00
2.507625000000150e-03	4.500000e+00	4.480196e+00
2.558825000000290e-03	4.500000e+00	4.480196e+00
2.610025000000430e-03	4.500000e+00	4.480196e+00
2.661225000000570e-03	4.500000e+00	4.480196e+00
2.712425000000710e-03	4.500000e+00	4.480196e+00
2.763625000000850e-03	4.500000e+00	4.480196e+00
2.814825000000990e-03	4.500000e+00	4.480196e+00
2.866025000001130e-03	4.500000e+00	4.480196e+00
