time	V(vin)	V(vout)
0.000000000000000e+000	2.500000e+000	2.494916e+000
1.000000000000000e-003	2.500000e+000	2.494916e+000
1.000357142857143e-003	2.507143e+000	2.494918e+000
1.000714285714286e-003	2.514286e+000	2.494923e+000
1.001071428571429e-003	2.521428e+000	2.494931e+000
1.001428571428571e-003	2.528571e+000	2.494942e+000
1.001785714285714e-003	2.535714e+000	2.494956e+000
1.002142857142857e-003	2.542857e+000	2.494974e+000
1.002500000000000e-003	2.550000e+000	2.494994e+000
1.003500000000000e-003	2.570000e+000	2.495061e+000
1.004500000000000e-003	2.590000e+000	2.495142e+000
1.005500000000000e-003	2.610000e+000	2.495231e+000
1.007500000000000e-003	2.650000e+000	2.495425e+000
1.009499999999999e-003	2.690000e+000	2.495626e+000
1.011499999999999e-003	2.730000e+000	2.495830e+000
1.013499999999999e-003	2.770000e+000	2.496036e+000
1.016499999999999e-003	2.830000e+000	2.496345e+000
1.018642857142856e-003	2.872857e+000	2.496567e+000
1.020785714285713e-003	2.915714e+000	2.496788e+000
1.022928571428570e-003	2.958571e+000	2.497010e+000
1.025071428571427e-003	3.001429e+000	2.497232e+000
1.027214285714284e-003	3.044286e+000	2.497455e+000
1.029357142857141e-003	3.087143e+000	2.497678e+000
1.031499999999998e-003	3.130000e+000	2.497900e+000
1.037071428571426e-003	3.241429e+000	2.498481e+000
1.042642857142854e-003	3.352857e+000	2.499063e+000
1.048214285714282e-003	3.464286e+000	2.499647e+000
1.053785714285710e-003	3.575714e+000	2.500232e+000
1.059357142857138e-003	3.687143e+000	2.500819e+000
1.064928571428566e-003	3.798571e+000	2.501406e+000
1.070499999999994e-003	3.910000e+000	2.501996e+000
1.074757142857138e-003	3.996133e+000	2.502447e+000
1.079014285714282e-003	4.081650e+000	2.502899e+000
1.083271428571425e-003	4.166551e+000	2.503352e+000
1.087528571428569e-003	4.250837e+000	2.503805e+000
1.091785714285713e-003	4.334507e+000	2.504259e+000
1.096042857142856e-003	4.417561e+000	2.504714e+000
1.100300000000000e-003	4.500000e+000	2.505170e+000
1.122328571428570e-003	4.500000e+000	2.507531e+000
1.144357142857139e-003	4.500000e+000	2.509891e+000
1.166385714285709e-003	4.500000e+000	2.512252e+000
1.188414285714279e-003	4.500000e+000	2.514612e+000
1.210442857142848e-003	4.500000e+000	2.516972e+000
1.232471428571418e-003	4.500000e+000	2.519332e+000
1.254499999999987e-003	4.500000e+000	2.521691e+000
1.324785714285696e-003	4.500000e+000	2.529219e+000
1.395071428571404e-003	4.500000e+000	2.536745e+000
1.465357142857113e-003	4.500000e+000	2.544269e+000
1.535642857142821e-003	4.500000e+000	2.551790e+000
1.605928571428529e-003	4.500000e+000	2.559310e+000
1.676214285714238e-003	4.500000e+000	2.566828e+000
1.746499999999946e-003	4.500000e+000	2.574344e+000
2.024499999999938e-003	4.500000e+000	2.604052e+000
3.048500000000074e-003	4.500000e+000	2.713208e+000
4.072500000000210e-003	4.500000e+000	2.821935e+000
5.096500000000346e-003	4.500000e+000	2.930223e+000
6.120500000000482e-003	4.500000e+000	3.038065e+000
7.144500000000617e-003	4.500000e+000	3.145454e+000
8.168500000000445e-003	4.500000e+000	3.252381e+000
9.192499999999692e-003	4.500000e+000	3.358836e+000
1.021649999999894e-002	4.500000e+000	3.464809e+000
1.124049999999819e-002	4.500000e+000	3.570290e+000
1.226449999999744e-002	4.500000e+000	3.675267e+000
1.328849999999668e-002	4.500000e+000	3.779728e+000
1.431249999999593e-002	4.500000e+000	3.883660e+000
1.533649999999518e-002	4.500000e+000	3.987048e+000
1.636049999999570e-002	4.500000e+000	4.089876e+000
1.648992857142440e-002	4.500000e+000	4.102833e+000
1.661935714285310e-002	4.500000e+000	4.115779e+000
1.674878571428180e-002	4.500000e+000	4.128717e+000
1.687821428571051e-002	4.500000e+000	4.141645e+000
1.700764285713921e-002	4.500000e+000	4.154563e+000
1.713707142856791e-002	4.500000e+000	4.167472e+000
1.726649999999661e-002	4.500000e+000	4.180371e+000
1.738449999999673e-002	4.500000e+000	4.192122e+000
1.749449999999684e-002	4.500000e+000	4.203071e+000
1.760449999999695e-002	4.500000e+000	4.214010e+000
1.771449999999706e-002	4.500000e+000	4.224939e+000
1.782449999999717e-002	4.500000e+000	4.235859e+000
1.793449999999728e-002	4.500000e+000	4.246769e+000
1.804449999999739e-002	4.500000e+000	4.257669e+000
1.815449999999750e-002	4.500000e+000	4.268560e+000
1.840849999999775e-002	4.500000e+000	4.293635e+000
1.855464285714075e-002	4.500000e+000	4.308154e+000
1.870078571428376e-002	4.500000e+000	4.322478e+000
1.884692857142676e-002	4.500000e+000	4.336609e+000
1.899307142856976e-002	4.500000e+000	4.350547e+000
1.913921428571277e-002	4.500000e+000	4.364290e+000
1.928535714285577e-002	4.500000e+000	4.377840e+000
1.943149999999877e-002	4.500000e+000	4.391197e+000
1.943249999999877e-002	4.500000e+000	4.391285e+000
1.957864285714178e-002	4.500000e+000	4.404100e+000
1.972478571428478e-002	4.500000e+000	4.415867e+000
1.987092857142778e-002	4.500000e+000	4.426586e+000
2.001707142857079e-002	4.500000e+000	4.436259e+000
2.016321428571379e-002	4.500000e+000	4.444883e+000
2.030935714285679e-002	4.500000e+000	4.452460e+000
2.045549999999980e-002	4.500000e+000	4.458990e+000
2.045649999999980e-002	4.500000e+000	4.459030e+000
2.060264285714280e-002	4.500000e+000	4.464149e+000
2.074878571428580e-002	4.500000e+000	4.468648e+000
2.089492857142881e-002	4.500000e+000	4.472529e+000
2.104107142857181e-002	4.500000e+000	4.475791e+000
2.118721428571482e-002	4.500000e+000	4.478435e+000
2.133335714285782e-002	4.500000e+000	4.480459e+000
2.147950000000082e-002	4.500000e+000	4.481865e+000
2.148050000000082e-002	4.500000e+000	4.481875e+000
2.162664285714383e-002	4.500000e+000	4.483130e+000
2.177278571428683e-002	4.500000e+000	4.484226e+000
2.191892857142983e-002	4.500000e+000	4.485163e+000
2.206507142857284e-002	4.500000e+000	4.485943e+000
2.221121428571584e-002	4.500000e+000	4.486563e+000
2.235735714285884e-002	4.500000e+000	4.487026e+000
2.250350000000185e-002	4.500000e+000	4.487330e+000
2.250450000000185e-002	4.500000e+000	4.487332e+000
2.352850000000287e-002	4.500000e+000	4.488566e+000
2.455250000000389e-002	4.500000e+000	4.488842e+000
2.557650000000492e-002	4.500000e+000	4.488904e+000
2.660050000000594e-002	4.500000e+000	4.488918e+000
2.762450000000697e-002	4.500000e+000	4.488921e+000
2.864850000000799e-002	4.500000e+000	4.488922e+000
2.967250000000902e-002	4.500000e+000	4.488922e+000
3.000000000000000e-002	4.500000e+000	4.488922e+000
3.000035714285714e-002	4.492857e+000	4.488920e+000
3.000071428571428e-002	4.485714e+000	4.488915e+000
3.000107142857143e-002	4.478571e+000	4.488906e+000
3.000142857142857e-002	4.471428e+000	4.488894e+000
3.000178571428571e-002	4.464286e+000	4.488878e+000
3.000214285714286e-002	4.457143e+000	4.488858e+000
3.000250000000000e-002	4.450000e+000	4.488835e+000
3.000350000000000e-002	4.430000e+000	4.488756e+000
3.000450000000000e-002	4.410000e+000	4.488659e+000
3.000550000000000e-002	4.390000e+000	4.488550e+000
3.000750000000000e-002	4.350000e+000	4.488313e+000
3.000950000000001e-002	4.310000e+000	4.488062e+000
3.001150000000001e-002	4.270000e+000	4.487811e+000
3.001350000000001e-002	4.230000e+000	4.487559e+000
3.001550000000001e-002	4.190000e+000	4.487307e+000
3.001750000000001e-002	4.150000e+000	4.487054e+000
3.001950000000002e-002	4.110000e+000	4.486800e+000
3.002150000000002e-002	4.070000e+000	4.486546e+000
3.003275714285716e-002	3.843876e+000	4.485118e+000
3.004401428571430e-002	3.618365e+000	4.483690e+000
3.005527142857144e-002	3.393466e+000	4.482263e+000
3.006652857142858e-002	3.169181e+000	4.480836e+000
3.007778571428572e-002	2.945508e+000	4.479408e+000
3.008904285714286e-002	2.722447e+000	4.477981e+000
3.010030000000000e-002	2.500000e+000	4.476554e+000
3.018447142857151e-002	2.500000e+000	4.465887e+000
3.026864285714302e-002	2.500000e+000	4.455227e+000
3.035281428571453e-002	2.500000e+000	4.444572e+000
3.043698571428605e-002	2.500000e+000	4.433924e+000
3.052115714285756e-002	2.500000e+000	4.423283e+000
3.060532857142907e-002	2.500000e+000	4.412647e+000
3.068950000000058e-002	2.500000e+000	4.402018e+000
3.069050000000059e-002	2.500000e+000	4.401892e+000
3.171450000000161e-002	2.500000e+000	4.273070e+000
3.273850000000263e-002	2.500000e+000	4.145123e+000
3.376250000000366e-002	2.500000e+000	4.018014e+000
3.478650000000468e-002	2.500000e+000	3.891710e+000
3.581050000000571e-002	2.500000e+000	3.766182e+000
3.683450000000673e-002	2.500000e+000	3.641405e+000
3.785850000000775e-002	2.500000e+000	3.517361e+000
3.888250000000878e-002	2.500000e+000	3.394032e+000
3.990650000000980e-002	2.500000e+000	3.271406e+000
4.093050000001083e-002	2.500000e+000	3.149471e+000
4.195450000001185e-002	2.500000e+000	3.028221e+000
4.297850000001287e-002	2.500000e+000	2.907649e+000
4.312464285715588e-002	2.500000e+000	2.890496e+000
4.327078571429888e-002	2.500000e+000	2.873357e+000
4.341692857144189e-002	2.500000e+000	2.856233e+000
4.356307142858489e-002	2.500000e+000	2.839123e+000
4.370921428572789e-002	2.500000e+000	2.822028e+000
4.385535714287089e-002	2.500000e+000	2.804948e+000
4.400150000001390e-002	2.500000e+000	2.787881e+000
4.400250000001390e-002	2.500000e+000	2.787765e+000
4.502650000001492e-002	2.500000e+000	2.669038e+000
4.517264285715793e-002	2.500000e+000	2.651946e+000
4.531878571430093e-002	2.500000e+000	2.635519e+000
4.546492857144394e-002	2.500000e+000	2.619757e+000
4.561107142858693e-002	2.500000e+000	2.604660e+000
4.575721428572994e-002	2.500000e+000	2.590229e+000
4.590335714287294e-002	2.500000e+000	2.576463e+000
4.604950000001595e-002	2.500000e+000	2.563362e+000
4.605050000001595e-002	2.500000e+000	2.563280e+000
4.619664285715895e-002	2.500000e+000	2.552388e+000
4.634278571430196e-002	2.500000e+000	2.542709e+000
4.648892857144496e-002	2.500000e+000	2.534245e+000
