vout	I(Iout)
0.000000000000000e+000	2.857673e-006
1.000000000000000e-004	2.854785e-006
2.000000000000000e-004	2.851900e-006
3.000000000000000e-004	2.849016e-006
4.000000000000000e-004	2.846134e-006
5.000000000000000e-004	2.843254e-006
6.000000000000001e-004	2.840376e-006
7.000000000000001e-004	2.837499e-006
8.000000000000002e-004	2.834624e-006
9.000000000000002e-004	2.831751e-006
1.000000000000000e-003	2.828879e-006
1.100000000000000e-003	2.826010e-006
1.200000000000000e-003	2.823142e-006
1.300000000000000e-003	2.820276e-006
1.400000000000000e-003	2.817412e-006
1.500000000000001e-003	2.814549e-006
1.600000000000001e-003	2.811688e-006
1.700000000000001e-003	2.808829e-006
1.800000000000001e-003	2.805972e-006
1.900000000000001e-003	2.803116e-006
2.000000000000001e-003	2.800262e-006
2.100000000000000e-003	2.797410e-006
2.200000000000000e-003	2.794560e-006
2.300000000000000e-003	2.791711e-006
2.400000000000000e-003	2.788865e-006
2.500000000000000e-003	2.786020e-006
2.599999999999999e-003	2.783176e-006
2.699999999999999e-003	2.780335e-006
2.799999999999999e-003	2.777495e-006
2.899999999999999e-003	2.774657e-006
2.999999999999999e-003	2.771821e-006
3.099999999999999e-003	2.768986e-006
3.199999999999998e-003	2.766154e-006
3.299999999999998e-003	2.763323e-006
3.399999999999998e-003	2.760494e-006
3.499999999999998e-003	2.757666e-006
3.599999999999998e-003	2.754841e-006
3.699999999999998e-003	2.752017e-006
3.799999999999997e-003	2.749194e-006
3.899999999999997e-003	2.746374e-006
3.999999999999998e-003	2.743555e-006
4.099999999999998e-003	2.740738e-006
4.199999999999998e-003	2.737923e-006
4.299999999999998e-003	2.735110e-006
4.399999999999999e-003	2.732298e-006
4.499999999999999e-003	2.729488e-006
4.599999999999999e-003	2.726680e-006
4.699999999999999e-003	2.723874e-006
4.800000000000000e-003	2.721069e-006
4.900000000000000e-003	2.718266e-006
5.000000000000000e-003	2.715465e-006
5.100000000000000e-003	2.712666e-006
5.200000000000001e-003	2.709868e-006
5.300000000000001e-003	2.707072e-006
5.400000000000001e-003	2.704278e-006
5.500000000000001e-003	2.701486e-006
5.600000000000002e-003	2.698695e-006
5.700000000000002e-003	2.695906e-006
5.800000000000002e-003	2.693120e-006
5.900000000000003e-003	2.690334e-006
6.000000000000003e-003	2.687550e-006
6.100000000000003e-003	2.684769e-006
6.200000000000003e-003	2.681988e-006
6.300000000000004e-003	2.679210e-006
6.400000000000004e-003	2.676433e-006
6.500000000000004e-003	2.673659e-006
6.600000000000004e-003	2.670886e-006
6.700000000000005e-003	2.668114e-006
6.800000000000005e-003	2.665345e-006
6.900000000000005e-003	2.662577e-006
7.000000000000005e-003	2.659811e-006
7.100000000000006e-003	2.657046e-006
7.200000000000006e-003	2.654284e-006
7.300000000000006e-003	2.651523e-006
7.400000000000006e-003	2.648764e-006
7.500000000000007e-003	2.646007e-006
7.600000000000007e-003	2.643251e-006
7.700000000000007e-003	2.640497e-006
7.800000000000007e-003	2.637745e-006
7.900000000000008e-003	2.634995e-006
8.000000000000007e-003	2.632246e-006
8.100000000000007e-003	2.629499e-006
8.200000000000006e-003	2.626754e-006
8.300000000000005e-003	2.624011e-006
8.400000000000005e-003	2.621269e-006
8.500000000000004e-003	2.618529e-006
8.600000000000004e-003	2.615791e-006
