vout	I(Iout)
0.000000000000000e+000	5.624698e-008
1.000000000000000e-004	5.606826e-008
2.000000000000000e-004	5.589007e-008
3.000000000000000e-004	5.571240e-008
4.000000000000000e-004	5.553525e-008
5.000000000000000e-004	5.535863e-008
6.000000000000001e-004	5.518252e-008
7.000000000000001e-004	5.500694e-008
8.000000000000002e-004	5.483187e-008
9.000000000000002e-004	5.465732e-008
1.000000000000000e-003	5.448329e-008
1.100000000000000e-003	5.430978e-008
1.200000000000000e-003	5.413677e-008
1.300000000000000e-003	5.396428e-008
1.400000000000000e-003	5.379230e-008
1.500000000000001e-003	5.362083e-008
1.600000000000001e-003	5.344987e-008
1.700000000000001e-003	5.327942e-008
1.800000000000001e-003	5.310948e-008
1.900000000000001e-003	5.294004e-008
2.000000000000001e-003	5.277111e-008
2.100000000000000e-003	5.260267e-008
2.200000000000000e-003	5.243475e-008
2.300000000000000e-003	5.226732e-008
2.400000000000000e-003	5.210039e-008
2.500000000000000e-003	5.193396e-008
2.599999999999999e-003	5.176803e-008
2.699999999999999e-003	5.160259e-008
2.799999999999999e-003	5.143765e-008
2.899999999999999e-003	5.127320e-008
2.999999999999999e-003	5.110925e-008
3.099999999999999e-003	5.094579e-008
3.199999999999998e-003	5.078282e-008
3.299999999999998e-003	5.062033e-008
3.399999999999998e-003	5.045834e-008
3.499999999999998e-003	5.029683e-008
3.599999999999998e-003	5.013581e-008
3.699999999999998e-003	4.997527e-008
3.799999999999997e-003	4.981522e-008
3.899999999999997e-003	4.965565e-008
3.999999999999998e-003	4.949656e-008
4.099999999999998e-003	4.933795e-008
4.199999999999998e-003	4.917982e-008
4.299999999999998e-003	4.902217e-008
4.399999999999999e-003	4.886500e-008
4.499999999999999e-003	4.870830e-008
4.599999999999999e-003	4.855207e-008
4.699999999999999e-003	4.839632e-008
4.800000000000000e-003	4.824104e-008
4.900000000000000e-003	4.808623e-008
5.000000000000000e-003	4.793189e-008
5.100000000000000e-003	4.777802e-008
5.200000000000001e-003	4.762462e-008
5.300000000000001e-003	4.747168e-008
5.400000000000001e-003	4.731922e-008
5.500000000000001e-003	4.716721e-008
5.600000000000002e-003	4.701566e-008
5.700000000000002e-003	4.686459e-008
5.800000000000002e-003	4.671396e-008
5.900000000000003e-003	4.656381e-008
6.000000000000003e-003	4.641410e-008
6.100000000000003e-003	4.626486e-008
6.200000000000003e-003	4.611607e-008
6.300000000000004e-003	4.596774e-008
6.400000000000004e-003	4.581986e-008
6.500000000000004e-003	4.567243e-008
6.600000000000004e-003	4.552546e-008
6.700000000000005e-003	4.537894e-008
6.800000000000005e-003	4.523286e-008
6.900000000000005e-003	4.508724e-008
7.000000000000005e-003	4.494206e-008
7.100000000000006e-003	4.479733e-008
7.200000000000006e-003	4.465305e-008
7.300000000000006e-003	4.450920e-008
7.400000000000006e-003	4.436581e-008
7.500000000000007e-003	4.422285e-008
7.600000000000007e-003	4.408033e-008
7.700000000000007e-003	4.393826e-008
7.800000000000007e-003	4.379662e-008
7.900000000000008e-003	4.365542e-008
8.000000000000007e-003	4.351466e-008
8.100000000000007e-003	4.337433e-008
8.200000000000006e-003	4.323444e-008
