Freq.	V(vout)
1.00000000000000e+000	(-6.80440532078046e-004dB,-4.06600127129004e-006°)
1.02329299228075e+000	(-6.80440532045257e-004dB,-4.16071060751572e-006°)
1.04712854805090e+000	(-6.80440532012467e-004dB,-4.25762600757910e-006°)
1.07151930523761e+000	(-6.80440531983535e-004dB,-4.35679885730803e-006°)
1.09647819614318e+000	(-6.80440531946887e-004dB,-4.45828173946009e-006°)
1.12201845430196e+000	(-6.80440531913133e-004dB,-4.56212846160279e-006°)
1.14815362149688e+000	(-6.80440531875522e-004dB,-4.66839408464276e-006°)
1.17489755493953e+000	(-6.80440531834052e-004dB,-4.77713495201985e-006°)
1.20226443461741e+000	(-6.80440531793547e-004dB,-4.88840871958145e-006°)
1.23026877081238e+000	(-6.80440531752078e-004dB,-5.00227438615185e-006°)
1.25892541179417e+000	(-6.80440531702894e-004dB,-5.11879232481472e-006°)
1.28824955169313e+000	(-6.80440531656602e-004dB,-5.23802431492345e-006°)
1.31825673855641e+000	(-6.80440531605489e-004dB,-5.36003357485737e-006°)
1.34896288259165e+000	(-6.80440531557269e-004dB,-5.48488479554114e-006°)
1.38038426460288e+000	(-6.80440531500369e-004dB,-5.61264417474457e-006°)
1.41253754462275e+000	(-6.80440531444434e-004dB,-5.74337945218154e-006°)
1.44543977074593e+000	(-6.80440531383676e-004dB,-5.87715994542671e-006°)
1.47910838816821e+000	(-6.80440531322919e-004dB,-6.01405658666837e-006°)
1.51356124843621e+000	(-6.80440531255410e-004dB,-6.15414196031766e-006°)
1.54881661891248e+000	(-6.80440531186938e-004dB,-6.29749034149413e-006°)
1.58489319246111e+000	(-6.80440531114608e-004dB,-6.44417773540668e-006°)
1.62181009735893e+000	(-6.80440531042277e-004dB,-6.59428191765340e-006°)
1.65958690743756e+000	(-6.80440530963196e-004dB,-6.74788247545849e-006°)
1.69824365246174e+000	(-6.80440530880258e-004dB,-6.90506084987084e-006°)
1.73780082874937e+000	(-6.80440530793462e-004dB,-7.06590037894505e-006°)
1.77827941003892e+000	(-6.80440530701843e-004dB,-7.23048634192854e-006°)
1.81970085860998e+000	(-6.80440530606367e-004dB,-7.39890600447727e-006°)
1.86208713666287e+000	(-6.80440530507998e-004dB,-7.57124866492575e-006°)
1.90546071796325e+000	(-6.80440530404807e-004dB,-7.74760570163353e-006°)
