Freq.	V(vout)
1.00000000000000e+000	(6.01994501650931e+000dB,-1.55872859711479e-005°)
1.02329299228075e+000	(6.01994501650929e+000dB,-1.59503605029517e-005°)
1.04712854805090e+000	(6.01994501650927e+000dB,-1.63218921270222e-005°)
1.07151930523761e+000	(6.01994501650926e+000dB,-1.67020778343442e-005°)
1.09647819614318e+000	(6.01994501650924e+000dB,-1.70911192044121e-005°)
1.12201845430196e+000	(6.01994501650922e+000dB,-1.74892225121099e-005°)
1.14815362149688e+000	(6.01994501650920e+000dB,-1.78965988370808e-005°)
1.17489755493953e+000	(6.01994501650918e+000dB,-1.83134641756447e-005°)
1.20226443461741e+000	(6.01994501650916e+000dB,-1.87400395553218e-005°)
1.23026877081238e+000	(6.01994501650914e+000dB,-1.91765511520249e-005°)
1.25892541179417e+000	(6.01994501650911e+000dB,-1.96232304099805e-005°)
1.28824955169313e+000	(6.01994501650909e+000dB,-2.00803141644436e-005°)
1.31825673855641e+000	(6.01994501650906e+000dB,-2.05480447672711e-005°)
1.34896288259165e+000	(6.01994501650904e+000dB,-2.10266702154197e-005°)
1.38038426460288e+000	(6.01994501650901e+000dB,-2.15164442824373e-005°)
1.41253754462275e+000	(6.01994501650898e+000dB,-2.20176266530174e-005°)
1.44543977074593e+000	(6.01994501650895e+000dB,-2.25304830606866e-005°)
1.47910838816821e+000	(6.01994501650893e+000dB,-2.30552854287008e-005°)
1.51356124843621e+000	(6.01994501650889e+000dB,-2.35923120142220e-005°)
1.54881661891248e+000	(6.01994501650885e+000dB,-2.41418475558544e-005°)
1.58489319246111e+000	(6.01994501650882e+000dB,-2.47041834246160e-005°)
1.62181009735893e+000	(6.01994501650877e+000dB,-2.52796177784278e-005°)
1.65958690743756e+000	(6.01994501650874e+000dB,-2.58684557202011e-005°)
1.69824365246174e+000	(6.01994501650869e+000dB,-2.64710094596066e-005°)
1.73780082874937e+000	(6.01994501650866e+000dB,-2.70875984786129e-005°)
1.77827941003892e+000	(6.01994501650861e+000dB,-2.77185497008793e-005°)
1.81970085860998e+000	(6.01994501650856e+000dB,-2.83641976650955e-005°)
1.86208713666287e+000	(6.01994501650850e+000dB,-2.90248847023582e-005°)
1.90546071796325e+000	(6.01994501650845e+000dB,-2.97009611176799e-005°)
1.94984459975804e+000	(6.01994501650841e+000dB,-3.03927853757249e-005°)
1.99526231496888e+000	(6.01994501650834e+000dB,-3.11007242908721e-005°)
2.04173794466953e+000	(6.01994501650829e+000dB,-3.18251532217052e-005°)
2.08929613085404e+000	(6.01994501650821e+000dB,-3.25664562700320e-005°)
2.13796208950223e+000	(6.01994501650815e+000dB,-3.33250264845412e-005°)
2.18776162394955e+000	(6.01994501650808e+000dB,-3.41012660692013e-005°)
2.23872113856834e+000	(6.01994501650801e+000dB,-3.48955865965150e-005°)
2.29086765276777e+000	(6.01994501650794e+000dB,-3.57084092257398e-005°)
2.34422881531992e+000	(6.01994501650786e+000dB,-3.65401649261927e-005°)
2.39883291901949e+000	(6.01994501650778e+000dB,-3.73912947057558e-005°)
2.45470891568503e+000	(6.01994501650768e+000dB,-3.82622498447041e-005°)
2.51188643150958e+000	(6.01994501650760e+000dB,-3.91534921349808e-005°)
2.57039578276886e+000	(6.01994501650749e+000dB,-4.00654941250452e-005°)
2.63026799189538e+000	(6.01994501650740e+000dB,-4.09987393704242e-005°)
2.69153480392691e+000	(6.01994501650730e+000dB,-4.19537226900998e-005°)
2.75422870333816e+000	(6.01994501650718e+000dB,-4.29309504288688e-005°)
2.81838293126445e+000	(6.01994501650708e+000dB,-4.39309407258135e-005°)
2.88403150312660e+000	(6.01994501650695e+000dB,-4.49542237890257e-005°)
2.95120922666638e+000	(6.01994501650683e+000dB,-4.60013421767303e-005°)
3.01995172040201e+000	(6.01994501650669e+000dB,-4.70728510849568e-005°)
3.09029543251359e+000	(6.01994501650656e+000dB,-4.81693186419112e-005°)
3.16227766016837e+000	(6.01994501650642e+000dB,-4.92913262092060e-005°)
3.23593656929628e+000	(6.01994501650626e+000dB,-5.04394686901045e-005°)
3.31131121482591e+000	(6.01994501650611e+000dB,-5.16143548449478e-005°)
3.38844156139202e+000	(6.01994501650594e+000dB,-5.28166076139266e-005°)
3.46736850452531e+000	(6.01994501650575e+000dB,-5.40468644473727e-005°)
3.54813389233575e+000	(6.01994501650559e+000dB,-5.53057776437435e-005°)
3.63078054770101e+000	(6.01994501650538e+000dB,-5.65940146954795e-005°)
3.71535229097172e+000	(6.01994501650518e+000dB,-5.79122586429173e-005°)
3.80189396320560e+000	(6.01994501650498e+000dB,-5.92612084364469e-005°)
3.89045144994280e+000	(6.01994501650476e+000dB,-6.06415793071041e-005°)
3.98107170553496e+000	(6.01994501650453e+000dB,-6.20541031457962e-005°)
4.07380277804112e+000	(6.01994501650429e+000dB,-6.34995288913591e-005°)
4.16869383470335e+000	(6.01994501650404e+000dB,-6.49786229276558e-005°)
4.26579518801592e+000	(6.01994501650377e+000dB,-6.64921694899224e-005°)
4.36515832240165e+000	(6.01994501650350e+000dB,-6.80409710805804e-005°)
4.46683592150962e+000	(6.01994501650320e+000dB,-6.96258488947338e-005°)
4.57088189614874e+000	(6.01994501650291e+000dB,-7.12476432555782e-005°)
4.67735141287197e+000	(6.01994501650259e+000dB,-7.29072140599504e-005°)
4.78630092322637e+000	(6.01994501650227e+000dB,-7.46054412342583e-005°)
4.89778819368445e+000	(6.01994501650191e+000dB,-7.63432252010281e-005°)
5.01187233627271e+000	(6.01994501650155e+000dB,-7.81214873563213e-005°)
5.12861383991364e+000	(6.01994501650117e+000dB,-7.99411705582707e-005°)
5.24807460249771e+000	(6.01994501650077e+000dB,-8.18032396269965e-005°)
5.37031796370252e+000	(6.01994501650035e+000dB,-8.37086818561662e-005°)
5.49540873857623e+000	(6.01994501649992e+000dB,-8.56585075364711e-005°)
5.62341325190348e+000	(6.01994501649946e+000dB,-8.76537504912959e-005°)
5.75439937337156e+000	(6.01994501649897e+000dB,-8.96954686248655e-005°)
5.88843655355588e+000	(6.01994501649848e+000dB,-9.17847444831596e-005°)
6.02559586074356e+000	(6.01994501649796e+000dB,-9.39226858278931e-005°)
6.16595001861481e+000	(6.01994501649740e+000dB,-9.61104262238658e-005°)
6.30957344480192e+000	(6.01994501649683e+000dB,-9.83491256399939e-005°)
6.45654229034654e+000	(6.01994501649623e+000dB,-1.00639971064341e-004°)
6.60693448007594e+000	(6.01994501649559e+000dB,-1.02984177133473e-004°)
6.76082975391980e+000	(6.01994501649493e+000dB,-1.05382986776477e-004°)
6.91830970918935e+000	(6.01994501649424e+000dB,-1.07837671873979e-004°)
7.07945784384136e+000	(6.01994501649352e+000dB,-1.10349533932508e-004°)
7.24435960074988e+000	(6.01994501649276e+000dB,-1.12919904774576e-004°)
7.41310241300916e+000	(6.01994501649196e+000dB,-1.15550147244826e-004°)
7.58577575029182e+000	(6.01994501649112e+000dB,-1.18241655932632e-004°)
7.76247116628690e+000	(6.01994501649025e+000dB,-1.20995857911527e-004°)
7.94328234724279e+000	(6.01994501648934e+000dB,-1.23814213495855e-004°)
8.12830516164097e+000	(6.01994501648839e+000dB,-1.26698217015052e-004°)
8.31763771102669e+000	(6.01994501648738e+000dB,-1.29649397605959e-004°)
8.51138038202374e+000	(6.01994501648634e+000dB,-1.32669320023588e-004°)
8.70963589956078e+000	(6.01994501648525e+000dB,-1.35759585470779e-004°)
8.91250938133743e+000	(6.01994501648409e+000dB,-1.38921832447176e-004°)
9.12010839355907e+000	(6.01994501648289e+000dB,-1.42157737617983e-004°)
9.33254300796988e+000	(6.01994501648163e+000dB,-1.45469016702954e-004°)
9.54992586021433e+000	(6.01994501648031e+000dB,-1.48857425386090e-004°)
9.77237220955808e+000	(6.01994501647893e+000dB,-1.52324760246525e-004°)
9.99999999999997e+000	(6.01994501647748e+000dB,-1.55872859711098e-004°)
