time	V(v1)	V(vout)
0.000000000000000e+000	2.480000e+000	2.393398e+000
5.199999908748684e-012	2.483267e+000	2.393398e+000
5.359999905940951e-012	2.483368e+000	2.393398e+000
5.364999905853210e-012	2.483371e+000	2.393398e+000
5.374999905677727e-012	2.483377e+000	2.393398e+000
5.394999905326760e-012	2.483390e+000	2.393398e+000
5.434999904624827e-012	2.483415e+000	2.393398e+000
5.444999904449343e-012	2.483421e+000	2.393398e+000
5.464999904098377e-012	2.483434e+000	2.393398e+000
5.504999903396444e-012	2.483459e+000	2.393398e+000
5.584999901992577e-012	2.483509e+000	2.393399e+000
5.604999901641611e-012	2.483522e+000	2.393399e+000
5.644999900939677e-012	2.483547e+000	2.393399e+000
5.724999899535811e-012	2.483597e+000	2.393400e+000
5.729140524463150e-012	2.483600e+000	2.393400e+000
5.733281149390489e-012	2.483602e+000	2.393400e+000
5.737421774317828e-012	2.483605e+000	2.393400e+000
5.741562399245167e-012	2.483607e+000	2.393400e+000
5.745703024172506e-012	2.483610e+000	2.393400e+000
5.749843649099845e-012	2.483613e+000	2.393400e+000
5.753984274027184e-012	2.483615e+000	2.393400e+000
1.160505559992208e-011	2.487292e+000	2.393439e+000
1.745612692581698e-011	2.490968e+000	2.393477e+000
2.330719825171188e-011	2.494644e+000	2.393516e+000
2.915826957760678e-011	2.498320e+000	2.393555e+000
3.500934090350168e-011	2.501997e+000	2.393594e+000
4.086041222939658e-011	2.505673e+000	2.393633e+000
4.671148355529146e-011	2.509349e+000	2.393673e+000
8.767148283651186e-011	2.535079e+000	2.393955e+000
1.695914813989527e-010	2.586507e+000	2.394548e+000
3.334314785238343e-010	2.689118e+000	2.395788e+000
6.611114727735975e-010	2.892409e+000	2.398262e+000
1.316471461273124e-009	3.283783e+000	2.403035e+000
2.316471461273124e-009	3.810369e+000	2.410024e+000
3.316471461273124e-009	4.206729e+000	2.416788e+000
4.042652068800829e-009	4.390224e+000	2.421597e+000
4.383399543058493e-009	4.442594e+000	2.423826e+000
4.724171130147639e-009	4.472496e+000	2.426036e+000
5.148035625388427e-009	4.477838e+000	2.428769e+000
5.541015626151110e-009	4.451181e+000	2.431285e+000
6.179311474397780e-009	4.344299e+000	2.435334e+000
7.179311474397780e-009	4.029280e+000	2.441611e+000
8.179311474397781e-009	3.562606e+000	2.447795e+000
9.179311474397781e-009	2.989960e+000	2.453882e+000
9.304311474397781e-009	2.913642e+000	2.454632e+000
9.554311474397781e-009	2.759120e+000	2.456120e+000
9.616811474397781e-009	2.720183e+000	2.456492e+000
9.741811474397781e-009	2.642047e+000	2.457231e+000
9.991811474397781e-009	2.485145e+000	2.458703e+000
9.993520458772782e-009	2.484071e+000	2.458713e+000
9.994497021272782e-009	2.483458e+000	2.458719e+000
9.994741161897783e-009	2.483304e+000	2.458720e+000
9.994771679475908e-009	2.483285e+000	2.458721e+000
9.994802197054034e-009	2.483266e+000	2.458721e+000
9.995046337679034e-009	2.483113e+000	2.458721e+000
9.995290478304035e-009	2.482959e+000	2.458721e+000
9.995534618929035e-009	2.482806e+000	2.458721e+000
9.995595654085285e-009	2.482767e+000	2.458721e+000
1.000008255550479e-008	2.479948e+000	2.458716e+000
1.000456945692429e-008	2.477129e+000	2.458710e+000
1.000905635834380e-008	2.474310e+000	2.458705e+000
1.001354325976330e-008	2.471491e+000	2.458699e+000
1.001803016118280e-008	2.468671e+000	2.458693e+000
1.002251706260230e-008	2.465852e+000	2.458687e+000
1.002700396402181e-008	2.463033e+000	2.458680e+000
1.005825396402181e-008	2.443400e+000	2.458630e+000
1.012075396402181e-008	2.404146e+000	2.458516e+000
1.013637896402181e-008	2.394337e+000	2.458486e+000
1.043548610687895e-008	2.204723e+000	2.457887e+000
1.073459324973610e-008	2.020994e+000	2.457289e+000
1.103370039259324e-008	1.843151e+000	2.456691e+000
1.133280753545038e-008	1.671191e+000	2.456093e+000
1.163191467830752e-008	1.505117e+000	2.455495e+000
1.193102182116467e-008	1.344928e+000	2.454897e+000
1.223012896402181e-008	1.190623e+000	2.454298e+000
1.254262896402181e-008	1.046974e+000	2.453673e+000
1.269887896402181e-008	9.802437e-001	2.453361e+000
1.276137896402181e-008	9.545545e-001	2.453236e+000
1.288637896402181e-008	9.049499e-001	2.452986e+000
1.313637896402181e-008	8.130993e-001	2.452486e+000
1.363637896402181e-008	6.607320e-001	2.451486e+000
1.416435221592372e-008	5.485252e-001	2.450430e+000
1.447478550438045e-008	5.071636e-001	2.449809e+000
1.483487643490368e-008	4.826904e-001	2.449089e+000
1.523858010456386e-008	4.856152e-001	2.448281e+000
1.568834408872390e-008	5.265819e-001	2.447382e+000
1.641748041399673e-008	6.750496e-001	2.445924e+000
1.659868547899673e-008	7.279859e-001	2.445561e+000
1.677989054399673e-008	7.859292e-001	2.445199e+000
1.696109560899673e-008	8.488796e-001	2.444836e+000
1.714230067399673e-008	9.168369e-001	2.444474e+000
1.732350573899673e-008	9.898013e-001	2.444112e+000
1.750471080399673e-008	1.067773e+000	2.443749e+000
1.768591586899673e-008	1.150751e+000	2.443387e+000
1.795435132499673e-008	1.281347e+000	2.442850e+000
1.849122223699673e-008	1.567108e+000	2.441776e+000
1.961622223699673e-008	2.239449e+000	2.439526e+000
1.986622223699672e-008	2.395970e+000	2.439026e+000
1.987403473699672e-008	2.400874e+000	2.439011e+000
1.988965973699673e-008	2.410685e+000	2.438981e+000
1.992090973699672e-008	2.430311e+000	2.438927e+000
1.998340973699673e-008	2.469576e+000	2.438837e+000
1.999903473699673e-008	2.479393e+000	2.438820e+000
2.000294098699673e-008	2.480000e+000	2.438816e+000
2.001075348699673e-008	2.480000e+000	2.438809e+000
2.515137848699674e-008	2.480000e+000	2.434394e+000
3.029200348699674e-008	2.480000e+000	2.430288e+000
3.543262848699676e-008	2.480000e+000	2.426491e+000
4.057325348699677e-008	2.480000e+000	2.423003e+000
4.571387848699678e-008	2.480000e+000	2.419825e+000
5.085450348699679e-008	2.480000e+000	2.416956e+000
5.599512848699678e-008	2.480000e+000	2.414396e+000
6.185227134413962e-008	2.480000e+000	2.411817e+000
6.770941420128246e-008	2.480000e+000	2.409474e+000
7.356655705842530e-008	2.480000e+000	2.407369e+000
7.942369991556813e-008	2.480000e+000	2.405502e+000
8.528084277271097e-008	2.480000e+000	2.403871e+000
9.113798562985381e-008	2.480000e+000	2.402479e+000
9.699512848699663e-008	2.480000e+000	2.401323e+000
9.999512848699662e-008	2.480000e+000	2.400760e+000
1.000000000000000e-007	2.480000e+000	2.400759e+000
