Freq.	V(vout)
1.00000000000000e+000	(-6.80440532488882e-004dB,-1.08133929785019e-005°)
1.02329299228075e+000	(-6.80440532479238e-004dB,-1.10652692576788e-005°)
1.04712854805090e+000	(-6.80440532464772e-004dB,-1.13230124890823e-005°)
1.07151930523761e+000	(-6.80440532454163e-004dB,-1.15867593315853e-005°)
1.09647819614318e+000	(-6.80440532442591e-004dB,-1.18566496272547e-005°)
1.12201845430196e+000	(-6.80440532431982e-004dB,-1.21328264754979e-005°)
1.14815362149688e+000	(-6.80440532417516e-004dB,-1.24154363089352e-005°)
1.17489755493953e+000	(-6.80440532404015e-004dB,-1.27046289710413e-005°)
1.20226443461741e+000	(-6.80440532389549e-004dB,-1.30005577955935e-005°)
1.23026877081238e+000	(-6.80440532372189e-004dB,-1.33033796879716e-005°)
1.25892541179417e+000	(-6.80440532357723e-004dB,-1.36132552083513e-005°)
1.28824955169313e+000	(-6.80440532341328e-004dB,-1.39303486568352e-005°)
1.31825673855641e+000	(-6.80440532325898e-004dB,-1.42548281605669e-005°)
1.34896288259165e+000	(-6.80440532305645e-004dB,-1.45868657628742e-005°)
1.38038426460288e+000	(-6.80440532282500e-004dB,-1.49266375144890e-005°)
1.41253754462275e+000	(-6.80440532262247e-004dB,-1.52743235668914e-005°)
1.44543977074593e+000	(-6.80440532245852e-004dB,-1.56301082678286e-005°)
1.47910838816821e+000	(-6.80440532223671e-004dB,-1.59941802590581e-005°)
1.51356124843621e+000	(-6.80440532197632e-004dB,-1.63667325763691e-005°)
1.54881661891248e+000	(-6.80440532173522e-004dB,-1.67479627519313e-005°)
1.58489319246111e+000	(-6.80440532151341e-004dB,-1.71380729190301e-005°)
1.62181009735893e+000	(-6.80440532124338e-004dB,-1.75372699192398e-005°)
1.65958690743756e+000	(-6.80440532094441e-004dB,-1.79457654120937e-005°)
1.69824365246174e+000	(-6.80440532067438e-004dB,-1.83637759873094e-005°)
1.73780082874937e+000	(-6.80440532037541e-004dB,-1.87915232796270e-005°)
1.77827941003892e+000	(-6.80440532004752e-004dB,-1.92292340863224e-005°)
1.81970085860998e+000	(-6.80440531972926e-004dB,-1.96771404874596e-005°)
1.86208713666287e+000	(-6.80440531937243e-004dB,-2.01354799689407e-005°)
1.90546071796325e+000	(-6.80440531898667e-004dB,-2.06044955484259e-005°)
1.94984459975804e+000	(-6.80440531860091e-004dB,-2.10844359041836e-005°)
1.99526231496888e+000	(-6.80440531819586e-004dB,-2.15755555069431e-005°)
2.04173794466953e+000	(-6.80440531777153e-004dB,-2.20781147548186e-005°)
2.08929613085404e+000	(-6.80440531735683e-004dB,-2.25923801113755e-005°)
2.13796208950223e+000	(-6.80440531689392e-004dB,-2.31186242469129e-005°)
2.18776162394955e+000	(-6.80440531641172e-004dB,-2.36571261830370e-005°)
2.23872113856834e+000	(-6.80440531591023e-004dB,-2.42081714406024e-005°)
2.29086765276777e+000	(-6.80440531540874e-004dB,-2.47720521910987e-005°)
2.34422881531992e+000	(-6.80440531483974e-004dB,-2.53490674115633e-005°)
2.39883291901949e+000	(-6.80440531426110e-004dB,-2.59395230431040e-005°)
2.45470891568503e+000	(-6.80440531366317e-004dB,-2.65437321531123e-005°)
2.51188643150958e+000	(-6.80440531301702e-004dB,-2.71620151012558e-005°)
2.57039578276886e+000	(-6.80440531235158e-004dB,-2.77946997093377e-005°)
2.63026799189538e+000	(-6.80440531163792e-004dB,-2.84421214351117e-005°)
2.69153480392691e+000	(-6.80440531093391e-004dB,-2.91046235501465e-005°)
2.75422870333816e+000	(-6.80440531017203e-004dB,-2.97825573218327e-005°)
2.81838293126445e+000	(-6.80440530937157e-004dB,-3.04762821996294e-005°)
2.88403150312660e+000	(-6.80440530851326e-004dB,-3.11861660056495e-005°)
2.95120922666638e+000	(-6.80440530765494e-004dB,-3.19125851296834e-005°)
3.01995172040201e+000	(-6.80440530672911e-004dB,-3.26559247287657e-005°)
3.09029543251359e+000	(-6.80440530575506e-004dB,-3.34165789313913e-005°)
3.16227766016837e+000	(-6.80440530474244e-004dB,-3.41949510464869e-005°)
3.23593656929628e+000	(-6.80440530372017e-004dB,-3.49914537772507e-005°)
3.31131121482591e+000	(-6.80440530263040e-004dB,-3.58065094399738e-005°)
3.38844156139202e+000	(-6.80440530143454e-004dB,-3.66405501879565e-005°)
3.46736850452531e+000	(-6.80440530023868e-004dB,-3.74940182406438e-005°)
3.54813389233575e+000	(-6.80440529899460e-004dB,-3.83673661180942e-005°)
3.63078054770101e+000	(-6.80440529765408e-004dB,-3.92610568809118e-005°)
3.71535229097172e+000	(-6.80440529625569e-004dB,-4.01755643757690e-005°)
3.80189396320560e+000	(-6.80440529481873e-004dB,-4.11113734866443e-005°)
3.89045144994280e+000	(-6.80440529328533e-004dB,-4.20689803919151e-005°)
3.98107170553496e+000	(-6.80440529168442e-004dB,-4.30488928274380e-005°)
4.07380277804112e+000	(-6.80440529002565e-004dB,-4.40516303557571e-005°)
4.16869383470335e+000	(-6.80440528827044e-004dB,-4.50777246415825e-005°)
4.26579518801592e+000	(-6.80440528642843e-004dB,-4.61277197336865e-005°)
4.36515832240165e+000	(-6.80440528452855e-004dB,-4.72021723533654e-005°)
4.46683592150962e+000	(-6.80440528250331e-004dB,-4.83016521896199e-005°)
4.57088189614874e+000	(-6.80440528041055e-004dB,-4.94267422012127e-005°)
4.67735141287197e+000	(-6.80440527824065e-004dB,-5.05780389257602e-005°)
4.78630092322637e+000	(-6.80440527590679e-004dB,-5.17561527960246e-005°)
4.89778819368445e+000	(-6.80440527347650e-004dB,-5.29617084635745e-005°)
5.01187233627271e+000	(-6.80440527095940e-004dB,-5.41953451299820e-005°)
5.12861383991364e+000	(-6.80440526831694e-004dB,-5.54577168857363e-005°)
5.24807460249771e+000	(-6.80440526554910e-004dB,-5.67494930570526e-005°)
5.37031796370252e+000	(-6.80440526263661e-004dB,-5.80713585607547e-005°)
5.49540873857623e+000	(-6.80440525959874e-004dB,-5.94240142674297e-005°)
