time	V(v1)	V(vout)
0.000000000000000e+000	2.500000e+000	2.499919e+000
1.000000003627494e-015	2.500000e+000	2.499919e+000
2.000000007254988e-015	2.500000e+000	2.499919e+000
1.330120000679295e-010	2.502965e+000	2.499919e+000
2.660220001358518e-010	2.505931e+000	2.499920e+000
3.990320002037741e-010	2.508896e+000	2.499921e+000
5.320420002716963e-010	2.511861e+000	2.499921e+000
6.650520003396186e-010	2.514826e+000	2.499922e+000
7.980620004075409e-010	2.517791e+000	2.499923e+000
9.310720004754628e-010	2.520756e+000	2.499924e+000
1.031072000475463e-009	2.522984e+000	2.499925e+000
1.131072000475463e-009	2.525213e+000	2.499926e+000
1.231072000475463e-009	2.527442e+000	2.499927e+000
1.331072000475463e-009	2.529670e+000	2.499928e+000
1.431072000475463e-009	2.531898e+000	2.499929e+000
1.531072000475463e-009	2.534127e+000	2.499930e+000
1.731072000475463e-009	2.538582e+000	2.499933e+000
1.931072000475463e-009	2.543037e+000	2.499937e+000
2.131072000475463e-009	2.547491e+000	2.499942e+000
2.331072000475464e-009	2.551944e+000	2.499947e+000
2.531072000475464e-009	2.556397e+000	2.499953e+000
2.731072000475464e-009	2.560848e+000	2.499960e+000
3.031072000475464e-009	2.567522e+000	2.499973e+000
3.331072000475464e-009	2.574193e+000	2.499989e+000
3.631072000475464e-009	2.580861e+000	2.500007e+000
3.931072000475465e-009	2.587526e+000	2.500029e+000
4.402500571904037e-009	2.597993e+000	2.500068e+000
4.873929143332608e-009	2.608446e+000	2.500120e+000
5.345357714761180e-009	2.618886e+000	2.500185e+000
5.816786286189752e-009	2.629313e+000	2.500263e+000
6.288214857618324e-009	2.639725e+000	2.500353e+000
6.759643429046896e-009	2.650124e+000	2.500456e+000
7.231072000475467e-009	2.660509e+000	2.500572e+000
7.545357714761179e-009	2.667422e+000	2.500659e+000
7.859643429046892e-009	2.674325e+000	2.500755e+000
8.173929143332604e-009	2.681219e+000	2.500859e+000
8.488214857618316e-009	2.688105e+000	2.500970e+000
8.802500571904029e-009	2.694981e+000	2.501090e+000
9.116786286189741e-009	2.701848e+000	2.501218e+000
9.431072000475452e-009	2.708707e+000	2.501354e+000
9.631072000475450e-009	2.713065e+000	2.501446e+000
