Freq.	V(vout)
1.00000000000000e+000	(-7.75458076125772e-002dB,-1.24263326499076e-004°)
1.02329299228075e+000	(-7.75458076135696e-002dB,-1.27157791203990e-004°)
1.04712854805090e+000	(-7.75458076146088e-002dB,-1.30119676652932e-004°)
1.07151930523761e+000	(-7.75458076156946e-002dB,-1.33150553276771e-004°)
1.09647819614318e+000	(-7.75458076168330e-002dB,-1.36252028086413e-004°)
1.12201845430196e+000	(-7.75458076180239e-002dB,-1.39425745524854e-004°)
1.14815362149688e+000	(-7.75458076192722e-002dB,-1.42673388339089e-004°)
1.17489755493953e+000	(-7.75458076205789e-002dB,-1.45996678472325e-004°)
1.20226443461741e+000	(-7.75458076219479e-002dB,-1.49397377976981e-004°)
1.23026877081238e+000	(-7.75458076233811e-002dB,-1.52877289948947e-004°)
1.25892541179417e+000	(-7.75458076248834e-002dB,-1.56438259483612e-004°)
1.28824955169313e+000	(-7.75458076264557e-002dB,-1.60082174654158e-004°)
1.31825673855641e+000	(-7.75458076281000e-002dB,-1.63810967512643e-004°)
1.34896288259165e+000	(-7.75458076298242e-002dB,-1.67626615114395e-004°)
1.38038426460288e+000	(-7.75458076316290e-002dB,-1.71531140566280e-004°)
1.41253754462275e+000	(-7.75458076335185e-002dB,-1.75526614099373e-004°)
1.44543977074593e+000	(-7.75458076354995e-002dB,-1.79615154166629e-004°)
1.47910838816821e+000	(-7.75458076375681e-002dB,-1.83798928566109e-004°)
1.51356124843621e+000	(-7.75458076397398e-002dB,-1.88080155590378e-004°)
1.54881661891248e+000	(-7.75458076420116e-002dB,-1.92461105202673e-004°)
1.58489319246111e+000	(-7.75458076443896e-002dB,-1.96944100240468e-004°)
1.62181009735893e+000	(-7.75458076468804e-002dB,-2.01531517647070e-004°)
1.65958690743756e+000	(-7.75458076494890e-002dB,-2.06225789731910e-004°)
1.69824365246174e+000	(-7.75458076522211e-002dB,-2.11029405460182e-004°)
1.73780082874937e+000	(-7.75458076550777e-002dB,-2.15944911772530e-004°)
1.77827941003892e+000	(-7.75458076580745e-002dB,-2.20974914935464e-004°)
1.81970085860998e+000	(-7.75458076612114e-002dB,-2.26122081923240e-004°)
1.86208713666287e+000	(-7.75458076644952e-002dB,-2.31389141831927e-004°)
