Freq.	V(vout)
1.00000000000000e+000	(-7.75458076067948e-002dB,-1.09470712629349e-004°)
1.02329299228075e+000	(-7.75458076075314e-002dB,-1.12020613093587e-004°)
1.04712854805090e+000	(-7.75458076083029e-002dB,-1.14629908369654e-004°)
1.07151930523761e+000	(-7.75458076091076e-002dB,-1.17299981940445e-004°)
1.09647819614318e+000	(-7.75458076099521e-002dB,-1.20032249514309e-004°)
1.12201845430196e+000	(-7.75458076108356e-002dB,-1.22828159775679e-004°)
1.14815362149688e+000	(-7.75458076117609e-002dB,-1.25689195153184e-004°)
1.17489755493953e+000	(-7.75458076127290e-002dB,-1.28616872605652e-004°)
1.20226443461741e+000	(-7.75458076137467e-002dB,-1.31612744426420e-004°)
1.23026877081238e+000	(-7.75458076148102e-002dB,-1.34678399066382e-004°)
1.25892541179417e+000	(-7.75458076159242e-002dB,-1.37815461976208e-004°)
1.28824955169313e+000	(-7.75458076170869e-002dB,-1.41025596468176e-004°)
1.31825673855641e+000	(-7.75458076183100e-002dB,-1.44310504598085e-004°)
1.34896288259165e+000	(-7.75458076195875e-002dB,-1.47671928067705e-004°)
1.38038426460288e+000	(-7.75458076209234e-002dB,-1.51111649148255e-004°)
1.41253754462275e+000	(-7.75458076223264e-002dB,-1.54631491625381e-004°)
1.44543977074593e+000	(-7.75458076237927e-002dB,-1.58233321766155e-004°)
1.47910838816821e+000	(-7.75458076253309e-002dB,-1.61919049308593e-004°)
1.51356124843621e+000	(-7.75458076269393e-002dB,-1.65690628474225e-004°)
1.54881661891248e+000	(-7.75458076286225e-002dB,-1.69550059004246e-004°)
1.58489319246111e+000	(-7.75458076303904e-002dB,-1.73499387219810e-004°)
1.62181009735893e+000	(-7.75458076322362e-002dB,-1.77540707107012e-004°)
1.65958690743756e+000	(-7.75458076341675e-002dB,-1.81676161427148e-004°)
1.69824365246174e+000	(-7.75458076361952e-002dB,-1.85907942852839e-004°)
1.73780082874937e+000	(-7.75458076383134e-002dB,-1.90238295130611e-004°)
1.77827941003892e+000	(-7.75458076405356e-002dB,-1.94669514270559e-004°)
1.81970085860998e+000	(-7.75458076428640e-002dB,-1.99203949763726e-004°)
1.86208713666287e+000	(-7.75458076452954e-002dB,-2.03844005827830e-004°)
1.90546071796325e+000	(-7.75458076478475e-002dB,-2.08592142682015e-004°)
1.94984459975804e+000	(-7.75458076505184e-002dB,-2.13450877851290e-004°)
1.99526231496888e+000	(-7.75458076533137e-002dB,-2.18422787501354e-004°)
2.04173794466953e+000	(-7.75458076562424e-002dB,-2.23510507804514e-004°)
2.08929613085404e+000	(-7.75458076593073e-002dB,-2.28716736337419e-004°)
2.13796208950223e+000	(-7.75458076625161e-002dB,-2.34044233511348e-004°)
2.18776162394955e+000	(-7.75458076658797e-002dB,-2.39495824035822e-004°)
2.23872113856834e+000	(-7.75458076693990e-002dB,-2.45074398416295e-004°)
2.29086765276777e+000	(-7.75458076730836e-002dB,-2.50782914486746e-004°)
2.34422881531992e+000	(-7.75458076769434e-002dB,-2.56624398977955e-004°)
2.39883291901949e+000	(-7.75458076809851e-002dB,-2.62601949122321e-004°)
2.45470891568503e+000	(-7.75458076852195e-002dB,-2.68718734296052e-004°)
2.51188643150958e+000	(-7.75458076896495e-002dB,-2.74977997699611e-004°)
2.57039578276886e+000	(-7.75458076942877e-002dB,-2.81383058077306e-004°)
2.63026799189538e+000	(-7.75458076991496e-002dB,-2.87937311476929e-004°)
2.69153480392691e+000	(-7.75458077042354e-002dB,-2.94644233050388e-004°)
2.75422870333816e+000	(-7.75458077095643e-002dB,-3.01507378896277e-004°)
2.81838293126445e+000	(-7.75458077151434e-002dB,-3.08530387945368e-004°)
2.88403150312660e+000	(-7.75458077209832e-002dB,-3.15716983890017e-004°)
2.95120922666638e+000	(-7.75458077271022e-002dB,-3.23070977158519e-004°)
3.01995172040201e+000	(-7.75458077335063e-002dB,-3.30596266935447e-004°)
3.09029543251359e+000	(-7.75458077402141e-002dB,-3.38296843229048e-004°)
3.16227766016837e+000	(-7.75458077472360e-002dB,-3.46176788986801e-004°)
3.23593656929628e+000	(-7.75458077545917e-002dB,-3.54240282260248e-004°)
3.31131121482591e+000	(-7.75458077622909e-002dB,-3.62491598420256e-004°)
3.38844156139202e+000	(-7.75458077703539e-002dB,-3.70935112423869e-004°)
3.46736850452531e+000	(-7.75458077787993e-002dB,-3.79575301133975e-004°)
3.54813389233575e+000	(-7.75458077876398e-002dB,-3.88416745692992e-004°)
3.63078054770101e+000	(-7.75458077968996e-002dB,-3.97464133951854e-004°)
3.71535229097172e+000	(-7.75458078065953e-002dB,-4.06722262955571e-004°)
3.80189396320560e+000	(-7.75458078167454e-002dB,-4.16196041486685e-004°)
3.89045144994280e+000	(-7.75458078273761e-002dB,-4.25890492667970e-004°)
3.98107170553496e+000	(-7.75458078385060e-002dB,-4.35810756625761e-004°)
4.07380277804112e+000	(-7.75458078501642e-002dB,-4.45962093215319e-004°)
4.16869383470335e+000	(-7.75458078623682e-002dB,-4.56349884809669e-004°)
4.26579518801592e+000	(-7.75458078751502e-002dB,-4.66979639153409e-004°)
4.36515832240165e+000	(-7.75458078885305e-002dB,-4.77856992282992e-004°)
4.46683592150962e+000	(-7.75458079025433e-002dB,-4.88987711515022e-004°)
4.57088189614874e+000	(-7.75458079172167e-002dB,-5.00377698504166e-004°)
4.67735141287197e+000	(-7.75458079325810e-002dB,-5.12032992372287e-004°)
4.78630092322637e+000	(-7.75458079486711e-002dB,-5.23959772910464e-004°)
4.89778819368445e+000	(-7.75458079655182e-002dB,-5.36164363855605e-004°)
5.01187233627271e+000	(-7.75458079831611e-002dB,-5.48653236243372e-004°)
5.12861383991364e+000	(-7.75458080016321e-002dB,-5.61433011839210e-004°)
5.24807460249771e+000	(-7.75458080209787e-002dB,-5.74510466649295e-004°)
5.37031796370252e+000	(-7.75458080412332e-002dB,-5.87892534513263e-004°)
5.49540873857623e+000	(-7.75458080624460e-002dB,-6.01586310780623e-004°)
5.62341325190348e+000	(-7.75458080846551e-002dB,-6.15599056072802e-004°)
5.75439937337156e+000	(-7.75458081079092e-002dB,-6.29938200132829e-004°)
5.88843655355588e+000	(-7.75458081322618e-002dB,-6.44611345764680e-004°)
6.02559586074356e+000	(-7.75458081577615e-002dB,-6.59626272864383e-004°)
6.16595001861481e+000	(-7.75458081844649e-002dB,-6.74990942545024e-004°)
6.30957344480192e+000	(-7.75458082124262e-002dB,-6.90713501357833e-004°)
6.45654229034654e+000	(-7.75458082417030e-002dB,-7.06802285611598e-004°)
6.60693448007594e+000	(-7.75458082723595e-002dB,-7.23265825792681e-004°)
6.76082975391980e+000	(-7.75458083044638e-002dB,-7.40112851087994e-004°)
6.91830970918935e+000	(-7.75458083380772e-002dB,-7.57352294013336e-004°)
7.07945784384136e+000	(-7.75458083732785e-002dB,-7.74993295149523e-004°)
7.24435960074988e+000	(-7.75458084101338e-002dB,-7.93045207988851e-004°)
7.41310241300916e+000	(-7.75458084487288e-002dB,-8.11517603894440e-004°)
7.58577575029182e+000	(-7.75458084891462e-002dB,-8.30420277175093e-004°)
7.76247116628690e+000	(-7.75458085314648e-002dB,-8.49763250278377e-004°)
7.94328234724279e+000	(-7.75458085757770e-002dB,-8.69556779104645e-004°)
8.12830516164097e+000	(-7.75458086221802e-002dB,-8.89811358444864e-004°)
8.31763771102669e+000	(-7.75458086707706e-002dB,-9.10537727545080e-004°)
8.51138038202374e+000	(-7.75458087216465e-002dB,-9.31746875800513e-004°)
8.70963589956078e+000	(-7.75458087749256e-002dB,-9.53450048582283e-004°)
8.91250938133743e+000	(-7.75458088307131e-002dB,-9.75658753199851e-004°)
9.12010839355907e+000	(-7.75458088891286e-002dB,-9.98384765002346e-004°)
9.33254300796988e+000	(-7.75458089502986e-002dB,-1.02164013362201e-003°)
9.54992586021433e+000	(-7.75458090143525e-002dB,-1.04543718936308e-003°)
9.77237220955808e+000	(-7.75458090814236e-002dB,-1.06978854973946e-003°)
9.99999999999997e+000	(-7.75458091516588e-002dB,-1.09470712616473e-003°)
1.02329299228075e+001	(-7.75458092251992e-002dB,-1.12020613079790e-003°)
1.04712854805090e+001	(-7.75458093022092e-002dB,-1.14629908354871e-003°)
1.07151930523760e+001	(-7.75458093828455e-002dB,-1.17299981924604e-003°)
1.09647819614318e+001	(-7.75458094672812e-002dB,-1.20032249497335e-003°)
1.12201845430196e+001	(-7.75458095557004e-002dB,-1.22828159757491e-003°)
1.14815362149688e+001	(-7.75458096482848e-002dB,-1.25689195133695e-003°)
1.17489755493953e+001	(-7.75458097452340e-002dB,-1.28616872584769e-003°)
1.20226443461741e+001	(-7.75458098467504e-002dB,-1.31612744404044e-003°)
1.23026877081238e+001	(-7.75458099530499e-002dB,-1.34678399042406e-003°)
1.25892541179416e+001	(-7.75458100643583e-002dB,-1.37815461950517e-003°)
1.28824955169313e+001	(-7.75458101809178e-002dB,-1.41025596440648e-003°)
1.31825673855640e+001	(-7.75458103029668e-002dB,-1.44310504568588e-003°)
1.34896288259165e+001	(-7.75458104307711e-002dB,-1.47671928036099e-003°)
1.38038426460288e+001	(-7.75458105645970e-002dB,-1.51111649114388e-003°)
1.41253754462275e+001	(-7.75458107047298e-002dB,-1.54631491589092e-003°)
1.44543977074592e+001	(-7.75458108514651e-002dB,-1.58233321727270e-003°)
1.47910838816820e+001	(-7.75458110051164e-002dB,-1.61919049266927e-003°)
1.51356124843620e+001	(-7.75458111660096e-002dB,-1.65690628429579e-003°)
1.54881661891248e+001	(-7.75458113344871e-002dB,-1.69550058956408e-003°)
1.58489319246111e+001	(-7.75458115109021e-002dB,-1.73499387168550e-003°)
1.62181009735892e+001	(-7.75458116956312e-002dB,-1.77540707052086e-003°)
1.65958690743755e+001	(-7.75458118890674e-002dB,-1.81676161368294e-003°)
1.69824365246174e+001	(-7.75458120916214e-002dB,-1.85907942789776e-003°)
1.73780082874937e+001	(-7.75458123037193e-002dB,-1.90238295063037e-003°)
1.77827941003892e+001	(-7.75458125258175e-002dB,-1.94669514198153e-003°)
1.81970085860998e+001	(-7.75458127583771e-002dB,-1.99203949686141e-003°)
1.86208713666286e+001	(-7.75458130019002e-002dB,-2.03844005744697e-003°)
