Freq.	V,vout
1.00000000000000e+000	,-6.80440533004838e-004,-1.45619439269494e-005
1.02329299228075e+000	,-6.80440533020268e-004,-1.49011351744323e-005
1.04712854805090e+000	,-6.80440533035699e-004,-1.52482272010245e-005
1.07151930523761e+000	,-6.80440533051129e-004,-1.56034040395128e-005
1.09647819614318e+000	,-6.80440533066559e-004,-1.59668540093583e-005
1.12201845430196e+000	,-6.80440533085847e-004,-1.63387698165458e-005
1.14815362149688e+000	,-6.80440533099349e-004,-1.67193486557592e-005
1.17489755493953e+000	,-6.80440533116708e-004,-1.71087923149365e-005
1.20226443461741e+000	,-6.80440533137925e-004,-1.75073072822609e-005
1.23026877081238e+000	,-6.80440533160106e-004,-1.79151048556429e-005
1.25892541179417e+000	,-6.80440533181323e-004,-1.83324012547536e-005
1.28824955169313e+000	,-6.80440533200611e-004,-1.87594177356677e-005
1.31825673855641e+000	,-6.80440533225686e-004,-1.91963807081754e-005
1.34896288259165e+000	,-6.80440533248832e-004,-1.96435218558286e-005
1.38038426460288e+000	,-6.80440533274870e-004,-2.01010782587825e-005
1.41253754462275e+000	,-6.80440533302838e-004,-2.05692925194983e-005
1.44543977074593e+000	,-6.80440533329841e-004,-2.10484128913747e-005
1.47910838816821e+000	,-6.80440533356845e-004,-2.15386934103747e-005
1.51356124843621e+000	,-6.80440533390599e-004,-2.20403940297191e-005
1.54881661891248e+000	,-6.80440533420495e-004,-2.25537807577170e-005
1.58489319246111e+000	,-6.80440533453285e-004,-2.30791257988072e-005
1.62181009735893e+000	,-6.80440533491861e-004,-2.36167076978842e-005
1.65958690743756e+000	,-6.80440533527544e-004,-2.41668114879865e-005
1.69824365246174e+000	,-6.80440533564191e-004,-2.47297288414252e-005
1.73780082874937e+000	,-6.80440533602767e-004,-2.53057582244320e-005
1.77827941003892e+000	,-6.80440533644237e-004,-2.58952050554107e-005
1.81970085860998e+000	,-6.80440533690528e-004,-2.64983818668733e-005
1.86208713666287e+000	,-6.80440533736819e-004,-2.71156084711490e-005
1.90546071796325e+000	,-6.80440533785040e-004,-2.77472121299533e-005
1.94984459975804e+000	,-6.80440533837117e-004,-2.83935277279067e-005
1.99526231496888e+000	,-6.80440533888231e-004,-2.90548979500939e-005
2.04173794466953e+000	,-6.80440533943202e-004,-2.97316734637611e-005
2.08929613085404e+000	,-6.80440534003959e-004,-3.04242131042438e-005
2.13796208950223e+000	,-6.80440534061823e-004,-3.11328840652261e-005
2.18776162394955e+000	,-6.80440534127403e-004,-3.18580620934319e-005
2.23872113856834e+000	,-6.80440534193946e-004,-3.26001316878508e-005
2.29086765276777e+000	,-6.80440534263383e-004,-3.33594863036040e-005
2.34422881531992e+000	,-6.80440534335714e-004,-3.41365285605601e-005
2.39883291901949e+000	,-6.80440534409008e-004,-3.49316704568088e-005
2.45470891568503e+000	,-6.80440534494840e-004,-3.57453335871089e-005
2.51188643150958e+000	,-6.80440534578743e-004,-3.65779493664219e-005
2.57039578276886e+000	,-6.80440534667468e-004,-3.74299592586549e-005
2.63026799189538e+000	,-6.80440534756193e-004,-3.83018150107304e-005
2.69153480392691e+000	,-6.80440534857456e-004,-3.91939788921086e-005
2.75422870333816e+000	,-6.80440534953896e-004,-4.01069239398884e-005
2.81838293126445e+000	,-6.80440535060945e-004,-4.10411342096186e-005
2.88403150312660e+000	,-6.80440535170887e-004,-4.19971050319497e-005
2.95120922666638e+000	,-6.80440535286615e-004,-4.29753432752655e-005
3.01995172040201e+000	,-6.80440535408130e-004,-4.39763676144310e-005
3.09029543251359e+000	,-6.80440535535431e-004,-4.50007088058011e-005
3.16227766016837e+000	,-6.80440535669483e-004,-4.60489099686339e-005
3.23593656929628e+000	,-6.80440535811250e-004,-4.71215268730607e-005
3.31131121482591e+000	,-6.80440535952053e-004,-4.82191282347615e-005
3.38844156139202e+000	,-6.80440536108286e-004,-4.93422960165076e-005
3.46736850452531e+000	,-6.80440536266449e-004,-5.04916257367225e-005
3.54813389233575e+000	,-6.80440536432326e-004,-5.16677267852378e-005
3.63078054770101e+000	,-6.80440536607847e-004,-5.28712227463968e-005
3.71535229097172e+000	,-6.80440536791084e-004,-5.41027517296876e-005
3.80189396320560e+000	,-6.80440536984929e-004,-5.53629667080790e-005
3.89045144994280e+000	,-6.80440537186489e-004,-5.66525358642328e-005
3.98107170553496e+000	,-6.80440537399622e-004,-5.79721429447853e-005
4.07380277804112e+000	,-6.80440537619506e-004,-5.93224876228773e-005
4.16869383470335e+000	,-6.80440537849998e-004,-6.07042858691314e-005
4.26579518801592e+000	,-6.80440538095921e-004,-6.21182703312673e-005
4.36515832240165e+000	,-6.80440538345701e-004,-6.35651907225631e-005
4.46683592150962e+000	,-6.80440538614770e-004,-6.50458142193629e-005
4.57088189614874e+000	,-6.80440538887696e-004,-6.65609258678421e-005
4.67735141287197e+000	,-6.80440539182803e-004,-6.81113290002520e-005
4.78630092322637e+000	,-6.80440539482733e-004,-6.96978456608549e-005
4.89778819368445e+000	,-6.80440539805808e-004,-7.13213170417847e-005
5.01187233627271e+000	,-6.80440540139491e-004,-7.29826039290557e-005
