Freq.	V(v1)	V(vb)	V(vout)
1.00000000000000e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.69052885175052e-005dB,-3.99734387136943e-003°)
1.02329299228075e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.69043525336711e-005dB,-4.09045397102488e-003°)
1.04712854805090e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.69033724416860e-005dB,-4.18573288349255e-003°)
1.07151930523761e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.69023461586113e-005dB,-4.28323112691109e-003°)
1.09647819614318e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.69012715108622e-005dB,-4.38300039613766e-003°)
1.12201845430196e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.69001462091351e-005dB,-4.48509359015721e-003°)
1.14815362149688e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68989678734797e-005dB,-4.58956484013020e-003°)
1.17489755493953e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68977340159418e-005dB,-4.69646953809369e-003°)
1.20226443461741e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68964420000613e-005dB,-4.80586436633090e-003°)
1.23026877081238e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68950890948743e-005dB,-4.91780732742486e-003°)
1.25892541179417e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68936724286259e-005dB,-5.03235777501217e-003°)
1.28824955169313e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68921889984130e-005dB,-5.14957644525310e-003°)
1.31825673855641e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68906356528268e-005dB,-5.26952548903459e-003°)
1.34896288259165e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68890091015959e-005dB,-5.39226850492357e-003°)
1.38038426460288e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68873058963000e-005dB,-5.51787057288765e-003°)
1.41253754462275e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68855224207263e-005dB,-5.64639828880143e-003°)
1.44543977074593e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68836548908698e-005dB,-5.77791979975644e-003°)
1.47910838816821e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68816993472188e-005dB,-5.91250484019366e-003°)
1.51356124843621e+000	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-1.#INF0000000000e+000dB,0.00000000000000e+000°)	(3.68796516431827e-005dB,-6.05022476887757e-003°)
